sep=,
"Time","max capacity","alertmanager-kube-prometheus-stackr-alertmanager-0","camunda-platform-connectors-7fd698449b-vvm76","camunda-platform-elasticsearch-master-0","camunda-platform-elasticsearch-master-1","camunda-platform-operate-5bc7c489c4-8xh6n","camunda-platform-tasklist-9968d5594-82sgg","camunda-platform-zeebe-0","camunda-platform-zeebe-gateway-5ff76496c4-vf4q5","console-worker-console-worker-chart-camunda-8-go-console-whvxc2","coredns-77ccd57875-qkp4q","kepler-ln5kk","kube-prometheus-stackr-grafana-7ffd75f6bd-42n6h","kube-prometheus-stackr-kube-state-metrics-5f4cb89995-qf4pn","kube-prometheus-stackr-operator-7c7767ffc-sdpxc","kube-prometheus-stackr-prometheus-node-exporter-jwms7","load-controller-58b9d65bf8-mm8d9","load-controller-644684d46f-q72xk","load-controller-66cf7f68-hmt2r","load-controller-66cf7f68-rttrm","load-controller-67c58875f5-ppk6k","load-controller-684f654f8f-fwwhx","load-controller-6c875465d-9nfmj","load-controller-78654477db-7h79d","load-controller-7cd88f89fb-6h24w","load-controller-7cd88f89fb-98h2w","load-controller-7cd88f89fb-pw9k6","load-controller-84f88854fb-nwg5d","load-controller-89c75c689-mjwmf","load-controller-c48bd755c-8twph","local-path-provisioner-957fdf8bc-jnlfw","metrics-server-648b5df564-msqlc","prometheus-kube-prometheus-stackr-prometheus-0","restworkerjava-7cd449c7c9-q9lzx","restworkerjava-7f998589b5-tccv8","restworkerjava-b4485bd46-mj52s","restworkerjava-dfbc8756-4g77l","restworkerjava-dfbc8756-4lqdh","restworkerjava-dfbc8756-4q4st","restworkerjava-dfbc8756-6j9jb","restworkerjava-dfbc8756-77lrm","restworkerjava-dfbc8756-7dh9j","restworkerjava-dfbc8756-89txf","restworkerjava-dfbc8756-9kbrz","restworkerjava-dfbc8756-9rrdr","restworkerjava-dfbc8756-bhtxw","restworkerjava-dfbc8756-c4lpd","restworkerjava-dfbc8756-dh28k","restworkerjava-dfbc8756-dr98f","restworkerjava-dfbc8756-dtcnc","restworkerjava-dfbc8756-g4k92","restworkerjava-dfbc8756-j5cp6","restworkerjava-dfbc8756-j7lvh","restworkerjava-dfbc8756-js8dz","restworkerjava-dfbc8756-jx96t","restworkerjava-dfbc8756-kd64r","restworkerjava-dfbc8756-kqzlz","restworkerjava-dfbc8756-ln9ms","restworkerjava-dfbc8756-mb9l6","restworkerjava-dfbc8756-nblzj","restworkerjava-dfbc8756-pbwzt","restworkerjava-dfbc8756-rqf8k","restworkerjava-dfbc8756-rx95h","restworkerjava-dfbc8756-t6kb8","restworkerjava-dfbc8756-t6mrd","restworkerjava-dfbc8756-xpz7n","restworkerjava-dfbc8756-zjg5w","restworkerjava-dfbc8756-zxmb6","svclb-traefik-5671c552-795qx","test-responder-7f775dc4f9-9pzkz","test-responder-84465bf468-xpb5w","traefik-768bdcdcdd-4f8ms"
2023-12-12 15:14:00,12,0.00463,0.0342,0.959,0.565,0.00573,0.112,0.273,0.194,0.000313,0.00229,,0.119,0.00360,0.126,0.00238,,,,,,,,,,,,,,,0.000217,0.00387,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000809,,0.000617
2023-12-12 15:16:00,12,0.000421,0.00653,0.0355,0.0169,0.0345,0.0169,0.0859,0.0279,0.000311,0.00206,0.0149,0.00598,0.000582,0.000109,0.00135,,,,,,0,,,,,,,,,0.000210,0.00311,0.0115,,,,0.00143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000815,,0.000777
2023-12-12 15:18:00,12,0.000344,0.00528,0.0173,0.0171,0.0150,0.00809,0.0837,0.0247,0.000258,0.00174,0.0162,0.00368,0.000324,0.000145,0.00155,,,,,,0,,,,,,,,,0.000237,0.00311,0.0177,,,,0.00107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000732,,0.000613
2023-12-12 15:20:00,12,0.000525,0.00507,0.0244,0.0290,0.0184,0.00835,0.102,0.0401,0.000305,0.00279,0.0173,0.00492,0.000472,0.000227,0.00169,,,,,,0,,,,,,,,,0.000332,0.00397,0.0245,,,,0.00124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000856,,0.00128
2023-12-12 15:22:00,12,0.000456,0.00405,0.0224,0.0118,0.0219,0.0133,0.0963,0.0253,0.000310,0.00199,0.0183,0.00210,0.000450,0.000181,0.00223,,,,,,0,,,,,,,,,0.000224,0.00330,0.0217,,,,0.00165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000761,,0.000692
2023-12-12 15:24:00,12,0.000538,0.00396,0.0312,0.0131,0.00971,0.00988,0.114,0.0276,0.000297,0.00275,0.0190,0.00977,0.000380,0.000133,0.00286,,,,,,0,,,,,,,,,0.000344,0.00394,0.0210,,,,0.00154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000998,,0.000415
2023-12-12 15:26:00,12,0.000237,0.00806,0.0245,0.00763,0.0115,0.00562,0.0944,0.0346,0.00282,0.00218,0.0185,0.00941,0.000381,0.000185,0.00126,,,,,,0,,,,,,,,,0.000276,0.00331,0.0171,,,,0.00118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000705,,0.000474
2023-12-12 15:28:00,12,0.000345,0.00429,0.0184,0.0128,0.0192,0.00828,0.105,0.0286,0.000331,0.00256,0.0171,0.0188,0.000566,0.000112,0.00169,,,,,,0,,,,,,,,,0.000288,0.00354,0.0358,,,,0.00121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000892,,0.000496
2023-12-12 15:30:00,12,0.0000867,0.00457,0.0294,0.00934,0.0237,0.00489,0.0881,0.0256,0.000352,0.00199,0.0190,0.0141,0.000339,0.000123,0.00160,,,,,,0,,,,,,,,,0.000235,0.00336,0.0173,,,,0.000939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000663,,0.000402
2023-12-12 15:32:00,12,0.000255,0.00489,0.357,0.363,0.199,0.0660,0.613,0.167,0.000461,0.00312,0.0197,0.0179,0.000400,0.000204,0.00315,0.00319,,,,,,,,,,,,,,0.000266,0.00342,0.0203,,,,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0925,,0.00157
