sep=,
"Time","Job completion camunda8"
2023-12-12 16:31:00,12.8
2023-12-12 16:32:00,45.4
2023-12-12 16:33:00,89.5
2023-12-12 16:34:00,67.0
2023-12-12 16:35:00,33.0
2023-12-12 16:36:00,38.5
2023-12-12 16:37:00,43.3
2023-12-12 16:38:00,56.1
2023-12-12 16:39:00,49.4
2023-12-12 16:40:00,46.4
2023-12-12 16:41:00,49.9
2023-12-12 16:42:00,49.9
2023-12-12 16:43:00,51.1
2023-12-12 16:44:00,53.7
2023-12-12 16:45:00,57.2
2023-12-12 16:46:00,55.8
2023-12-12 16:47:00,57.3
2023-12-12 16:48:00,57.7
2023-12-12 16:49:00,57.7
2023-12-12 16:50:00,58.4
2023-12-12 16:51:00,59.8
2023-12-12 16:52:00,58.0
2023-12-12 16:53:00,56.2
2023-12-12 16:54:00,54.8
2023-12-12 16:55:00,36.6
2023-12-12 16:56:00,10.4
2023-12-12 16:57:00,0
2023-12-12 16:58:00,19.0
2023-12-12 16:59:00,39.0
2023-12-12 17:00:00,27.5
2023-12-12 17:01:00,25.2
2023-12-12 17:02:00,29.6
2023-12-12 17:03:00,21.6
2023-12-12 17:04:00,32.8
2023-12-12 17:05:00,30.6
2023-12-12 17:06:00,8.05
2023-12-12 17:07:00,27.2
2023-12-12 17:08:00,50.8
2023-12-12 17:09:00,50.5
2023-12-12 17:10:00,52.1
2023-12-12 17:11:00,52.4
2023-12-12 17:12:00,57.5
2023-12-12 17:13:00,60.8
2023-12-12 17:14:00,60.4
2023-12-12 17:15:00,59.5
2023-12-12 17:16:00,61.8
2023-12-12 17:17:00,60.2
2023-12-12 17:18:00,60.7
2023-12-12 17:19:00,61.7
2023-12-12 17:20:00,59.8
2023-12-12 17:21:00,60.8
2023-12-12 17:22:00,59.0
2023-12-12 17:23:00,61.9
2023-12-12 17:24:00,60.8
2023-12-12 17:25:00,63.8
2023-12-12 17:26:00,61.4
2023-12-12 17:27:00,59.7
2023-12-12 17:28:00,67.4
2023-12-12 17:29:00,66.3
2023-12-12 17:30:00,66.6
2023-12-12 17:31:00,66.1
2023-12-12 17:32:00,64.9
2023-12-12 17:33:00,63.8
2023-12-12 17:34:00,66.2
2023-12-12 17:35:00,72.3
2023-12-12 17:36:00,73.6
2023-12-12 17:37:00,65.4
2023-12-12 17:38:00,67.1
2023-12-12 17:39:00,66.5
2023-12-12 17:40:00,68.6
2023-12-12 17:41:00,67.7
2023-12-12 17:42:00,68.4
2023-12-12 17:43:00,69.3
2023-12-12 17:44:00,69.3
2023-12-12 17:45:00,67.8
2023-12-12 17:46:00,66.8
2023-12-12 17:47:00,70.8
