sep=,
"Time","max capacity","alertmanager-kube-prometheus-stackr-alertmanager-0","camunda-platform-connectors-7d745cc4cd-lk6h4","camunda-platform-elasticsearch-master-0","camunda-platform-elasticsearch-master-1","camunda-platform-operate-745dd6ffbd-hd2s7","camunda-platform-tasklist-595f9975f6-62bbr","camunda-platform-zeebe-0","camunda-platform-zeebe-gateway-5b66c5dffb-5swg8","console-worker-console-worker-chart-camunda-8-go-console-wfzxss","coredns-77ccd57875-qkp4q","kepler-8czsm","kube-prometheus-stackr-grafana-6b8fb957c8-62pgz","kube-prometheus-stackr-kube-state-metrics-6d5579569-7w9tb","kube-prometheus-stackr-operator-8f879775f-f2q87","kube-prometheus-stackr-prometheus-node-exporter-qw4m2","load-controller-57dd7dd5b7-hq6nt","load-controller-7d4f7c8567-xgm2j","local-path-provisioner-957fdf8bc-jnlfw","metrics-server-648b5df564-msqlc","prometheus-kube-prometheus-stackr-prometheus-0","restworkerjava-7df67bc98-nqzxc","svclb-traefik-5671c552-795qx","test-responder-5768c7fbf7-cplsk","traefik-768bdcdcdd-4f8ms"
2023-12-11 15:04:00,12,0.000274,0.00147,0.00795,0.00725,0.00236,0.00168,0.0860,0.0170,0.000199,0.00201,0.0115,0.00573,0.000116,0.000166,0.00286,,0.000588,0.000501,0.00277,0.0178,0.000798,0,0.000586,0.000248
2023-12-11 15:05:00,12,0.000616,0.00157,0.00865,0.00892,0.00422,0.00146,0.0847,0.0181,0.000240,0.00189,0.0142,0.00672,0.000724,0.00923,0.00142,,0.000538,0.000281,0.00336,0.0209,0.000777,0,0.000642,0.000321
2023-12-11 15:06:00,12,0.000239,0.00140,0.0313,0.0286,0.0147,0.00562,0.151,0.0286,0.000225,0.00167,0.0115,0.00496,0.000164,0.000375,0.00138,0.00177,,0.00130,0.00290,0.0141,0.00789,0,0.00469,0.000184
2023-12-11 15:07:00,12,0.000478,0.00148,0.0796,0.0766,0.0364,0.0105,0.220,0.0412,0.000190,0.00217,0.0127,0.0127,0.000526,0.000408,0.00256,0.00207,,0.000288,0.00275,0.0272,0.0161,0,0.00833,0.000270
2023-12-11 15:08:00,12,0.000212,0.00141,0.0997,0.0759,0.0524,0.0153,0.282,0.0491,0.000200,0.00206,0.0199,0.0110,0.000367,0.000121,0.00158,0.00210,,0.000499,0.00329,0.0334,0.0199,0,0.0145,0.000210
2023-12-11 15:09:00,12,0.000503,0.00143,0.155,0.181,0.0720,0.0238,0.342,0.0570,0.000196,0.00214,0.0124,0.0113,0.000442,0.000566,0.00160,0.00125,,0.000278,0.00353,0.0203,0.0215,0,0.0157,0.000249
2023-12-11 15:10:00,12,0.000274,0.00135,0.165,0.471,0.0766,0.0177,0.368,0.0699,0.000309,0.00224,0.0154,0.0108,0.000570,0.000138,0.00155,0.000752,,0.000524,0.00350,0.0216,0.0309,0,0.0161,0.000289
2023-12-11 15:11:00,12,0.000624,0.00135,0.171,0.0965,0.0719,0.0229,0.313,0.0573,0.000226,0.00198,0.0163,0.0118,0.000400,0.000310,0.00192,0.000700,,0.000299,0.00360,0.0212,0.0217,0,0.0168,0.000405
2023-12-11 15:12:00,12,0.000435,0.00153,0.155,0.0944,0.0684,0.0208,0.368,0.0548,0.000215,0.00222,0.0166,0.0101,0.000284,0.000610,0.00182,0.000650,,0.000653,0.00349,0.0206,0.0243,0,0.0157,0.000254
2023-12-11 15:13:00,12,0.000564,0.00169,0.173,0.128,0.0870,0.0271,0.332,0.0640,0.000276,0.00242,0.0160,0.0116,0.000670,0.000304,0.00157,0.000766,,0.000331,0.00366,0.0225,0.0291,0,0.0173,0.000448
2023-12-11 15:14:00,12,0.000629,0.00190,0.215,0.205,0.0957,0.0364,0.464,0.0750,0.000290,0.00287,0.0136,0.0220,0.000752,0.000675,0.00201,0.000731,,0.000997,0.00601,0.0411,0.0362,0,0.0249,0.00163
2023-12-11 15:15:00,12,0.000658,0.00187,0.165,0.103,0.0782,0.0214,0.379,0.0642,0.000376,0.00256,0.0182,0.0209,0.000793,0.000943,0.00142,0.000744,,0.000432,0.00448,0.0240,0.0248,0,0.0196,0.000724
2023-12-11 15:16:00,12,0.000524,0.00205,0.152,0.0933,0.0643,0.0223,0.343,0.0595,0.000267,0.00253,0.0121,0.0113,0.000723,0.000919,0.00162,0.000742,,0.000534,0.00361,0.0202,0.0265,0,0.0154,0.000548
2023-12-11 15:17:00,12,0.000366,0.00656,0.133,0.115,0.0732,0.0180,0.333,0.0575,0.000345,0.00231,0.0140,0.0105,0.000469,0.000623,0.00195,0.000568,,0.000326,0.00359,0.0305,0.0215,0,0.0197,0.000183
2023-12-11 15:18:00,12,0.000544,0.00122,0.184,0.110,0.0794,0.0193,0.364,0.0620,0.000190,0.00197,0.0122,0.0187,0.000404,0.000430,0.00139,0.000622,,0.000532,0.00395,0.0217,0.0262,0,0.0180,0.000622
2023-12-11 15:19:00,12,0.000583,0.00216,0.129,0.105,0.0540,0.0174,0.294,0.0515,0.000333,0.00237,0.0124,0.0112,0.000484,0.000490,0.00167,0.000619,,0.000370,0.00398,0.0202,0.0235,0,0.0148,0.000332
2023-12-11 15:20:00,12,0.000298,0.00473,0.108,0.0516,0.0359,0.0125,0.221,0.0384,0.000183,0.00195,0.0137,0.00342,0.00696,0.0259,0.00184,0.000577,,0.000256,0.00383,0.0313,0.0116,0,0.00877,0.00227
2023-12-11 15:21:00,12,0.000531,0.00129,0.0603,0.0348,0.0206,0.00612,0.151,0.0287,0.000236,0.00139,0.0103,0.00418,0.000212,0.000146,0.000875,0.000579,,0.000275,0.00269,0.0154,0.00702,0,0.00511,0.000138
2023-12-11 15:22:00,12,0.000224,0.00146,0.00778,0.00752,0.00283,0.00134,0.0869,0.0166,0.000176,0.00167,0.0102,0.00489,0.000367,0.000520,0.00121,0.000518,,0.000258,0.00279,0.0135,0.000897,0,0.000592,0.000355
2023-12-11 15:23:00,12,0.000370,0.00118,0.00653,0.00707,0.00290,0.00135,0.0830,0.0161,0.000590,0.00137,0.00947,0.00397,0.000203,0.000117,0.00130,0.000536,,0.000230,0.00281,0.0131,0.000581,0,0.000531,0.0000907
2023-12-11 15:24:00,12,0.000135,0.00217,0.00676,0.00631,0.00257,0.00165,0.0826,0.0161,0.000198,0.00146,0.0104,0.00325,0.000291,0.000625,0.00119,0.000559,,0.000252,0.00261,0.0135,0.000606,0,0.000530,0.000538
2023-12-11 15:25:00,12,0.000317,0.00133,0.00629,0.00670,0.00426,0.00127,0.0835,0.0161,0.000227,0.00154,0.0111,0.00440,0.000237,0.000303,0.00141,0.000587,,0.000262,0.00248,0.0139,0.000555,0,0.000530,0.000219
2023-12-11 15:26:00,12,0.000156,0.00120,0.00690,0.00809,0.00245,0.00130,0.0823,0.0158,0.000164,0.00144,0.00925,0.00157,0.000310,0.000459,0.000903,0.000590,,0.000373,0.00276,0.0119,0.000583,0,0.000514,0.000323
2023-12-11 15:27:00,12,0.000332,0.00118,0.00729,0.0122,0.00240,0.00436,0.0822,0.0181,0.000203,0.00141,0.00823,0.00177,0.000263,0.000242,0.00111,0.000561,,0.000254,0.00274,0.0123,0.000607,0,0.000539,0.0000850

