sep=,
"Time","Job completion camunda8"
2023-12-11 15:04:00,0
2023-12-11 15:04:30,0
2023-12-11 15:05:00,0.436
2023-12-11 15:05:30,3.58
2023-12-11 15:06:00,8.90
2023-12-11 15:06:30,17
2023-12-11 15:07:00,25.7
2023-12-11 15:07:30,33.9
2023-12-11 15:08:00,45.0
2023-12-11 15:08:30,53.7
2023-12-11 15:09:00,61.2
2023-12-11 15:09:30,59.4
2023-12-11 15:10:00,63.3
2023-12-11 15:10:30,67
2023-12-11 15:11:00,66.1
2023-12-11 15:11:30,70.4
2023-12-11 15:12:00,67.0
2023-12-11 15:12:30,66.5
2023-12-11 15:13:00,72.2
2023-12-11 15:13:30,76.3
2023-12-11 15:14:00,76.3
2023-12-11 15:14:30,65.1
2023-12-11 15:15:00,65.0
2023-12-11 15:15:30,63.0
2023-12-11 15:16:00,63.3
2023-12-11 15:16:30,60.2
2023-12-11 15:17:00,58.8
2023-12-11 15:17:30,61.6
2023-12-11 15:18:00,65.8
2023-12-11 15:18:30,63.4
2023-12-11 15:19:00,46.4
2023-12-11 15:19:30,32.6
2023-12-11 15:20:00,26.3
2023-12-11 15:20:30,20.6
2023-12-11 15:21:00,22.7
2023-12-11 15:21:30,14.1
2023-12-11 15:22:00,6.54
2023-12-11 15:22:30,1.60
2023-12-11 15:23:00,0
2023-12-11 15:23:30,0
2023-12-11 15:24:00,0
2023-12-11 15:24:30,0
2023-12-11 15:25:00,0
2023-12-11 15:25:30,0
2023-12-11 15:26:00,0
2023-12-11 15:26:30,0
2023-12-11 15:27:00,0

