sep=,
"Time","max capacity","alertmanager-kube-prometheus-stackr-alertmanager-0","camunda-platform-connectors-7fd698449b-vvm76","camunda-platform-elasticsearch-master-0","camunda-platform-elasticsearch-master-1","camunda-platform-operate-5bc7c489c4-8xh6n","camunda-platform-tasklist-9968d5594-82sgg","camunda-platform-zeebe-0","camunda-platform-zeebe-gateway-5ff76496c4-vf4q5","console-worker-console-worker-chart-camunda-8-go-console-whvxc2","coredns-77ccd57875-qkp4q","kepler-ln5kk","kube-prometheus-stackr-grafana-7ffd75f6bd-42n6h","kube-prometheus-stackr-kube-state-metrics-5f4cb89995-qf4pn","kube-prometheus-stackr-operator-7c7767ffc-sdpxc","kube-prometheus-stackr-prometheus-node-exporter-jwms7","load-controller-66cf7f68-hmt2r","load-controller-66cf7f68-rttrm","local-path-provisioner-957fdf8bc-jnlfw","metrics-server-648b5df564-msqlc","prometheus-kube-prometheus-stackr-prometheus-0","restworkerjava-dfbc8756-4g77l","svclb-traefik-5671c552-795qx","test-responder-84465bf468-xpb5w","traefik-768bdcdcdd-4f8ms"
2023-12-12 21:44:20,12,0.000137,0.00119,0.00637,0.00566,0.00252,0.00142,0.0821,0.0160,0.000191,0.00194,0.0143,0.00348,0.000383,0.000311,0.00128,0.000569,,0.000414,0.00292,0.0184,0.000627,0,0.000606,0.0000937
2023-12-12 21:44:40,12,0.000137,0.00119,0.00637,0.00566,0.00252,0.00142,0.0821,0.0160,0.000191,0.00194,0.0143,0.00348,0.000383,0.000311,0.00128,0.000569,,0.000414,0.00292,0.0184,0.000627,0,0.000606,0.0000937
2023-12-12 21:45:00,12,0.000435,0.00134,0.00598,0.00528,0.00264,0.00154,0.0783,0.0162,0.000187,0.00177,0.0150,0.00206,0.000543,0.0196,0.00129,0.000569,,0.000229,0.00303,0.0112,0.000639,0,0.0204,0.000574
2023-12-12 21:45:20,12,0.000335,0.00128,0.0502,0.0382,0.0294,0.00545,0.160,0.0459,0.000213,0.00229,0.0116,0.00413,0.000214,0.000197,0.000987,,0.266,0.000236,0.00359,0.0864,0.0208,0,0.0987,0.000546
2023-12-12 21:45:40,12,0.000335,0.00128,0.0502,0.0382,0.0294,0.00545,0.160,0.0459,0.000213,0.00229,0.0116,0.00413,0.000214,0.000197,0.000987,,0.266,0.000236,0.00359,0.0864,0.0208,0,0.0987,0.000546
2023-12-12 21:46:00,12,0.000159,0.00154,0.126,0.0913,0.0659,0.0221,0.380,0.0750,0.000181,0.00272,0.0151,0.00175,0.000293,0.000176,0.00150,,0.00184,0.000242,0.00329,0.0151,0.0417,0,0.126,0.000163
2023-12-12 21:46:20,12,0.000118,0.00347,0.176,0.133,0.116,0.0337,0.572,0.100,0.000184,0.00262,0.0130,0.00219,0.000239,0.000231,0.00205,,0.00191,0.000334,0.00295,0.0135,0.0482,0,0.160,0.000129
2023-12-12 21:46:40,12,0.000118,0.00347,0.176,0.133,0.116,0.0337,0.572,0.100,0.000184,0.00262,0.0130,0.00219,0.000239,0.000231,0.00205,,0.00191,0.000334,0.00295,0.0135,0.0482,0,0.160,0.000129
2023-12-12 21:47:00,12,0.000427,0.00124,0.256,0.187,0.154,0.0532,0.877,0.151,0.000203,0.00226,0.0149,0.00584,0.000220,0.000201,0.00201,,0.00214,0.000207,0.00346,0.0222,0.0742,0,0.0742,0.000192
2023-12-12 21:47:20,12,0.000607,0.00190,0.349,0.271,0.256,0.0644,0.905,0.161,0.000343,0.00340,0.0202,0.0101,0.000419,0.000909,0.00111,,0.00119,0.000245,0.00390,0.0897,0.0859,0,0.0604,0.000455
2023-12-12 21:47:40,12,0.000607,0.00190,0.349,0.271,0.256,0.0644,0.905,0.161,0.000343,0.00340,0.0202,0.0101,0.000419,0.000909,0.00111,,0.00119,0.000245,0.00390,0.0897,0.0859,0,0.0604,0.000455
2023-12-12 21:48:00,12,0.000740,0.00363,0.344,0.295,0.209,0.0658,0.945,0.173,0.000492,0.00439,0.0199,0.0240,0.000609,0.000502,0.00216,,0.00139,0.000623,0.00472,0.0318,0.0906,0,0.0629,0.000278
2023-12-12 21:48:20,12,0.000446,0.00203,0.313,0.269,0.196,0.0575,0.927,0.138,0.000388,0.00324,0.0180,0.0126,0.000737,0.00115,0.00226,,0.00152,0.000334,0.00574,0.0351,0.0701,0,0.0515,0.000805
2023-12-12 21:48:40,12,0.000446,0.00203,0.313,0.269,0.196,0.0575,0.927,0.138,0.000388,0.00324,0.0180,0.0126,0.000737,0.00115,0.00226,,0.00152,0.000334,0.00574,0.0351,0.0701,0,0.0515,0.000805
2023-12-12 21:49:00,12,0.000817,0.00219,0.301,0.239,0.187,0.0633,0.892,0.140,0.000343,0.00346,0.0160,0.00737,0.000459,0.000561,0.00149,,0.000935,0.000604,0.00445,0.0258,0.0732,0,0.0494,0.000610
2023-12-12 21:49:20,12,0.000426,0.00168,0.301,0.306,0.172,0.0530,0.925,0.141,0.000453,0.00277,0.0147,0.0263,0.000879,0.00118,0.00393,,0.001000,0.000267,0.00470,0.0898,0.0719,0,0.0467,0.00135
2023-12-12 21:49:40,12,0.000426,0.00168,0.301,0.306,0.172,0.0530,0.925,0.141,0.000453,0.00277,0.0147,0.0263,0.000879,0.00118,0.00393,,0.001000,0.000267,0.00470,0.0898,0.0719,0,0.0467,0.00135
2023-12-12 21:50:00,12,0.000816,0.00396,0.350,0.241,0.164,0.0520,0.633,0.133,0.000269,0.00274,0.0158,0.0215,0.000878,0.000828,0.00226,,0.000917,0.000265,0.00437,0.0301,0.0565,0,0.0376,0.000580
2023-12-12 21:50:20,12,0.000930,0.00202,0.810,0.194,0.0879,0.0289,0.465,0.0767,0.000305,0.00313,0.0200,0.0235,0.00269,0.000945,0.00170,,0.000781,0.000310,0.00642,0.0302,0.0366,0,0.0234,0.00125
2023-12-12 21:50:40,12,0.000930,0.00202,0.810,0.194,0.0879,0.0289,0.465,0.0767,0.000305,0.00313,0.0200,0.0235,0.00269,0.000945,0.00170,,0.000781,0.000310,0.00642,0.0302,0.0366,0,0.0234,0.00125
2023-12-12 21:51:00,12,0.00142,0.00466,0.255,0.108,0.0681,0.0229,0.450,0.0666,0.000422,0.00351,0.0158,0.0229,0.00125,0.00254,0.00282,,0.000653,0.000788,0.00396,0.0383,0.0320,0,0.0205,0.00227
2023-12-12 21:51:20,12,0.00224,0.00341,0.151,0.122,0.0682,0.0257,0.526,0.0733,0.000717,0.00487,0.0194,0.0277,0.00195,0.00153,0.00234,,0.000778,0.000357,0.00665,0.0795,0.0336,0,0.0227,0.00324
2023-12-12 21:51:40,12,0.00224,0.00341,0.151,0.122,0.0682,0.0257,0.526,0.0733,0.000717,0.00487,0.0194,0.0277,0.00195,0.00153,0.00234,,0.000778,0.000357,0.00665,0.0795,0.0336,0,0.0227,0.00324
2023-12-12 21:52:00,12,0.000953,0.00298,0.126,0.118,0.0545,0.0203,0.354,0.0681,0.000640,0.00596,0.0183,0.0291,0.00160,0.00139,0.00174,,0.000991,0.000343,0.00424,0.0471,0.0301,0,0.0148,0.00157
2023-12-12 21:52:20,12,0.00115,0.00160,0.0402,0.0385,0.0118,0.00890,0.224,0.0358,0.000306,0.00294,0.0163,0.0263,0.00125,0.000473,0.00267,,0.000650,0.000633,0.00521,0.0261,0.00960,0,0.00244,0.00184
2023-12-12 21:52:40,12,0.00115,0.00160,0.0402,0.0385,0.0118,0.00890,0.224,0.0358,0.000306,0.00294,0.0163,0.0263,0.00125,0.000473,0.00267,,0.000650,0.000633,0.00521,0.0261,0.00960,0,0.00244,0.00184
2023-12-12 21:53:00,12,0.000699,0.00162,0.00759,0.00536,0.00300,0.00189,0.0787,0.0164,0.000517,0.00223,0.0126,0.0147,0.00106,0.00139,0.00196,,0.000767,0.000336,0.00370,0.0397,0.000780,0,0.000606,0.000830
2023-12-12 21:53:20,12,0.000923,0.00148,0.00847,0.00506,0.00375,0.00310,0.0803,0.0161,0.000675,0.00298,0.0143,0.0269,0.000935,0.00149,0.00236,,0.000662,0.000295,0.00542,0.0843,0.000814,0,0.00138,0.00142
2023-12-12 21:53:40,12,0.000923,0.00148,0.00847,0.00506,0.00375,0.00310,0.0803,0.0161,0.000675,0.00298,0.0143,0.0269,0.000935,0.00149,0.00236,,0.000662,0.000295,0.00542,0.0843,0.000814,0,0.00138,0.00142
2023-12-12 21:54:00,12,0.00150,0.00165,0.00847,0.00600,0.00327,0.00268,0.0779,0.0168,0.000492,0.00265,0.0168,0.0251,0.000942,0.00135,0.00209,,0.000936,0.000318,0.00703,0.0306,0.000805,0,0.00113,0.00172
2023-12-12 21:54:20,12,0.00128,0.00194,0.00693,0.00517,0.00273,0.00184,0.0785,0.0156,0.000374,0.00280,0.0141,0.0230,0.00110,0.000742,0.00275,,0.000969,0.000417,0.00525,0.0328,0.000713,0,0.000544,0.00195
2023-12-12 21:54:40,12,0.00128,0.00194,0.00693,0.00517,0.00273,0.00184,0.0785,0.0156,0.000374,0.00280,0.0141,0.0230,0.00110,0.000742,0.00275,,0.000969,0.000417,0.00525,0.0328,0.000713,0,0.000544,0.00195
2023-12-12 21:55:00,12,0.000841,0.00200,0.00724,0.00553,0.00277,0.00152,0.0774,0.0162,0.000391,0.00254,0.0167,0.0194,0.00239,0.00133,0.00189,,0.000653,0.000577,0.00512,0.0291,0.000791,0,0.000743,0.00233
2023-12-12 21:55:20,12,0.00112,0.00171,0.00721,0.00610,0.00299,0.00177,0.0778,0.0165,0.000611,0.00285,0.0163,0.0302,0.000844,0.00169,0.00157,,0.000718,0.000474,0.00549,0.106,0.00118,0,0.000738,0.00262
2023-12-12 21:55:40,12,0.00112,0.00171,0.00721,0.00610,0.00299,0.00177,0.0778,0.0165,0.000611,0.00285,0.0163,0.0302,0.000844,0.00169,0.00157,,0.000718,0.000474,0.00549,0.106,0.00118,0,0.000738,0.00262
2023-12-12 21:56:00,12,0.00153,0.00245,0.00750,0.00652,0.00290,0.00229,0.0762,0.0160,0.000433,0.00269,0.0207,0.0224,0.00120,0.00196,0.00378,,0.000936,0.000297,0.00601,0.0374,0.00115,0,0.000620,0.00256
2023-12-12 21:56:20,12,0.00174,0.00237,0.00678,0.00561,0.00283,0.00202,0.0772,0.0161,0.000778,0.00545,0.0191,0.0314,0.00131,0.00116,0.00206,,0.000702,0.000349,0.00866,0.0318,0.00109,0,0.000712,0.00267
2023-12-12 21:56:40,12,0.00174,0.00237,0.00678,0.00561,0.00283,0.00202,0.0772,0.0161,0.000778,0.00545,0.0191,0.0314,0.00131,0.00116,0.00206,,0.000702,0.000349,0.00866,0.0318,0.00109,0,0.000712,0.00267
2023-12-12 21:57:00,12,0.00159,0.00217,0.00975,0.00529,0.00315,0.00217,0.0727,0.0158,0.00122,0.00478,0.0183,0.0386,0.00200,0.00119,0.00186,,0.00102,0.000654,0.00975,0.0403,0.00115,0,0.000648,0.00152
2023-12-12 21:57:20,12,0.00226,0.00220,0.00810,0.0512,0.00330,0.00266,0.0745,0.0170,0.00108,0.00573,0.0202,0.0356,0.00153,0.00145,0.00184,,0.000822,0.000875,0.00712,0.113,0.00142,0,0.000703,0.00292
2023-12-12 21:57:40,12,0.00226,0.00220,0.00810,0.0512,0.00330,0.00266,0.0745,0.0170,0.00108,0.00573,0.0202,0.0356,0.00153,0.00145,0.00184,,0.000822,0.000875,0.00712,0.113,0.00142,0,0.000703,0.00292
2023-12-12 21:58:00,12,0.00226,0.00220,0.00810,0.0512,0.00330,0.00266,0.0745,0.0170,0.00108,0.00573,0.0202,0.0356,0.00153,0.00145,0.00184,,0.000822,0.000875,0.00712,0.113,0.00142,0,0.000703,0.00292

