sep=,
"Time","Job completion camunda8"
2023-12-12 21:44:30,0
2023-12-12 21:44:40,0
2023-12-12 21:44:50,1.69
2023-12-12 21:45:00,4.99
2023-12-12 21:45:10,9.79
2023-12-12 21:45:20,16.0
2023-12-12 21:45:30,23.5
2023-12-12 21:45:40,32.2
2023-12-12 21:45:50,42.1
2023-12-12 21:46:00,53.3
2023-12-12 21:46:10,66.2
2023-12-12 21:46:20,79.7
2023-12-12 21:46:30,95.1
2023-12-12 21:46:40,111
2023-12-12 21:46:50,124
2023-12-12 21:47:00,135
2023-12-12 21:47:10,142
2023-12-12 21:47:20,147
2023-12-12 21:47:30,151
2023-12-12 21:47:40,155
2023-12-12 21:47:50,158
2023-12-12 21:48:00,160
2023-12-12 21:48:10,161
2023-12-12 21:48:20,160
2023-12-12 21:48:30,160
2023-12-12 21:48:40,160
2023-12-12 21:48:50,161
2023-12-12 21:49:00,163
2023-12-12 21:49:10,167
2023-12-12 21:49:20,170
2023-12-12 21:49:30,172
2023-12-12 21:49:40,166
2023-12-12 21:49:50,159
2023-12-12 21:50:00,152
2023-12-12 21:50:10,146
2023-12-12 21:50:20,136
2023-12-12 21:50:30,124
2023-12-12 21:50:40,115
2023-12-12 21:50:50,106
2023-12-12 21:51:00,95.9
2023-12-12 21:51:10,85.9
2023-12-12 21:51:20,75.2
2023-12-12 21:51:30,71.3
2023-12-12 21:51:40,66.7
2023-12-12 21:51:50,61.0
2023-12-12 21:52:00,54.0
2023-12-12 21:52:10,46.4
2023-12-12 21:52:20,41.7
2023-12-12 21:52:30,34.3
2023-12-12 21:52:40,27.6
2023-12-12 21:52:50,21.7
2023-12-12 21:53:00,15.7
2023-12-12 21:53:10,10.5
2023-12-12 21:53:20,6.11
2023-12-12 21:53:30,2.56
2023-12-12 21:53:40,0.527
2023-12-12 21:53:50,0
2023-12-12 21:54:00,0
2023-12-12 21:54:10,0
2023-12-12 21:54:20,0
2023-12-12 21:54:30,0
2023-12-12 21:54:40,0
2023-12-12 21:54:50,0
2023-12-12 21:55:00,0
2023-12-12 21:55:10,0
2023-12-12 21:55:20,0
2023-12-12 21:55:30,0
2023-12-12 21:55:40,0
2023-12-12 21:55:50,0
2023-12-12 21:56:00,0
2023-12-12 21:56:10,0
2023-12-12 21:56:20,0
2023-12-12 21:56:30,0
2023-12-12 21:56:40,0
2023-12-12 21:56:50,0
2023-12-12 21:57:00,0
2023-12-12 21:57:10,0
2023-12-12 21:57:20,0
2023-12-12 21:57:30,0
2023-12-12 21:57:40,0
2023-12-12 21:57:50,0
2023-12-12 21:58:00,0

