sep=,
"Time","camunda-platform-connectors-7fd698449b-vvm76 / camunda8 / PKG","camunda-platform-elasticsearch-master-0 / camunda8 / PKG","camunda-platform-elasticsearch-master-1 / camunda8 / PKG","camunda-platform-operate-5bc7c489c4-8xh6n / camunda8 / PKG","camunda-platform-tasklist-9968d5594-82sgg / camunda8 / PKG","camunda-platform-zeebe-0 / camunda8 / PKG","camunda-platform-zeebe-gateway-5ff76496c4-vf4q5 / camunda8 / PKG","console-worker-console-worker-chart-camunda-8-go-console-whvxc2 / camunda8 / PKG","coredns-77ccd57875-qkp4q / kube-system / PKG","helm-install-traefik-crd-hzktt / kube-system / PKG","helm-install-traefik-ncp5n / kube-system / PKG","local-path-provisioner-957fdf8bc-jnlfw / kube-system / PKG","metrics-server-648b5df564-msqlc / kube-system / PKG","svclb-traefik-5671c552-795qx / kube-system / PKG","traefik-768bdcdcdd-4f8ms / kube-system / PKG","load-controller-66cf7f68-rttrm / load-controller / PKG","test-responder-84465bf468-xpb5w / measuring-endpoints / PKG","alertmanager-kube-prometheus-stackr-alertmanager-0 / monitoring / PKG","kepler-ln5kk / monitoring / PKG","kube-prometheus-stackr-grafana-7ffd75f6bd-42n6h / monitoring / PKG","kube-prometheus-stackr-kube-state-metrics-5f4cb89995-qf4pn / monitoring / PKG","kube-prometheus-stackr-operator-7c7767ffc-sdpxc / monitoring / PKG","kube-prometheus-stackr-prometheus-node-exporter-jwms7 / monitoring / PKG","prometheus-kube-prometheus-stackr-prometheus-0 / monitoring / PKG","system_processes / system / PKG","load-controller-66cf7f68-hmt2r / worker / PKG","restworkerjava-dfbc8756-4g77l / worker / PKG","camunda-platform-connectors-7fd698449b-vvm76 / camunda8 / DRAM","camunda-platform-elasticsearch-master-0 / camunda8 / DRAM","camunda-platform-elasticsearch-master-1 / camunda8 / DRAM","camunda-platform-operate-5bc7c489c4-8xh6n / camunda8 / DRAM","camunda-platform-tasklist-9968d5594-82sgg / camunda8 / DRAM","camunda-platform-zeebe-0 / camunda8 / DRAM","camunda-platform-zeebe-gateway-5ff76496c4-vf4q5 / camunda8 / DRAM","console-worker-console-worker-chart-camunda-8-go-console-whvxc2 / camunda8 / DRAM","coredns-77ccd57875-qkp4q / kube-system / DRAM","helm-install-traefik-crd-hzktt / kube-system / DRAM","helm-install-traefik-ncp5n / kube-system / DRAM","local-path-provisioner-957fdf8bc-jnlfw / kube-system / DRAM","metrics-server-648b5df564-msqlc / kube-system / DRAM","svclb-traefik-5671c552-795qx / kube-system / DRAM","traefik-768bdcdcdd-4f8ms / kube-system / DRAM","load-controller-66cf7f68-rttrm / load-controller / DRAM","test-responder-84465bf468-xpb5w / measuring-endpoints / DRAM","alertmanager-kube-prometheus-stackr-alertmanager-0 / monitoring / DRAM","kepler-ln5kk / monitoring / DRAM","kube-prometheus-stackr-grafana-7ffd75f6bd-42n6h / monitoring / DRAM","kube-prometheus-stackr-kube-state-metrics-5f4cb89995-qf4pn / monitoring / DRAM","kube-prometheus-stackr-operator-7c7767ffc-sdpxc / monitoring / DRAM","kube-prometheus-stackr-prometheus-node-exporter-jwms7 / monitoring / DRAM","prometheus-kube-prometheus-stackr-prometheus-0 / monitoring / DRAM","system_processes / system / DRAM","load-controller-66cf7f68-hmt2r / worker / DRAM","restworkerjava-dfbc8756-4g77l / worker / DRAM","camunda-platform-connectors-7fd698449b-vvm76 / camunda8 / OTHER","camunda-platform-elasticsearch-master-0 / camunda8 / OTHER","camunda-platform-elasticsearch-master-1 / camunda8 / OTHER","camunda-platform-operate-5bc7c489c4-8xh6n / camunda8 / OTHER","camunda-platform-tasklist-9968d5594-82sgg / camunda8 / OTHER","camunda-platform-zeebe-0 / camunda8 / OTHER","camunda-platform-zeebe-gateway-5ff76496c4-vf4q5 / camunda8 / OTHER","console-worker-console-worker-chart-camunda-8-go-console-whvxc2 / camunda8 / OTHER","coredns-77ccd57875-qkp4q / kube-system / OTHER","helm-install-traefik-crd-hzktt / kube-system / OTHER","helm-install-traefik-ncp5n / kube-system / OTHER","local-path-provisioner-957fdf8bc-jnlfw / kube-system / OTHER","metrics-server-648b5df564-msqlc / kube-system / OTHER","svclb-traefik-5671c552-795qx / kube-system / OTHER","traefik-768bdcdcdd-4f8ms / kube-system / OTHER","load-controller-66cf7f68-rttrm / load-controller / OTHER","test-responder-84465bf468-xpb5w / measuring-endpoints / OTHER","alertmanager-kube-prometheus-stackr-alertmanager-0 / monitoring / OTHER","kepler-ln5kk / monitoring / OTHER","kube-prometheus-stackr-grafana-7ffd75f6bd-42n6h / monitoring / OTHER","kube-prometheus-stackr-kube-state-metrics-5f4cb89995-qf4pn / monitoring / OTHER","kube-prometheus-stackr-operator-7c7767ffc-sdpxc / monitoring / OTHER","kube-prometheus-stackr-prometheus-node-exporter-jwms7 / monitoring / OTHER","prometheus-kube-prometheus-stackr-prometheus-0 / monitoring / OTHER","system_processes / system / OTHER","load-controller-66cf7f68-hmt2r / worker / OTHER","restworkerjava-dfbc8756-4g77l / worker / OTHER"
2023-12-12 21:44:30,0.311,0.660,0.641,0.361,0.311,3.22,1.05,0.278,0.343,0.271,0.271,0.280,0.339,0.542,0.275,,0.289,0.550,0.410,0.849,0.278,0.278,0.283,0.897,9.44,0.288,0.290,0.0231,0.0492,0.0480,0.0264,0.0231,0.0351,0.0282,0.0216,0.0234,0.0204,0.0204,0.0216,0.0231,0.0408,0.0213,,0.0216,0.0420,0.0270,0.0663,0.0213,0.0213,0.0228,0.0675,0.447,0.0216,0.0219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
2023-12-12 21:44:40,0.209,0.475,0.447,0.230,0.216,2.01,0.661,0.199,0.240,0.193,0.193,0.198,0.238,0.386,0.222,,0.203,0.390,0.259,0.588,0.216,0.640,0.193,0.600,4.98,0.288,0.204,0.0156,0.0327,0.0318,0.0165,0.0159,0.0213,0.0174,0.0156,0.0159,0.0147,0.0147,0.0156,0.0159,0.0294,0.0156,,0.0156,0.0300,0.0165,0.0462,0.0159,0.0246,0.0150,0.0450,0.129,0.0216,0.0156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
2023-12-12 21:44:50,0.222,0.641,0.518,0.252,0.230,3.55,1.18,0.207,0.273,0.202,0.202,0.209,0.262,0.403,0.203,0.342,0.644,0.411,0.313,0.621,0.205,0.204,0.202,0.699,6.17,0.288,0.391,0.0171,0.0486,0.0390,0.0201,0.0174,0.0603,0.0345,0.0162,0.0180,0.0153,0.0153,0.0162,0.0174,0.0306,0.0162,0.0540,0.0705,0.0315,0.0204,0.0480,0.0159,0.0159,0.0156,0.0582,0.466,0.0216,0.0267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-12 21:45:00,0.289,0.739,0.709,0.362,0.332,4.38,1.50,0.275,0.332,0.269,0.269,0.275,0.319,0.539,0.275,0.291,0.843,0.542,0.347,0.839,0.275,0.274,0.274,0.861,4.06,0.288,0.639,0.0219,0.0624,0.0597,0.0324,0.0270,0.0816,0.0426,0.0216,0.0225,0.0204,0.0204,0.0216,0.0222,0.0408,0.0216,0.0222,0.0735,0.0420,0.0231,0.0651,0.0213,0.0216,0.0213,0.0645,0.190,0.0216,0.0366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-12 21:45:10,0.203,0.445,0.447,0.223,0.210,1.10,0.479,0.201,0.212,0.200,0.200,0.201,0.206,0.400,0.200,0.203,0.326,0.400,0.226,0.602,0.201,0.201,0.200,0.608,0.955,0.288,0.289,0.0162,0.0540,0.0483,0.0279,0.0213,0.0633,0.0312,0.0162,0.0165,0.0153,0.0153,0.0162,0.0165,0.0306,0.0162,0.0162,0.0420,0.0312,0.0174,0.0486,0.0162,0.0159,0.0156,0.0468,0.198,0.0216,0.0273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-12 21:45:20,0.213,0.632,0.526,0.261,0.275,3.82,1.34,0.203,0.245,0.200,0.200,0.204,0.226,0.400,0.202,0.210,0.682,0.403,0.273,0.609,0.201,0.200,0.200,0.652,3.90,,0.572,0.0165,0.0591,0.0516,0.0279,0.0243,0.0963,0.0399,0.0162,0.0171,0.0153,0.0153,0.0162,0.0168,0.0306,0.0162,0.0165,0.0504,0.0315,0.0189,0.0492,0.0159,0.0156,0.0156,0.0510,0.264,,0.0330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2023-12-12 21:45:30,0.292,1.03,0.983,0.496,0.409,7.26,2.41,0.275,0.362,0.269,0.269,0.276,0.336,0.539,0.272,0.295,1.18,0.541,0.370,0.837,0.274,0.285,0.277,0.883,7.11,,1.00,0.0219,0.0975,0.0894,0.0555,0.0336,0.138,0.0540,0.0216,0.0228,0.0204,0.0204,0.0216,0.0222,0.0408,0.0213,0.0222,0.0663,0.0417,0.0237,0.0654,0.0213,0.0216,0.0216,0.0654,0.237,,0.0447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2023-12-12 21:45:40,0.215,0.743,0.631,0.341,0.306,5.31,1.82,0.205,0.250,0.202,0.202,0.205,0.232,0.403,0.205,0.218,0.853,0.405,0.263,0.613,0.204,0.202,0.202,0.634,4.90,,0.762,0.0162,0.0732,0.0630,0.0378,0.0273,0.116,0.0444,0.0162,0.0168,0.0153,0.0153,0.0162,0.0162,0.0306,0.0159,0.0168,0.0462,0.0312,0.0174,0.0477,0.0159,0.0156,0.0156,0.0474,0.200,,0.0363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2023-12-12 21:45:50,0.217,0.896,0.704,0.411,0.347,5.87,2.00,0.204,0.259,0.202,0.202,0.206,0.236,0.403,0.203,0.216,0.906,0.406,0.269,0.615,0.203,0.203,0.202,0.659,5.71,,0.860,0.0165,0.0795,0.0642,0.0495,0.0288,0.121,0.0441,0.0162,0.0168,0.0153,0.0153,0.0162,0.0165,0.0306,0.0159,0.0168,0.0447,0.0312,0.0177,0.0480,0.0162,0.0156,0.0156,0.0492,0.160,,0.0363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2023-12-12 21:46:00,0.289,1.18,1.02,0.561,0.439,8.40,2.84,0.274,0.356,0.269,0.269,0.275,0.317,0.539,0.273,0.289,1.25,0.541,0.353,0.833,0.275,0.274,0.277,0.861,7.38,,1.20,0.0222,0.110,0.0978,0.0636,0.0387,0.185,0.0630,0.0216,0.0228,0.0204,0.0204,0.0216,0.0219,0.0408,0.0213,0.0222,0.0573,0.0417,0.0231,0.0642,0.0213,0.0216,0.0213,0.0648,0.193,,0.0534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
