sep=,
"Time","camunda-platform-connectors-7d745cc4cd-lk6h4 / camunda8 / PKG","camunda-platform-elasticsearch-master-0 / camunda8 / PKG","camunda-platform-elasticsearch-master-1 / camunda8 / PKG","camunda-platform-operate-745dd6ffbd-hd2s7 / camunda8 / PKG","camunda-platform-tasklist-595f9975f6-62bbr / camunda8 / PKG","camunda-platform-zeebe-0 / camunda8 / PKG","camunda-platform-zeebe-gateway-5b66c5dffb-5swg8 / camunda8 / PKG","console-worker-console-worker-chart-camunda-8-go-console-wfzxss / camunda8 / PKG","coredns-77ccd57875-qkp4q / kube-system / PKG","helm-install-traefik-crd-hzktt / kube-system / PKG","helm-install-traefik-ncp5n / kube-system / PKG","local-path-provisioner-957fdf8bc-jnlfw / kube-system / PKG","metrics-server-648b5df564-msqlc / kube-system / PKG","svclb-traefik-5671c552-795qx / kube-system / PKG","traefik-768bdcdcdd-4f8ms / kube-system / PKG","test-responder-5768c7fbf7-cplsk / measuring-endpoints / PKG","alertmanager-kube-prometheus-stackr-alertmanager-0 / monitoring / PKG","kepler-8czsm / monitoring / PKG","kube-prometheus-stackr-grafana-6b8fb957c8-62pgz / monitoring / PKG","kube-prometheus-stackr-kube-state-metrics-6d5579569-7w9tb / monitoring / PKG","kube-prometheus-stackr-operator-8f879775f-f2q87 / monitoring / PKG","kube-prometheus-stackr-prometheus-node-exporter-qw4m2 / monitoring / PKG","prometheus-kube-prometheus-stackr-prometheus-0 / monitoring / PKG","system_processes / system / PKG","load-controller-57dd7dd5b7-hq6nt / worker / PKG","load-controller-7d4f7c8567-xgm2j / worker / PKG","restworkerjava-7df67bc98-nqzxc / worker / PKG","camunda-platform-connectors-7d745cc4cd-lk6h4 / camunda8 / DRAM","camunda-platform-elasticsearch-master-0 / camunda8 / DRAM","camunda-platform-elasticsearch-master-1 / camunda8 / DRAM","camunda-platform-operate-745dd6ffbd-hd2s7 / camunda8 / DRAM","camunda-platform-tasklist-595f9975f6-62bbr / camunda8 / DRAM","camunda-platform-zeebe-0 / camunda8 / DRAM","camunda-platform-zeebe-gateway-5b66c5dffb-5swg8 / camunda8 / DRAM","console-worker-console-worker-chart-camunda-8-go-console-wfzxss / camunda8 / DRAM","coredns-77ccd57875-qkp4q / kube-system / DRAM","helm-install-traefik-crd-hzktt / kube-system / DRAM","helm-install-traefik-ncp5n / kube-system / DRAM","local-path-provisioner-957fdf8bc-jnlfw / kube-system / DRAM","metrics-server-648b5df564-msqlc / kube-system / DRAM","svclb-traefik-5671c552-795qx / kube-system / DRAM","traefik-768bdcdcdd-4f8ms / kube-system / DRAM","test-responder-5768c7fbf7-cplsk / measuring-endpoints / DRAM","alertmanager-kube-prometheus-stackr-alertmanager-0 / monitoring / DRAM","kepler-8czsm / monitoring / DRAM","kube-prometheus-stackr-grafana-6b8fb957c8-62pgz / monitoring / DRAM","kube-prometheus-stackr-kube-state-metrics-6d5579569-7w9tb / monitoring / DRAM","kube-prometheus-stackr-operator-8f879775f-f2q87 / monitoring / DRAM","kube-prometheus-stackr-prometheus-node-exporter-qw4m2 / monitoring / DRAM","prometheus-kube-prometheus-stackr-prometheus-0 / monitoring / DRAM","system_processes / system / DRAM","load-controller-57dd7dd5b7-hq6nt / worker / DRAM","load-controller-7d4f7c8567-xgm2j / worker / DRAM","restworkerjava-7df67bc98-nqzxc / worker / DRAM","camunda-platform-connectors-7d745cc4cd-lk6h4 / camunda8 / OTHER","camunda-platform-elasticsearch-master-0 / camunda8 / OTHER","camunda-platform-elasticsearch-master-1 / camunda8 / OTHER","camunda-platform-operate-745dd6ffbd-hd2s7 / camunda8 / OTHER","camunda-platform-tasklist-595f9975f6-62bbr / camunda8 / OTHER","camunda-platform-zeebe-0 / camunda8 / OTHER","camunda-platform-zeebe-gateway-5b66c5dffb-5swg8 / camunda8 / OTHER","console-worker-console-worker-chart-camunda-8-go-console-wfzxss / camunda8 / OTHER","coredns-77ccd57875-qkp4q / kube-system / OTHER","helm-install-traefik-crd-hzktt / kube-system / OTHER","helm-install-traefik-ncp5n / kube-system / OTHER","local-path-provisioner-957fdf8bc-jnlfw / kube-system / OTHER","metrics-server-648b5df564-msqlc / kube-system / OTHER","svclb-traefik-5671c552-795qx / kube-system / OTHER","traefik-768bdcdcdd-4f8ms / kube-system / OTHER","test-responder-5768c7fbf7-cplsk / measuring-endpoints / OTHER","alertmanager-kube-prometheus-stackr-alertmanager-0 / monitoring / OTHER","kepler-8czsm / monitoring / OTHER","kube-prometheus-stackr-grafana-6b8fb957c8-62pgz / monitoring / OTHER","kube-prometheus-stackr-kube-state-metrics-6d5579569-7w9tb / monitoring / OTHER","kube-prometheus-stackr-operator-8f879775f-f2q87 / monitoring / OTHER","kube-prometheus-stackr-prometheus-node-exporter-qw4m2 / monitoring / OTHER","prometheus-kube-prometheus-stackr-prometheus-0 / monitoring / OTHER","system_processes / system / OTHER","load-controller-57dd7dd5b7-hq6nt / worker / OTHER","load-controller-7d4f7c8567-xgm2j / worker / OTHER","restworkerjava-7df67bc98-nqzxc / worker / OTHER"
2023-12-11 15:04:00,0.193,0.410,0.401,0.200,0.193,0.738,0.333,0.187,0.196,0.185,0.185,0.187,0.203,0.369,0.192,0.188,0.370,0.197,0.605,0.186,0.185,0.205,0.596,1.29,,0.188,0.188,0.0159,0.0327,0.0321,0.0165,0.0162,0.0168,0.0162,0.0159,0.0159,0.0153,0.0153,0.0159,0.0159,0.0306,0.0159,0.0159,0.0309,0.0159,0.0486,0.0159,0.0153,0.0165,0.0495,0.0384,,0.0159,0.0159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
2023-12-11 15:04:30,0.217,0.478,0.494,0.256,0.207,1.99,0.670,0.191,0.229,0.186,0.186,0.192,0.249,0.373,0.205,0.197,0.381,0.372,0.583,0.197,0.186,0.220,0.639,9.88,,0.196,0.197,0.0180,0.0420,0.0429,0.0225,0.0180,0.0366,0.0261,0.0162,0.0186,0.0153,0.0153,0.0162,0.0180,0.0306,0.0162,0.0165,0.0315,0.0231,0.0486,0.0159,0.0153,0.0180,0.0561,0.564,,0.0165,0.0165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
2023-12-11 15:05:00,0.210,0.589,0.547,0.270,0.210,2.30,0.776,0.195,0.238,0.186,0.186,0.190,0.232,0.373,0.226,0.218,0.377,0.573,0.636,0.202,0.190,0.235,0.795,4.65,0.214,0.196,0.252,0.0162,0.0381,0.0363,0.0186,0.0168,0.0234,0.0195,0.0162,0.0165,0.0153,0.0153,0.0162,0.0165,0.0306,0.0168,0.0168,0.0312,0.0177,0.0489,0.0162,0.0159,0.0171,0.0534,0.0696,0.0165,0.0165,0.0183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-11 15:05:30,0.198,0.534,0.497,0.228,0.204,1.55,0.571,0.189,0.209,0.186,0.186,0.206,0.218,0.373,0.188,0.241,0.373,0.251,0.593,0.188,0.187,0.209,0.605,2.46,0.194,,0.272,0.0162,0.0384,0.0366,0.0195,0.0168,0.0246,0.0192,0.0162,0.0162,0.0153,0.0153,0.0162,0.0162,0.0306,0.0159,0.0171,0.0312,0.0165,0.0486,0.0159,0.0156,0.0165,0.0498,0.0558,0.0162,,0.0180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2023-12-11 15:06:00,0.223,0.686,0.650,0.250,0.236,3.16,1.02,0.191,0.237,0.186,0.186,0.191,0.234,0.373,0.189,0.338,0.374,0.283,0.653,0.195,0.188,0.235,0.670,8.67,0.207,,0.373,0.0207,0.0666,0.0570,0.0309,0.0228,0.0747,0.0357,0.0162,0.0177,0.0153,0.0153,0.0162,0.0174,0.0306,0.0162,0.0210,0.0312,0.0189,0.0525,0.0159,0.0156,0.0192,0.0624,0.550,0.0177,,0.0258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2023-12-11 15:06:30,0.205,0.764,0.703,0.273,0.243,3.52,1.14,0.190,0.225,0.186,0.186,0.191,0.226,0.373,0.188,0.380,0.402,0.361,0.649,0.196,0.190,0.227,0.771,6.63,0.207,,0.443,0.0162,0.0564,0.0501,0.0282,0.0207,0.0492,0.0258,0.0162,0.0168,0.0153,0.0153,0.0162,0.0162,0.0306,0.0159,0.0192,0.0315,0.0198,0.0519,0.0162,0.0159,0.0165,0.0540,0.151,0.0165,,0.0216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2023-12-11 15:07:00,0.211,0.763,0.680,0.265,0.246,3.30,1.10,0.191,0.220,0.186,0.186,0.191,0.236,0.373,0.219,0.377,0.373,0.348,0.639,0.198,0.195,0.212,0.692,5.67,0.205,,0.397,0.0165,0.0528,0.0468,0.0252,0.0195,0.0477,0.0255,0.0162,0.0165,0.0153,0.0153,0.0162,0.0165,0.0306,0.0162,0.0183,0.0312,0.0174,0.0513,0.0162,0.0156,0.0165,0.0528,0.105,0.0165,,0.0213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2023-12-11 15:07:30,0.191,0.546,0.499,0.227,0.209,1.64,0.606,0.185,0.206,0.183,0.183,0.197,0.202,0.365,0.186,0.285,0.367,0.220,0.602,0.184,0.184,0.196,0.589,12.0,0.193,,0.305,0.0162,0.0471,0.0408,0.0234,0.0183,0.0375,0.0216,0.0162,0.0162,0.0153,0.0153,0.0162,0.0162,0.0306,0.0162,0.0177,0.0312,0.0174,0.0504,0.0162,0.0159,0.0165,0.0504,0.176,0.0168,,0.0195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2023-12-11 15:08:00,0.199,0.768,0.705,0.259,0.255,3.30,1.09,0.187,0.228,0.184,0.184,0.188,0.223,0.369,0.186,0.446,0.370,0.247,0.582,0.191,0.185,0.238,0.647,2.92,0.199,,0.492,0.0162,0.0597,0.0558,0.0291,0.0201,0.0624,0.0270,0.0162,0.0165,0.0153,0.0153,0.0162,0.0165,0.0306,0.0162,0.0204,0.0312,0.0171,0.0495,0.0162,0.0156,0.0168,0.0510,0.0711,0.0165,,0.0240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2023-12-11 15:08:30,0.199,0.884,0.870,0.276,0.291,3.95,1.33,0.188,0.215,0.184,0.184,0.188,0.219,0.369,0.187,0.493,0.385,0.346,0.704,0.186,0.195,0.204,0.646,11.7,0.208,,0.551,0.0162,0.0621,0.0594,0.0273,0.0225,0.0654,0.0279,0.0162,0.0165,0.0153,0.0153,0.0162,0.0162,0.0306,0.0159,0.0198,0.0315,0.0171,0.0510,0.0159,0.0156,0.0165,0.0504,0.134,0.0165,,0.0234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
