sep=,
"Time","restworkerjava-58d6f48b94-rbd6b / worker / PKG","restworkerjava-7885b99b5f-9mrn5 / worker / PKG","restworkerjava-85d7c5b9df-wpdkg / worker / PKG","restworkerjava-58d6f48b94-rbd6b / worker / DRAM","restworkerjava-7885b99b5f-9mrn5 / worker / DRAM","restworkerjava-85d7c5b9df-wpdkg / worker / DRAM","restworkerjava-58d6f48b94-rbd6b / worker / OTHER","restworkerjava-7885b99b5f-9mrn5 / worker / OTHER","restworkerjava-85d7c5b9df-wpdkg / worker / OTHER"
2024-02-10 10:45:00,0.163,,,0.0249,,,0,,
2024-02-10 10:45:10,0.136,,,0.0195,,,0,,
2024-02-10 10:45:20,0.122,,,0.0189,,,0,,
2024-02-10 10:45:30,0.178,,,0.0243,,,0,,
2024-02-10 10:45:40,0.125,,,0.0183,,,0,,
2024-02-10 10:45:50,0.120,,,0.0180,,,0,,
2024-02-10 10:46:00,0.183,,,0.0240,,,0,,
2024-02-10 10:46:10,0.656,,,0.0288,,,0,,
2024-02-10 10:46:20,0.466,,,0.0294,,,0,,
2024-02-10 10:46:30,0.307,,,0.0381,,,0,,
2024-02-10 10:46:40,1.000,,,0.0273,,,0,,
2024-02-10 10:46:50,1.53,,,0.0276,,,0,,
2024-02-10 10:47:00,0.352,,,0.0333,,,0,,
2024-02-10 10:47:10,0.418,,,0.0315,,,0,,
2024-02-10 10:47:20,1.60,,,0.0447,,,0,,
2024-02-10 10:47:30,1.05,,,0.0399,,,0,,
2024-02-10 10:47:40,1.69,,,0.0249,,,0,,
2024-02-10 10:47:50,0.646,,,0.0210,,,0,,
2024-02-10 10:48:00,0.260,,,0.0291,,,0,,
2024-02-10 10:48:10,0.186,,,0.0216,,,0,,
2024-02-10 10:48:20,0.267,,,0.0246,,,0,,
2024-02-10 10:48:30,0.290,,,0.0267,,,0,,
2024-02-10 10:48:40,0.123,,,0.0180,,,0,,
2024-02-10 10:48:50,0.164,,,0.0183,,,0,,
2024-02-10 10:49:00,0.163,,,0.0240,,,0,,
2024-02-10 10:49:10,0.135,,,0.0189,,,0,,
2024-02-10 10:49:20,0.557,,,0.0252,,,0,,
2024-02-10 10:49:30,0.261,,,0.0291,,,0,,
2024-02-10 10:49:40,0.609,,,0.0219,,,0,,
2024-02-10 10:49:50,1.17,,,0.0267,,,0,,
2024-02-10 10:50:00,1.75,,,0.0291,,,0,,
2024-02-10 10:50:10,0.243,,,0.0204,,,0,,
2024-02-10 10:50:20,0.292,,,0.0291,,,0,,
2024-02-10 10:50:30,0.348,,,0.0378,,,0,,
2024-02-10 10:50:40,0.199,,,0.0222,,,0,,
