sep=,
"Time","Job creation camunda8"
2024-02-10 10:41:20,23.9
2024-02-10 10:41:30,24.8
2024-02-10 10:41:40,23.3
2024-02-10 10:41:50,24.7
2024-02-10 10:42:00,25.6
2024-02-10 10:42:10,31.2
2024-02-10 10:42:20,45.6
2024-02-10 10:42:30,36
2024-02-10 10:42:40,24.8
2024-02-10 10:42:50,24
2024-02-10 10:43:00,24
2024-02-10 10:43:10,22.4
2024-02-10 10:43:20,24.8
2024-02-10 10:43:30,22.4
2024-02-10 10:43:40,0
2024-02-10 10:43:50,0
2024-02-10 10:44:00,0
2024-02-10 10:44:10,0
2024-02-10 10:44:20,0
2024-02-10 10:44:30,0
2024-02-10 10:44:40,0
2024-02-10 10:44:50,0
2024-02-10 10:45:00,0
2024-02-10 10:45:10,0
2024-02-10 10:45:20,0
2024-02-10 10:45:30,0
2024-02-10 10:45:40,0
2024-02-10 10:45:50,0
2024-02-10 10:46:00,0
2024-02-10 10:46:10,16.8
2024-02-10 10:46:20,24.8
2024-02-10 10:46:30,24
2024-02-10 10:46:40,24.8
2024-02-10 10:46:50,23.2
2024-02-10 10:47:00,24.9
2024-02-10 10:47:10,36.7
2024-02-10 10:47:20,47.2
2024-02-10 10:47:30,32.8
2024-02-10 10:47:40,22.4
2024-02-10 10:47:50,25.6
2024-02-10 10:48:00,24.2
2024-02-10 10:48:10,23.8
2024-02-10 10:48:20,25.6
2024-02-10 10:48:30,13.6
2024-02-10 10:48:40,0
2024-02-10 10:48:50,0
2024-02-10 10:49:00,0
2024-02-10 10:49:10,9.70
2024-02-10 10:49:20,23.1
2024-02-10 10:49:30,25.6
2024-02-10 10:49:40,20.9
2024-02-10 10:49:50,23.1
2024-02-10 10:50:00,25.6
2024-02-10 10:50:10,29.1
2024-02-10 10:50:20,46.1
2024-02-10 10:50:30,44
2024-02-10 10:50:40,24.9
2024-02-10 10:50:50,24.7
2024-02-10 10:51:00,25.6
2024-02-10 10:51:10,25.6
2024-02-10 10:51:20,22.4
2024-02-10 10:51:30,20
2024-02-10 10:51:40,0
2024-02-10 10:51:50,0
2024-02-10 10:52:00,0
2024-02-10 10:52:10,3.20
2024-02-10 10:52:20,24.8
2024-02-10 10:52:30,24.8
2024-02-10 10:52:40,24
2024-02-10 10:52:50,25.6
2024-02-10 10:53:00,22.8
2024-02-10 10:53:10,26
2024-02-10 10:53:20,43.3
2024-02-10 10:53:30,45.7
2024-02-10 10:53:40,23.8
2024-02-10 10:53:50,25.6
2024-02-10 10:54:00,23.3
2024-02-10 10:54:10,24.7
2024-02-10 10:54:20,24
2024-02-10 10:54:30,24
2024-02-10 10:54:40,4.80
2024-02-10 10:54:50,0
2024-02-10 10:55:00,0
2024-02-10 10:55:10,0
2024-02-10 10:55:20,19.3
2024-02-10 10:55:30,23.2
2024-02-10 10:55:40,25.5
2024-02-10 10:55:50,22.4
2024-02-10 10:56:00,25.6
2024-02-10 10:56:10,22.4
2024-02-10 10:56:20,41.7
2024-02-10 10:56:30,49
2024-02-10 10:56:40,31.7
2024-02-10 10:56:50,24.8
2024-02-10 10:57:00,25.6
2024-02-10 10:57:10,23.2
2024-02-10 10:57:20,24.9
2024-02-10 10:57:30,23.9
2024-02-10 10:57:40,7.20
2024-02-10 10:57:50,0
2024-02-10 10:58:00,0
2024-02-10 10:58:10,0
2024-02-10 10:58:20,12.9
2024-02-10 10:58:30,23.1
2024-02-10 10:58:40,24.2
2024-02-10 10:58:50,25.4
2024-02-10 10:59:00,24
2024-02-10 10:59:10,24
2024-02-10 10:59:20,32.8
2024-02-10 10:59:30,46.8
2024-02-10 10:59:40,37.2
2024-02-10 10:59:50,25.6
2024-02-10 11:00:00,23.3
2024-02-10 11:00:10,25.5
2024-02-10 11:00:20,24.8
2024-02-10 11:00:30,23.2
2024-02-10 11:00:40,17.6
2024-02-10 11:00:50,0
2024-02-10 11:01:00,0
2024-02-10 11:01:10,0
2024-02-10 11:01:20,4
2024-02-10 11:01:30,25.6
2024-02-10 11:01:40,24.8
2024-02-10 11:01:50,23.2
2024-02-10 11:02:00,25.6
2024-02-10 11:02:10,23.3
2024-02-10 11:02:20,25.5
2024-02-10 11:02:30,47.4
2024-02-10 11:02:40,45.4
2024-02-10 11:02:50,24
2024-02-10 11:03:00,24.8
2024-02-10 11:03:10,24.8
2024-02-10 11:03:20,24
2024-02-10 11:03:30,24.1
2024-02-10 11:03:40,23.9
2024-02-10 11:03:50,0
2024-02-10 11:04:00,0
2024-02-10 11:04:10,0
2024-02-10 11:04:20,0
2024-02-10 11:04:30,20
2024-02-10 11:04:40,25.6
2024-02-10 11:04:50,25.6
2024-02-10 11:05:00,22.4
2024-02-10 11:05:10,25.6
2024-02-10 11:05:20,22.8
2024-02-10 11:05:30,42
2024-02-10 11:05:40,50.4
2024-02-10 11:05:50,25.6
2024-02-10 11:06:00,25.6
2024-02-10 11:06:10,24.9
2024-02-10 11:06:20,23.1
2024-02-10 11:06:30,25.6
2024-02-10 11:06:40,25.6
2024-02-10 11:06:50,5.60
2024-02-10 11:07:00,0
2024-02-10 11:07:10,0
2024-02-10 11:07:20,0
2024-02-10 11:07:30,13.6
2024-02-10 11:07:40,25.6
2024-02-10 11:07:50,24.9
2024-02-10 11:08:00,23.1
2024-02-10 11:08:10,25.6
2024-02-10 11:08:20,24.8
2024-02-10 11:08:30,33.6
2024-02-10 11:08:40,46.6
