sep=,
"Time","CompleteJob (INTERNAL)","CompleteJob (NOT_FOUND)","ActivateJobs (OK)","CompleteJob (OK)","CreateProcessInstance (OK)","DeployResource (OK)","FailJob (OK)","Topology (OK)","ActivateJobs (RESOURCE_EXHAUSTED)","CreateProcessInstance (RESOURCE_EXHAUSTED)","Total requests completed"
2024-02-10 10:45:00,,0,0,0,0,0,,0,,,0
2024-02-10 10:45:10,,0,0,0,0,0,,0,,,0
2024-02-10 10:45:20,,0,0,0,0,0,,0,,,0
2024-02-10 10:45:30,,0,0,0,0,0,,0,,,0
2024-02-10 10:45:40,,0,0.100,0,0,0,,0,,,0.100
2024-02-10 10:45:50,,0,0,0,0,0,,0,,,0
2024-02-10 10:46:00,,0,0,0,0,0,,0,,,0
2024-02-10 10:46:10,,0,3.30,13.6,0.400,0,,0,,,17.3
2024-02-10 10:46:20,,0,6,24.8,0,0,,0,,,30.8
2024-02-10 10:46:30,,0,5.30,24,0,0,,0,,,29.3
2024-02-10 10:46:40,,0,4.90,22.6,0,0,,0,,,27.5
2024-02-10 10:46:50,,0,4.30,25.4,0,0,,0,,,29.7
2024-02-10 10:47:00,,0,3.60,24.8,0,0,,0,,,28.4
2024-02-10 10:47:10,,0,5.80,31.4,0.400,0,,0,,,37.6
2024-02-10 10:47:20,,0,8.50,49.5,0,0,,0,,,58
2024-02-10 10:47:30,,0,6.30,35.9,0,0,,0,,,42.2
2024-02-10 10:47:40,,0,2,22.4,0,0,,0,,,24.4
2024-02-10 10:47:50,,0,2.60,24.9,0,0,,0,,,27.5
2024-02-10 10:48:00,,0.300,3.40,23.2,0,0,,0,,,26.9
2024-02-10 10:48:10,,0,3.00,25.5,0,0,,0,,,28.5
2024-02-10 10:48:20,,0,2.80,25.6,0,0,,0,,,28.4
2024-02-10 10:48:30,,0,1.80,16.8,0,0,,0,,,18.6
2024-02-10 10:48:40,,0,0,0,0,0,,0,,,0
2024-02-10 10:48:50,,0,0,0,0,0,,0,,,0
2024-02-10 10:49:00,,0,0,0,0,0,,0,,,0
2024-02-10 10:49:10,,0,1.50,5.60,0.400,0,,0,,,7.50
2024-02-10 10:49:20,,0,5.40,24,0,0,,0,,,29.4
2024-02-10 10:49:30,,0,4.40,24.8,0,0,,0,,,29.2
2024-02-10 10:49:40,,0,4.30,21.6,0,0,,0,,,25.9
2024-02-10 10:49:50,,0,4.90,23.5,0,0,0,0,,,28.4
2024-02-10 10:50:00,,0,3.70,23.7,0,0,0,0,,,27.4
2024-02-10 10:50:10,,0,4.20,25.6,0.300,0,0,0,,,30.1
2024-02-10 10:50:20,,0,7.90,47.2,0.100,0,0,0,,,55.2
2024-02-10 10:50:30,,0,6.70,45.6,0,0,0,0,,,52.3
2024-02-10 10:50:40,,0,5.50,26.4,0,0,0,0,,,31.9
2024-02-10 10:50:50,,0,4.60,25.6,0,0,0,0,,,30.2
2024-02-10 10:51:00,,0,3.70,25.6,0,0,0,0,,,29.3
2024-02-10 10:51:10,,0,3.60,22.5,0,0,0,0,,,26.1
2024-02-10 10:51:20,,0,2.50,25.5,0,0,0,0,,,28
2024-02-10 10:51:30,,0,2.60,22.5,0,0,0,0,,,25.1
2024-02-10 10:51:40,,0,0,0.700,0,0,0,0,,,0.700
2024-02-10 10:51:50,,0,0,0,0,0,0,0,,,0
2024-02-10 10:52:00,,0,0,0,0,0,0,0,,,0
2024-02-10 10:52:10,,0,0,0,0,0,0,0,,,0
2024-02-10 10:52:20,,0,6.10,24.8,0.400,0,0,0,,,31.3
2024-02-10 10:52:30,,0,5.70,23.2,0,0,0,0,,,28.9
2024-02-10 10:52:40,,0,6.10,25.6,0,0,0,0,,,31.7
2024-02-10 10:52:50,,0,6.20,25.6,0,0,0,0,,,31.8
2024-02-10 10:53:00,,0.700,4.70,22.4,0,0,0,0,,,27.8
2024-02-10 10:53:10,,0,2.90,25.6,0,0,0,0,,,28.5
2024-02-10 10:53:20,,0,6.80,40.8,0.400,0,0,0,,,48.0
2024-02-10 10:53:30,,0,6.10,45.6,0,0,0,0,,,51.7
2024-02-10 10:53:40,,0,4.10,27.2,0,0,0,0,,,31.3
2024-02-10 10:53:50,,0,3.50,25.6,0,0,0,0,,,29.1
2024-02-10 10:54:00,,0,3.60,23.3,0,0,0,0,,,26.9
2024-02-10 10:54:10,,0,4.20,24.7,0,0,0,0,,,28.9
2024-02-10 10:54:20,,0,3,22.6,0,0,0,0,,,25.6
2024-02-10 10:54:30,,0.200,3.10,25.4,0,0,0,0,,,28.7
2024-02-10 10:54:40,,0,1.20,8,0,0,0,0,,,9.20
2024-02-10 10:54:50,,0,0,0,0,0,0,0,,,0
2024-02-10 10:55:00,,0,0,0,0,0,0,0,,,0
2024-02-10 10:55:10,,0,0,0,0,0,0,0,,,0
2024-02-10 10:55:20,,0,3.80,14.5,0.400,0,0,0,,,18.7
2024-02-10 10:55:30,,0.100,5.10,24.7,0,0,0,0,,,29.9
2024-02-10 10:55:40,,0,3.80,25.6,0,0,0,0,,,29.4
2024-02-10 10:55:50,,0,2,22.4,0,0,0,0,,,24.4
2024-02-10 10:56:00,,0,2.50,22.4,0,0,0,0,,,24.9
2024-02-10 10:56:10,,0,2.60,25.6,0,0,0,0,,,28.2
2024-02-10 10:56:20,,0,6,36.6,0.400,0,0,0,,,43
2024-02-10 10:56:30,,0,9,49.8,0,0,0,0,,,58.8
2024-02-10 10:56:40,,0,6.30,35.2,0,0,0,0,,,41.5
2024-02-10 10:56:50,,0,4.50,25.6,0,0,0,0,,,30.1
2024-02-10 10:57:00,,0,4.80,24.2,0,0,0,0,,,29.0
2024-02-10 10:57:10,,0,4.30,24.6,0,0,0,0,,,28.9
2024-02-10 10:57:20,,0,4.60,24.8,0,0,0,0,,,29.4
2024-02-10 10:57:30,,0,4.60,24,0,0,0,0,,,28.6
2024-02-10 10:57:40,,0,2.40,10.4,0,0,0,0,,,12.8
2024-02-10 10:57:50,,0,0,0,0,0,0,0,,,0
2024-02-10 10:58:00,,0,0,0,0,0,0,0,,,0
2024-02-10 10:58:10,,0,0,0,0,0,0,0,,,0
2024-02-10 10:58:20,,0,1.60,7.20,0.400,0,0,0,,,9.20
2024-02-10 10:58:30,,0.200,4.90,25.6,0,0,0,0,,,30.7
2024-02-10 10:58:40,,0,4.50,24,0,0,0,0,,,28.5
2024-02-10 10:58:50,,0,5.30,25.6,0,0,0,0,,,30.9
2024-02-10 10:59:00,,0,4.20,22.4,0,0,0,0,,,26.6
2024-02-10 10:59:10,,0,4.80,25.6,0,0,0,0,,,30.4
2024-02-10 10:59:20,,0,7.10,28.1,0.400,0,0,0,,,35.6
2024-02-10 10:59:30,,0,6.10,48.3,0,0,0,0,,,54.4
2024-02-10 10:59:40,,0,5.30,40.4,0,0,0,0,,,45.7
2024-02-10 10:59:50,,0,5.40,24.2,0,0,0,0,,,29.6
2024-02-10 11:00:00,,0,5.40,25.1,0,0,0,0,,,30.5
2024-02-10 11:00:10,,0,4.70,24.3,0,0,0,0,,,29
2024-02-10 11:00:20,,0,5.10,24.9,0,0,0,0,,,30
2024-02-10 11:00:30,,0,4.20,23.9,0,0,0,0,,,28.1
2024-02-10 11:00:40,,0,4,20.8,0,0,0,0,,,24.8
2024-02-10 11:00:50,,0,0,0,0,0,0,0,,,0
2024-02-10 11:01:00,,0,0,0,0,0,0,0,,,0
2024-02-10 11:01:10,,0,0,0,0,0,0,0,,,0
2024-02-10 11:01:20,,0,0.200,0.800,0.100,0,0,0,,,1.10
2024-02-10 11:01:30,,0,5.30,24.8,0.300,0,0,0,,,30.4
2024-02-10 11:01:40,,0,4.50,23.4,0,0,0,0,,,27.9
2024-02-10 11:01:50,,0,4.50,25.4,0,0,0,0,,,29.9
2024-02-10 11:02:00,,0.100,4.90,24.2,0,0,0,0,,,29.2
2024-02-10 11:02:10,,0,4.30,24.6,0,0,0,0,,,28.9
2024-02-10 11:02:20,,0,4.80,24.8,0,0,0,0,,,29.6
2024-02-10 11:02:30,,0,7.50,44,0.400,0,0,0,,,51.9
2024-02-10 11:02:40,,0,7.10,48.1,0,0,0,0,,,55.2
2024-02-10 11:02:50,,0,6.10,24.8,0,0,0,0,,,30.9
2024-02-10 11:03:00,,0,5.20,24.8,0,0,0,0,,,30
2024-02-10 11:03:10,,0,6,25.5,0,0,0,0,,,31.5
2024-02-10 11:03:20,,0,5.30,24,0,0,0,0,,,29.3
2024-02-10 11:03:30,,0,3.80,24,0,0,0,0,,,27.8
2024-02-10 11:03:40,,0,4.80,24.2,0,0,0,0,,,29
2024-02-10 11:03:50,,0,0.400,3,0,0,0,0,,,3.40
2024-02-10 11:04:00,,0,0,0,0,0,0,0,,,0
2024-02-10 11:04:10,,0,0,0,0,0,0,0,,,0
2024-02-10 11:04:20,,0,0,0,0,0,0,0,,,0
2024-02-10 11:04:30,,0,3.30,16.8,0.400,0,0,0,,,20.5
2024-02-10 11:04:40,,0,4.50,25.6,0,0,0,0,,,30.1
2024-02-10 11:04:50,,0,3.80,23,0,0,0,0,,,26.8
2024-02-10 11:05:00,,0,2,25,0,0,0,0,,,27
2024-02-10 11:05:10,,0,2.20,25.6,0,0,0,0,,,27.8
2024-02-10 11:05:20,,0,2,22.4,0,0,0,0,,,24.4
2024-02-10 11:05:30,,1.40,5.70,39.2,0.400,0,0,0,,,46.7
2024-02-10 11:05:40,,0,6.20,47.2,0,0,0,0,,,53.4
2024-02-10 11:05:50,,0,4.90,32,0,0,0,0,,,36.9
2024-02-10 11:06:00,,0,5,24.1,0,0,0,0,,,29.1
2024-02-10 11:06:10,,0,5.10,23.9,0,0,0,0,,,29
2024-02-10 11:06:20,,0,3.70,25.6,0,0,0,0,,,29.3
2024-02-10 11:06:30,,1.40,3.30,25.6,0,0,0,0,,,30.3
2024-02-10 11:06:40,,0,3.10,22.5,0,0,0,0,,,25.6
2024-02-10 11:06:50,,0,1.60,11.9,0,0,0,0,,,13.5
2024-02-10 11:07:00,,0,0,0,0,0,0,0,,,0
2024-02-10 11:07:10,,0,0,0,0,0,0,0,,,0
2024-02-10 11:07:20,,0,0,0,0,0,0,0,,,0
2024-02-10 11:07:30,,0,2.40,10.4,0.400,0,0,0,,,13.2
2024-02-10 11:07:40,,0,3.10,22.8,0,0,0,0,,,25.9
2024-02-10 11:07:50,,0,3.60,25.2,0,0,0,0,,,28.8
2024-02-10 11:08:00,,0,5.20,25.6,0,0,0,0,,,30.8
2024-02-10 11:08:10,,0,4.60,24.8,0,0,0,0,,,29.4
2024-02-10 11:08:20,,0,3.60,23.2,0,0,0,0,,,26.8
2024-02-10 11:08:30,,0,4.20,32.1,0.400,0,0,0,,,36.7
2024-02-10 11:08:40,,0,6.30,45.7,0,0,0,0,,,52
2024-02-10 11:08:50,,0,5,38.3,0,0,0,0,,,43.3
2024-02-10 11:09:00,,0,2.80,25.5,0,0,0,0,,,28.3
2024-02-10 11:09:10,,0,4.20,25.6,0,0,0,0,,,29.8
2024-02-10 11:09:20,,0,5.30,23.2,0,0,0,0,,,28.5
2024-02-10 11:09:30,,0.800,6.30,24.8,0,0,0,0,,,31.9
2024-02-10 11:09:40,,0,5.10,24,0,0,0,0,,,29.1
2024-02-10 11:09:50,,0,2.90,19.2,0,0,0,0,,,22.1
2024-02-10 11:10:00,,0,0,0,0,0,0,0,,,0
2024-02-10 11:10:10,,0,0,0,0,0,0,0,,,0
2024-02-10 11:10:20,,0,0,0,0,0,0,0,,,0
2024-02-10 11:10:30,,0,0.600,0.900,0.300,0,0,0,,,1.80
2024-02-10 11:10:40,,0,3.80,25.5,0.100,0,0,0,,,29.4
2024-02-10 11:10:50,,0,4.20,23.5,0,0,0,0,,,27.7
2024-02-10 11:11:00,,0.100,3.90,25.3,0,0,0,0,,,29.3
2024-02-10 11:11:10,,0,4.70,24.9,0,0,0,0,,,29.6
2024-02-10 11:11:20,,0,5,23.1,0,0,0,0,,,28.1
2024-02-10 11:11:30,,0,2.90,25.6,0,0,0,0,,,28.5
2024-02-10 11:11:40,,0,8.10,45.6,0.400,0,0,0,,,54.1
2024-02-10 11:11:50,,0,6.40,46.4,0,0,0,0,,,52.8
2024-02-10 11:12:00,,0,4.50,24,0,0,0,0,,,28.5
