sep=,
"Time","worker"
2024-02-14 18:30:00,0
2024-02-14 18:30:10,0
2024-02-14 18:30:20,0
2024-02-14 18:30:30,0
2024-02-14 18:30:40,0
2024-02-14 18:30:50,0
2024-02-14 18:31:00,0
2024-02-14 18:31:10,0
2024-02-14 18:31:20,3.20
2024-02-14 18:31:30,11.6
2024-02-14 18:31:40,12.4
2024-02-14 18:31:50,12.8
2024-02-14 18:32:00,12.8
2024-02-14 18:32:10,11.4
2024-02-14 18:32:20,12.6
2024-02-14 18:32:30,12.8
2024-02-14 18:32:40,11.2
2024-02-14 18:32:50,12.8
2024-02-14 18:33:00,12.8
2024-02-14 18:33:10,11.2
2024-02-14 18:33:20,18.5
2024-02-14 18:33:30,12.7
2024-02-14 18:33:40,12.8
2024-02-14 18:33:50,12.8
2024-02-14 18:34:00,11.3
2024-02-14 18:34:10,12.7
2024-02-14 18:34:20,12.8
2024-02-14 18:34:30,11.3
2024-02-14 18:34:40,12.7
2024-02-14 18:34:50,12.8
2024-02-14 18:35:00,11.8
2024-02-14 18:35:10,11.4
2024-02-14 18:35:20,8.80
2024-02-14 18:35:30,12.8
2024-02-14 18:35:40,12.8
2024-02-14 18:35:50,11.6
2024-02-14 18:36:00,12.4
2024-02-14 18:36:10,12.8
2024-02-14 18:36:20,12.8
2024-02-14 18:36:30,11.2
2024-02-14 18:36:40,12.8
2024-02-14 18:36:50,12.1
2024-02-14 18:37:00,11.9
2024-02-14 18:37:10,12.8
2024-02-14 18:37:20,8
2024-02-14 18:37:30,12.8
2024-02-14 18:37:40,12.8
2024-02-14 18:37:50,11.2
2024-02-14 18:38:00,12.8
2024-02-14 18:38:10,12.1
2024-02-14 18:38:20,11.9
2024-02-14 18:38:30,12.8
2024-02-14 18:38:40,11.3
2024-02-14 18:38:50,12.7
2024-02-14 18:39:00,12.8
2024-02-14 18:39:10,11.4
2024-02-14 18:39:20,9.40
2024-02-14 18:39:30,12.8
2024-02-14 18:39:40,12.1
2024-02-14 18:39:50,11.9
2024-02-14 18:40:00,12.8
2024-02-14 18:40:10,11.2
2024-02-14 18:40:20,12.8
2024-02-14 18:40:30,12
2024-02-14 18:40:40,12.8
2024-02-14 18:40:50,11.2
2024-02-14 18:41:00,12.8
2024-02-14 18:41:10,12.8
2024-02-14 18:41:20,9.60
2024-02-14 18:41:30,12.8
2024-02-14 18:41:40,11.2
2024-02-14 18:41:50,12.8
2024-02-14 18:42:00,12.8
2024-02-14 18:42:10,12.8
2024-02-14 18:42:20,12.1
2024-02-14 18:42:30,11.9
2024-02-14 18:42:40,12.8
2024-02-14 18:42:50,12.8
2024-02-14 18:43:00,11.2
2024-02-14 18:43:10,12.8
2024-02-14 18:43:20,8.80
2024-02-14 18:43:30,11.2
2024-02-14 18:43:40,12.8
2024-02-14 18:43:50,12.8
2024-02-14 18:44:00,12.8
2024-02-14 18:44:10,11.2
2024-02-14 18:44:20,12.8
2024-02-14 18:44:30,12.8
2024-02-14 18:44:40,11.2
2024-02-14 18:44:50,12.8
2024-02-14 18:45:00,12.8
2024-02-14 18:45:10,11.2
2024-02-14 18:45:20,9.60
2024-02-14 18:45:30,11.3
2024-02-14 18:45:40,12.7
2024-02-14 18:45:50,12.8
2024-02-14 18:46:00,12.8
2024-02-14 18:46:10,11.2
2024-02-14 18:46:20,12.8
2024-02-14 18:46:30,12.8
2024-02-14 18:46:40,11.3
2024-02-14 18:46:50,12.7
2024-02-14 18:47:00,12.8
2024-02-14 18:47:10,12.8
2024-02-14 18:47:20,8
