sep=,
"Time","restworkerjava-5b45897d78-698vk / worker / PKG","restworkerjava-5cbf76776f-2pph5 / worker / PKG","restworkerjava-644f69b555-lm96x / worker / PKG","restworkerjava-d65564b97-5jrgr / worker / PKG","restworkerjava-5b45897d78-698vk / worker / DRAM","restworkerjava-5cbf76776f-2pph5 / worker / DRAM","restworkerjava-644f69b555-lm96x / worker / DRAM","restworkerjava-d65564b97-5jrgr / worker / DRAM","restworkerjava-5b45897d78-698vk / worker / OTHER","restworkerjava-5cbf76776f-2pph5 / worker / OTHER","restworkerjava-644f69b555-lm96x / worker / OTHER","restworkerjava-d65564b97-5jrgr / worker / OTHER"
2024-02-14 18:30:00,,,,0.234,,,,0.0234,,,,0
2024-02-14 18:30:10,,,,0.260,,,,0.0201,,,,0
2024-02-14 18:30:20,8.99,,,0.260,0.0228,,,0.0201,0,,,0
2024-02-14 18:30:30,0.242,,,0.260,0.0228,,,0.0201,0,,,0
2024-02-14 18:30:40,0.176,,,0.260,0.0171,,,0.0201,0,,,0
2024-02-14 18:30:50,0.212,,,0.260,0.0183,,,0.0201,0,,,0
2024-02-14 18:31:00,0.256,,,,0.0228,,,,0,,,
2024-02-14 18:31:10,0.199,,,,0.0180,,,,0,,,
2024-02-14 18:31:20,2.39,,,,0.0222,,,,0,,,
2024-02-14 18:31:30,1.27,,,,0.0279,,,,0,,,
2024-02-14 18:31:40,0.685,,,,0.0207,,,,0,,,
2024-02-14 18:31:50,0.747,,,,0.0219,,,,0,,,
2024-02-14 18:32:00,1.13,,,,0.0276,,,,0,,,
2024-02-14 18:32:10,0.703,,,,0.0201,,,,0,,,
2024-02-14 18:32:20,0.964,,,,0.0207,,,,0,,,
2024-02-14 18:32:30,0.554,,,,0.0264,,,,0,,,
2024-02-14 18:32:40,0.361,,,,0.0201,,,,0,,,
2024-02-14 18:32:50,0.533,,,,0.0204,,,,0,,,
2024-02-14 18:33:00,0.643,,,,0.0264,,,,0,,,
2024-02-14 18:33:10,0.706,,,,0.0219,,,,0,,,
2024-02-14 18:33:20,1.06,,,,0.0219,,,,0,,,
2024-02-14 18:33:30,1.29,,,,0.0267,,,,0,,,
2024-02-14 18:33:40,0.567,,,,0.0192,,,,0,,,
2024-02-14 18:33:50,1.11,,,,0.0192,,,,0,,,
2024-02-14 18:34:00,0.545,,,,0.0264,,,,0,,,
2024-02-14 18:34:10,0.426,,,,0.0189,,,,0,,,
2024-02-14 18:34:20,0.368,,,,0.0195,,,,0,,,
2024-02-14 18:34:30,0.346,,,,0.0261,,,,0,,,
2024-02-14 18:34:40,0.294,,,,0.0195,,,,0,,,
2024-02-14 18:34:50,0.230,,,,0.0204,,,,0,,,
2024-02-14 18:35:00,0.923,,,,0.0261,,,,0,,,
2024-02-14 18:35:10,0.214,,,,0.0195,,,,0,,,
2024-02-14 18:35:20,0.246,,,,0.0210,,,,0,,,
2024-02-14 18:35:30,0.434,,,,0.0261,,,,0,,,
2024-02-14 18:35:40,0.307,,,,0.0189,,,,0,,,
2024-02-14 18:35:50,0.279,,,,0.0198,,,,0,,,
2024-02-14 18:36:00,0.289,,,,0.0261,,,,0,,,
2024-02-14 18:36:10,0.267,,,,0.0192,,,,0,,,
2024-02-14 18:36:20,0.227,,,,0.0192,,,,0,,,
2024-02-14 18:36:30,0.296,,,,0.0258,,,,0,,,
2024-02-14 18:36:40,0.277,,,,0.0195,,,,0,,,
2024-02-14 18:36:50,0.354,,,,0.0213,,,,0,,,
2024-02-14 18:37:00,0.477,,,,0.0264,,,,0,,,
2024-02-14 18:37:10,0.300,,,,0.0189,,,,0,,,
2024-02-14 18:37:20,0.547,,,,0.0216,,,,0,,,
2024-02-14 18:37:30,1.15,,,,0.0255,,,,0,,,
2024-02-14 18:37:40,0.257,,,,0.0186,,,,0,,,
2024-02-14 18:37:50,0.883,,,,0.0189,,,,0,,,
2024-02-14 18:38:00,0.587,,,,0.0255,,,,0,,,
2024-02-14 18:38:10,0.214,,,,0.0186,,,,0,,,
2024-02-14 18:38:20,0.224,,,,0.0186,,,,0,,,
2024-02-14 18:38:30,0.382,,,,0.0258,,,,0,,,
2024-02-14 18:38:40,0.500,,,,0.0186,,,,0,,,
2024-02-14 18:38:50,0.291,,,,0.0195,,,,0,,,
2024-02-14 18:39:00,0.846,,,,0.0258,,,,0,,,
2024-02-14 18:39:10,0.322,,,,0.0186,,,,0,,,
2024-02-14 18:39:20,0.406,,,,0.0240,,,,0,,,
2024-02-14 18:39:30,0.716,,,,0.0312,,,,0,,,
2024-02-14 18:39:40,0.206,,,,0.0219,,,,0,,,
2024-02-14 18:39:50,0.266,,,,0.0237,,,,0,,,
2024-02-14 18:40:00,0.342,,,,0.0285,,,,0,,,
2024-02-14 18:40:10,0.314,,,,0.0192,,,,0,,,
2024-02-14 18:40:20,0.199,,,,0.0207,,,,0,,,
2024-02-14 18:40:30,0.447,,,,0.0252,,,,0,,,
2024-02-14 18:40:40,0.211,,,,0.0195,,,,0,,,
2024-02-14 18:40:50,0.237,,,,0.0228,,,,0,,,
2024-02-14 18:41:00,0.286,,,,0.0321,,,,0,,,
2024-02-14 18:41:10,0.219,,,,0.0204,,,,0,,,
2024-02-14 18:41:20,0.789,,,,0.0270,,,,0,,,
2024-02-14 18:41:30,0.279,,,,0.0255,,,,0,,,
2024-02-14 18:41:40,0.322,,,,0.0210,,,,0,,,
2024-02-14 18:41:50,0.269,,,,0.0198,,,,0,,,
2024-02-14 18:42:00,0.293,,,,0.0312,,,,0,,,
2024-02-14 18:42:10,0.200,,,,0.0198,,,,0,,,
2024-02-14 18:42:20,0.199,,,,0.0207,,,,0,,,
2024-02-14 18:42:30,0.262,,,,0.0264,,,,0,,,
2024-02-14 18:42:40,0.195,,,,0.0195,,,,0,,,
2024-02-14 18:42:50,0.201,,,,0.0213,,,,0,,,
2024-02-14 18:43:00,0.298,,,,0.0297,,,,0,,,
2024-02-14 18:43:10,0.214,,,,0.0189,,,,0,,,
2024-02-14 18:43:20,0.186,,,,0.0192,,,,0,,,
2024-02-14 18:43:30,0.834,,,,0.0297,,,,0,,,
2024-02-14 18:43:40,0.194,,,,0.0192,,,,0,,,
2024-02-14 18:43:50,0.197,,,,0.0213,,,,0,,,
2024-02-14 18:44:00,0.276,,,,0.0261,,,,0,,,
2024-02-14 18:44:10,0.200,,,,0.0177,,,,0,,,
2024-02-14 18:44:20,0.203,,,,0.0192,,,,0,,,
2024-02-14 18:44:30,0.271,,,,0.0246,,,,0,,,
2024-02-14 18:44:40,0.207,,,,0.0219,,,,0,,,
2024-02-14 18:44:50,0.262,,,,0.0237,,,,0,,,
2024-02-14 18:45:00,0.268,,,,0.0255,,,,0,,,
2024-02-14 18:45:10,0.198,,,,0.0189,,,,0,,,
2024-02-14 18:45:20,0.187,,,,0.0183,,,,0,,,
2024-02-14 18:45:30,0.331,,,,0.0270,,,,0,,,
2024-02-14 18:45:40,0.201,,,,0.0186,,,,0,,,
2024-02-14 18:45:50,0.232,,,,0.0201,,,,0,,,
2024-02-14 18:46:00,0.275,,,,0.0255,,,,0,,,
2024-02-14 18:46:10,0.206,,,,0.0183,,,,0,,,
2024-02-14 18:46:20,0.504,,,,0.0201,,,,0,,,
2024-02-14 18:46:30,0.377,,,,0.0261,,,,0,,,
2024-02-14 18:46:40,0.243,,,,0.0201,,,,0,,,
2024-02-14 18:46:50,0.229,,,,0.0207,,,,0,,,
2024-02-14 18:47:00,0.305,,,,0.0279,,,,0,,,
2024-02-14 18:47:10,0.213,,,,0.0186,,,,0,,,
2024-02-14 18:47:20,0.191,,,,0.0192,,,,0,,,
2024-02-14 18:47:30,0.271,,,,0.0273,,,,0,,,
2024-02-14 18:47:40,0.198,,,,0.0189,,,,0,,,
2024-02-14 18:47:50,0.205,,,,0.0192,,,,0,,,
2024-02-14 18:48:00,0.302,,,,0.0261,,,,0,,,
2024-02-14 18:48:10,0.204,,,,0.0192,,,,0,,,
2024-02-14 18:48:20,0.252,,,,0.0198,,,,0,,,
2024-02-14 18:48:30,0.463,,,,0.0264,,,,0,,,
2024-02-14 18:48:40,0.213,,,,0.0198,,,,0,,,
2024-02-14 18:48:50,0.201,,,,0.0204,,,,0,,,
2024-02-14 18:49:00,0.279,,,,0.0276,,,,0,,,
2024-02-14 18:49:10,0.202,,,,0.0195,,,,0,,,
2024-02-14 18:49:20,0.192,,,,0.0192,,,,0,,,
2024-02-14 18:49:30,0.273,,,,0.0282,,,,0,,,
2024-02-14 18:49:40,0.198,,,,0.0189,,,,0,,,
2024-02-14 18:49:50,0.191,,,,0.0183,,,,0,,,
2024-02-14 18:50:00,0.284,,,,0.0264,,,,0,,,
