sep=,
"Time","CompleteJob (INTERNAL)","CompleteJob (NOT_FOUND)","CreateProcessInstance (NOT_FOUND)","ActivateJobs (OK)","CompleteJob (OK)","CreateProcessInstance (OK)","DeployResource (OK)","FailJob (OK)","Topology (OK)","ActivateJobs (RESOURCE_EXHAUSTED)","CreateProcessInstance (RESOURCE_EXHAUSTED)","Total requests completed"
2024-02-14 18:30:00,,0,0,0,0,0,0,,0,,,0
2024-02-14 18:30:10,,0,0,0,0,0,0,,0,,,0
2024-02-14 18:30:20,,0,0,0,0,0,0,,0,,,0
2024-02-14 18:30:30,,0,0,0,0,0,0,,0,,,0
2024-02-14 18:30:40,,0,0,0,0,0,0,,0,,,0
2024-02-14 18:30:50,,0,0,0,0,0,0,,0,,,0
2024-02-14 18:31:00,,0,0,0,0,0,0,,0,,,0
2024-02-14 18:31:10,,0,0,0,0,0.200,0,,0,,,0.200
2024-02-14 18:31:20,,0,0,2.60,9.60,0,0,,0,,,12.2
2024-02-14 18:31:30,,0,0,3.20,11.3,0,0,,0,,,14.5
2024-02-14 18:31:40,,0,0,3.60,12.7,0,0,,0,,,16.3
2024-02-14 18:31:50,,0,0,3.50,12.8,0,0,,0,,,16.3
2024-02-14 18:32:00,,0,0,3.60,12.8,0,0,,0,,,16.4
2024-02-14 18:32:10,,0,0,3.20,11.2,0,0,,0,,,14.4
2024-02-14 18:32:20,,0,0,3.30,12.8,0,0,,0,,,16.1
2024-02-14 18:32:30,,0,0,3.20,12.8,0,0,,0,,,16
2024-02-14 18:32:40,,0,0,3,11.2,0,0,,0,,,14.2
2024-02-14 18:32:50,,0,0,3.40,12.8,0,0,,0,,,16.2
2024-02-14 18:33:00,,0,0,3.60,12.8,0,0,,0,,,16.4
2024-02-14 18:33:10,,0,0,4.60,16.9,0.200,0,,0,,,21.7
2024-02-14 18:33:20,,0,0,3.40,12.7,0,0,,0,,,16.1
2024-02-14 18:33:30,,0,0,3.50,12.8,0,0,,0,,,16.3
2024-02-14 18:33:40,,0,0,3.60,12.8,0,0,,0,,,16.4
2024-02-14 18:33:50,,0,0,3.40,12.8,0,0,,0,,,16.2
2024-02-14 18:34:00,,0,0,3.40,11.2,0,0,,0,,,14.6
2024-02-14 18:34:10,,0,0,3.60,12.8,0,0,,0,,,16.4
2024-02-14 18:34:20,,0,0,3.60,12.8,0,0,,0,,,16.4
2024-02-14 18:34:30,,0,0,3.50,11.2,0,0,,0,,,14.7
2024-02-14 18:34:40,,0,0,3.70,12.8,0,0,,0,,,16.5
2024-02-14 18:34:50,,0,0,3.70,12.8,0,0,,0,,,16.5
2024-02-14 18:35:00,,0,0,3.80,11.4,0,0,,0,,,15.2
2024-02-14 18:35:10,,0,0,2.40,8.70,0.200,0,,0,,,11.3
2024-02-14 18:35:20,,0,0,3.40,11.9,0,0,,0,,,15.3
2024-02-14 18:35:30,,0,0,3.40,12.8,0,0,,0,,,16.2
2024-02-14 18:35:40,,0,0,3.20,12.8,0,0,,0,,,16
2024-02-14 18:35:50,,0,0,3.70,12.1,0,0,,0,,,15.8
2024-02-14 18:36:00,,0,0,3.30,11.9,0,0,,0,,,15.2
2024-02-14 18:36:10,,0,0,3.80,12.8,0,0,,0,,,16.6
2024-02-14 18:36:20,,0,0,3.50,12.8,0,0,,0,,,16.3
2024-02-14 18:36:30,,0,0,3.30,11.2,0,0,,0,,,14.5
2024-02-14 18:36:40,,0,0,4,12.8,0,0,,0,,,16.8
2024-02-14 18:36:50,,0,0,3.70,12.1,0,0,,0,,,15.8
2024-02-14 18:37:00,,0,0,3.20,11.9,0,0,,0,,,15.1
2024-02-14 18:37:10,,0,0,2.70,8.90,0.200,0,,0,,,11.8
2024-02-14 18:37:20,,0,0,3.20,11.9,0,0,,0,,,15.1
2024-02-14 18:37:30,,0,0,3.60,12.8,0,0,,0,,,16.4
2024-02-14 18:37:40,,0,0,3.50,12.8,0,0,,0,,,16.3
2024-02-14 18:37:50,,0,0,2.80,11.2,0,0,,0,,,14
2024-02-14 18:38:00,,0,0,3.50,12.8,0,0,,0,,,16.3
2024-02-14 18:38:10,,0,0,3.30,11.4,0,0,,0,,,14.7
2024-02-14 18:38:20,,0,0,2.90,12.6,0,0,,0,,,15.5
2024-02-14 18:38:30,,1.40,0,3.60,12.8,0,0,,0,,,17.8
2024-02-14 18:38:40,,0,0,3.10,11.3,0,0,,0,,,14.4
2024-02-14 18:38:50,,0,0,3.40,12.7,0,0,,0,,,16.1
2024-02-14 18:39:00,,0,0,3.50,12.8,0,0,,0,,,16.3
2024-02-14 18:39:10,,0,0,2.40,8.80,0.100,0,,0,,,11.3
2024-02-14 18:39:20,,0,0,3.10,12,0.100,0,,0,,,15.2
2024-02-14 18:39:30,,0,0,3.90,12.8,0,0,,0,,,16.7
