sep=,
"Time","camunda-platform-elasticsearch-master-0 / camunda8 / PKG","camunda-platform-elasticsearch-master-1 / camunda8 / PKG","camunda-platform-operate-5bc7c489c4-8zrg4 / camunda8 / PKG","camunda-platform-tasklist-9968d5594-9257r / camunda8 / PKG","camunda-platform-zeebe-0 / camunda8 / PKG","camunda-platform-zeebe-gateway-5ff76496c4-n9kzj / camunda8 / PKG","camunda-platform-elasticsearch-master-0 / camunda8 / DRAM","camunda-platform-elasticsearch-master-1 / camunda8 / DRAM","camunda-platform-operate-5bc7c489c4-8zrg4 / camunda8 / DRAM","camunda-platform-tasklist-9968d5594-9257r / camunda8 / DRAM","camunda-platform-zeebe-0 / camunda8 / DRAM","camunda-platform-zeebe-gateway-5ff76496c4-n9kzj / camunda8 / DRAM","camunda-platform-elasticsearch-master-0 / camunda8 / OTHER","camunda-platform-elasticsearch-master-1 / camunda8 / OTHER","camunda-platform-operate-5bc7c489c4-8zrg4 / camunda8 / OTHER","camunda-platform-tasklist-9968d5594-9257r / camunda8 / OTHER","camunda-platform-zeebe-0 / camunda8 / OTHER","camunda-platform-zeebe-gateway-5ff76496c4-n9kzj / camunda8 / OTHER"
2024-02-14 18:30:00,0.544,0.485,0.242,0.237,0.526,0.300,0.0468,0.0468,0.0234,0.0234,0.0234,0.0234,0,0,0,0,0,0
2024-02-14 18:30:10,0.350,0.379,0.172,0.170,0.329,0.203,0.0402,0.0402,0.0201,0.0201,0.0201,0.0201,0,0,0,0,0,0
2024-02-14 18:30:20,0.362,0.363,0.174,0.171,0.412,0.203,0.0456,0.0456,0.0228,0.0228,0.0228,0.0228,0,0,0,0,0,0
2024-02-14 18:30:30,0.518,0.478,0.241,0.234,0.490,0.277,0.0456,0.0456,0.0228,0.0228,0.0228,0.0228,0,0,0,0,0,0
2024-02-14 18:30:40,0.356,0.381,0.329,0.173,0.330,0.190,0.0342,0.0342,0.0171,0.0171,0.0171,0.0171,0,0,0,0,0,0
2024-02-14 18:30:50,0.373,0.380,0.181,0.179,0.421,0.238,0.0366,0.0366,0.0183,0.0183,0.0183,0.0183,0,0,0,0,0,0
2024-02-14 18:31:00,0.485,0.490,0.245,0.236,0.564,0.281,0.0456,0.0456,0.0228,0.0228,0.0228,0.0228,0,0,0,0,0,0
2024-02-14 18:31:10,0.390,0.369,0.177,0.174,0.346,0.205,0.0360,0.0360,0.0180,0.0180,0.0180,0.0180,0,0,0,0,0,0
2024-02-14 18:31:20,1.66,0.442,0.180,0.204,0.578,0.256,0.0444,0.0444,0.0222,0.0222,0.0222,0.0222,0,0,0,0,0,0
2024-02-14 18:31:30,2.18,1.44,0.787,0.251,1.50,0.524,0.0558,0.0558,0.0279,0.0279,0.0279,0.0279,0,0,0,0,0,0
2024-02-14 18:31:40,1.45,1.27,0.394,0.387,1.45,0.437,0.0414,0.0414,0.0207,0.0207,0.0207,0.0207,0,0,0,0,0,0
2024-02-14 18:31:50,1.82,2.58,0.396,0.287,1.31,0.715,0.0438,0.0438,0.0219,0.0219,0.0219,0.0219,0,0,0,0,0,0
2024-02-14 18:32:00,2.32,0.905,0.368,0.324,2.30,1.06,0.0552,0.0552,0.0276,0.0276,0.0276,0.0276,0,0,0,0,0,0
2024-02-14 18:32:10,1.08,0.500,0.319,0.272,1.51,0.344,0.0402,0.0402,0.0201,0.0201,0.0201,0.0201,0,0,0,0,0,0
2024-02-14 18:32:20,0.672,0.828,0.303,0.351,1.02,1.11,0.0414,0.0414,0.0207,0.0207,0.0207,0.0207,0,0,0,0,0,0
2024-02-14 18:32:30,2.31,1.13,0.533,0.320,1.51,0.432,0.0528,0.0528,0.0264,0.0264,0.0264,0.0264,0,0,0,0,0,0
2024-02-14 18:32:40,1.19,1.35,0.254,0.256,0.936,0.435,0.0402,0.0402,0.0201,0.0201,0.0201,0.0201,0,0,0,0,0,0
2024-02-14 18:32:50,1.30,0.861,0.308,0.276,1.04,0.512,0.0408,0.0408,0.0204,0.0204,0.0204,0.0204,0,0,0,0,0,0
2024-02-14 18:33:00,1.80,1.01,1.01,0.385,1.89,0.789,0.0528,0.0528,0.0264,0.0264,0.0264,0.0264,0,0,0,0,0,0
2024-02-14 18:33:10,1.44,1.86,0.261,0.215,1.09,0.703,0.0438,0.0438,0.0219,0.0219,0.0219,0.0219,0,0,0,0,0,0
