sep=,
"Time","restworkerjava-586c6d968c-rnl6d / worker / PKG","restworkerjava-6645c55fc5-nrl9d / worker / PKG","restworkerjava-6c74555757-v7cqd / worker / PKG","restworkerjava-84544b4f5-dcldx / worker / PKG","restworkerjava-586c6d968c-rnl6d / worker / DRAM","restworkerjava-6645c55fc5-nrl9d / worker / DRAM","restworkerjava-6c74555757-v7cqd / worker / DRAM","restworkerjava-84544b4f5-dcldx / worker / DRAM","restworkerjava-586c6d968c-rnl6d / worker / OTHER","restworkerjava-6645c55fc5-nrl9d / worker / OTHER","restworkerjava-6c74555757-v7cqd / worker / OTHER","restworkerjava-84544b4f5-dcldx / worker / OTHER"
2024-02-16 11:22:00,,,0.205,,,,0.0174,,,,0,
2024-02-16 11:22:10,,,0.198,,,,0.0177,,,,0,
2024-02-16 11:22:20,,,0.198,,,,0.0177,,,,0,
2024-02-16 11:22:30,,0.865,0.198,,,0.0183,0.0177,,,0,0,
2024-02-16 11:22:40,,0.219,0.198,,,0.0177,0.0177,,,0,0,
2024-02-16 11:22:50,,0.269,0.198,,,0.0258,0.0177,,,0,0,
2024-02-16 11:23:00,,0.200,,,,0.0210,,,,0,,
2024-02-16 11:23:10,,0.210,,,,0.0180,,,,0,,
2024-02-16 11:23:20,,0.275,,,,0.0243,,,,0,,
2024-02-16 11:23:30,,0.200,,,,0.0177,,,,0,,
2024-02-16 11:23:40,,0.200,,,,0.0177,,,,0,,
2024-02-16 11:23:50,,0.285,,,,0.0240,,,,0,,
2024-02-16 11:24:00,,0.209,,,,0.0207,,,,0,,
2024-02-16 11:24:10,,0.217,,,,0.0180,,,,0.000300,,
2024-02-16 11:24:20,,2.09,,,,0.0288,,,,0,,
2024-02-16 11:24:30,,0.525,,,,0.0189,,,,0,,
2024-02-16 11:24:40,,0.416,,,,0.0198,,,,0,,
2024-02-16 11:24:50,,0.573,,,,0.0327,,,,0,,
2024-02-16 11:25:00,,0.904,,,,0.0192,,,,0,,
2024-02-16 11:25:10,,0.564,,,,0.0198,,,,0,,
2024-02-16 11:25:20,,0.801,,,,0.0258,,,,0,,
2024-02-16 11:25:30,,0.306,,,,0.0186,,,,0,,
2024-02-16 11:25:40,,0.932,,,,0.0186,,,,0,,
2024-02-16 11:25:50,,0.547,,,,0.0264,,,,0,,
2024-02-16 11:26:00,,0.486,,,,0.0213,,,,0,,
2024-02-16 11:26:10,,0.746,,,,0.0189,,,,0,,
2024-02-16 11:26:20,,0.358,,,,0.0264,,,,0,,
2024-02-16 11:26:30,,0.615,,,,0.0189,,,,0,,
2024-02-16 11:26:40,,0.237,,,,0.0180,,,,0,,
