sep=,
"Time","CompleteJob (INTERNAL)","CompleteJob (NOT_FOUND)","CreateProcessInstance (NOT_FOUND)","ActivateJobs (OK)","CompleteJob (OK)","CreateProcessInstance (OK)","DeployResource (OK)","Topology (OK)","ActivateJobs (RESOURCE_EXHAUSTED)","CreateProcessInstance (RESOURCE_EXHAUSTED)","Total requests completed"
2024-02-16 11:22:00,,0,0,0.00909,0,0,0,0,0,0,0.00909
2024-02-16 11:22:10,,0,0,0.00909,0,0,0,0,0,0,0.00909
2024-02-16 11:22:20,,0,0,0.0182,0,0,0,0,0,0,0.0182
2024-02-16 11:22:30,,0,0,0.0182,0,0,0,0,0,0,0.0182
2024-02-16 11:22:40,,0,0,0.0182,0,0,0,0,0,0,0.0182
2024-02-16 11:22:50,,0,0,0.0182,0,0,0,0,0,0,0.0182
2024-02-16 11:23:00,,0,0,0.00909,0,0,0,0,0,0,0.00909
2024-02-16 11:23:10,,0,0,0.00909,0,0,0,0,0,0,0.00909
2024-02-16 11:23:20,,0,0,0.00909,0,0,0,0,0,0,0.00909
2024-02-16 11:23:30,,0,0,0.0182,0,0,0,0,0,0,0.0182
2024-02-16 11:23:40,,0,0,0.0182,0,0,0,0,0,0,0.0182
2024-02-16 11:23:50,,0,0,0.0182,0,0,0,0,0,0,0.0182
2024-02-16 11:24:00,,0,0,0.0182,0,0,0,0,0,0,0.0182
2024-02-16 11:24:10,,0,0,0.0273,0.0727,0.00909,0,0,0,0,0.109
2024-02-16 11:24:20,,0,0,0.373,1.24,0.0182,0,0,0,0,1.63
2024-02-16 11:24:30,,0,0,0.700,2.34,0.0182,0,0,0,0,3.05
2024-02-16 11:24:40,,0,0,0.982,3.42,0.0182,0,0,0,0,4.42
2024-02-16 11:24:50,,0,0,1.27,4.52,0.0182,0,0,0,0,5.81
2024-02-16 11:25:00,,0,0,1.55,5.67,0.0182,0,0,0,0,7.24
2024-02-16 11:25:10,,0,0,1.84,6.77,0.0182,0,0,0,0,8.63
2024-02-16 11:25:20,,0,0,2.14,7.94,0.0182,0,0,0,0,10.1
2024-02-16 11:25:30,,0,0,2.42,9.02,0.0182,0,0,0,0,11.5
2024-02-16 11:25:40,,0,0,2.71,10.2,0.0182,0,0,0,0,12.9
2024-02-16 11:25:50,,0,0,3.03,11.3,0.0182,0,0,0,0,14.3
2024-02-16 11:26:00,,0,0,3.32,12.3,0.00909,0,0,0,0,15.6
2024-02-16 11:26:10,,0,0,3.21,12,0,0,0,0,0,15.2
2024-02-16 11:26:20,,0,0,3.19,11.9,0.0182,0,0,0,0,15.1
2024-02-16 11:26:30,,0,0,3.16,12,0.0182,0,0,0,0,15.2
2024-02-16 11:26:40,,0,0,3.20,12.1,0.0182,0,0,0,0,15.3
2024-02-16 11:26:50,,0,0,3.24,12.0,0.0182,0,0,0,0,15.3
2024-02-16 11:27:00,,0,0,3.24,12.0,0.0182,0,0,0,0,15.2
2024-02-16 11:27:10,,0,0,3.22,12.0,0.0182,0,0,0,0,15.2
2024-02-16 11:27:20,,0,0,3.28,12.1,0.0182,0,0,0,0,15.4
2024-02-16 11:27:30,,0,0,3.35,12.1,0.0182,0,0,0,0,15.4
2024-02-16 11:27:40,,0,0,3.29,12,0.0182,0,0,0,0,15.3
