sep=,
"Time","restworkerjava-5c575459f9-sx582 / worker / PKG","restworkerjava-69696875f9-hsbkr / worker / PKG","restworkerjava-698c49cff-vqd6b / worker / PKG","restworkerjava-865c45bdb4-r7jm4 / worker / PKG","restworkerjava-5c575459f9-sx582 / worker / DRAM","restworkerjava-69696875f9-hsbkr / worker / DRAM","restworkerjava-698c49cff-vqd6b / worker / DRAM","restworkerjava-865c45bdb4-r7jm4 / worker / DRAM","restworkerjava-5c575459f9-sx582 / worker / OTHER","restworkerjava-69696875f9-hsbkr / worker / OTHER","restworkerjava-698c49cff-vqd6b / worker / OTHER","restworkerjava-865c45bdb4-r7jm4 / worker / OTHER"
2024-02-17 22:50:00,,,,0.242,,,,0.0225,,,,0
2024-02-17 22:50:10,,,,0.181,,,,0.0168,,,,0
2024-02-17 22:50:20,,,,0.181,,,,0.0168,,,,0
2024-02-17 22:50:30,,,0.418,0.181,,,0.0231,0.0168,,,0,0
2024-02-17 22:50:40,,,0.182,0.181,,,0.0171,0.0168,,,0,0
2024-02-17 22:50:50,,,0.185,0.181,,,0.0171,0.0168,,,0,0
2024-02-17 22:51:00,,,0.242,,,,0.0228,,,,0,
2024-02-17 22:51:10,,,0.181,,,,0.0168,,,,0,
2024-02-17 22:51:20,,,0.189,,,,0.0171,,,,0,
2024-02-17 22:51:30,,,0.252,,,,0.0225,,,,0,
2024-02-17 22:51:40,,,0.181,,,,0.0168,,,,0,
2024-02-17 22:51:50,,,0.185,,,,0.0171,,,,0,
2024-02-17 22:52:00,,,0.242,,,,0.0228,,,,0,
2024-02-17 22:52:10,,,0.183,,,,0.0171,,,,0,
2024-02-17 22:52:20,,,1.46,,,,0.0885,,,,0,
2024-02-17 22:52:30,,,1.83,,,,0.0705,,,,0,
2024-02-17 22:52:40,,,0.934,,,,0.0588,,,,0,
2024-02-17 22:52:50,,,0.802,,,,0.0519,,,,0,
2024-02-17 22:53:00,,,0.790,,,,0.0561,,,,0,
2024-02-17 22:53:10,,,0.439,,,,0.0417,,,,0,
2024-02-17 22:53:20,,,0.749,,,,0.0402,,,,0,
2024-02-17 22:53:30,,,1.71,,,,0.0585,,,,0,
2024-02-17 22:53:40,,,0.562,,,,0.0372,,,,0,
2024-02-17 22:53:50,,,0.455,,,,0.0399,,,,0,
2024-02-17 22:54:00,,,1.13,,,,0.0510,,,,0,
2024-02-17 22:54:10,,,0.736,,,,0.0378,,,,0,
2024-02-17 22:54:20,,,0.495,,,,0.0450,,,,0,
2024-02-17 22:54:30,,,0.378,,,,0.0486,,,,0,
2024-02-17 22:54:40,,,0.365,,,,0.0327,,,,0,
2024-02-17 22:54:50,,,0.282,,,,0.0276,,,,0,
2024-02-17 22:55:00,,,0.646,,,,0.0423,,,,0,
2024-02-17 22:55:10,,,0.796,,,,0.0279,,,,0,
2024-02-17 22:55:20,,,0.433,,,,0.0294,,,,0,
2024-02-17 22:55:30,,,0.434,,,,0.0378,,,,0,
2024-02-17 22:55:40,,,0.237,,,,0.0264,,,,0,
2024-02-17 22:55:50,,,0.988,,,,0.0411,,,,0,
2024-02-17 22:56:00,,,1.62,,,,0.0444,,,,0,
