sep=,
"Time","Job completion camunda8"
2024-02-17 22:50:00,0
2024-02-17 22:50:10,0
2024-02-17 22:50:20,0
2024-02-17 22:50:30,0
2024-02-17 22:50:40,0
2024-02-17 22:50:50,0
2024-02-17 22:51:00,0
2024-02-17 22:51:10,0
2024-02-17 22:51:20,0
2024-02-17 22:51:30,0
2024-02-17 22:51:40,0
2024-02-17 22:51:50,0
2024-02-17 22:52:00,0
2024-02-17 22:52:10,0.800
2024-02-17 22:52:20,11.4
2024-02-17 22:52:30,12.6
2024-02-17 22:52:40,12
2024-02-17 22:52:50,12
2024-02-17 22:53:00,11.4
2024-02-17 22:53:10,12.6
2024-02-17 22:53:20,12.8
2024-02-17 22:53:30,12.6
2024-02-17 22:53:40,11.4
2024-02-17 22:53:50,12.1
2024-02-17 22:54:00,11.9
2024-02-17 22:54:10,12
2024-02-17 22:54:20,11.2
2024-02-17 22:54:30,12
2024-02-17 22:54:40,12
2024-02-17 22:54:50,12.1
2024-02-17 22:55:00,12.7
2024-02-17 22:55:10,12
2024-02-17 22:55:20,12
2024-02-17 22:55:30,12.8
2024-02-17 22:55:40,11.3
2024-02-17 22:55:50,12.7
2024-02-17 22:56:00,12.8
2024-02-17 22:56:10,11.2
2024-02-17 22:56:20,10.4
2024-02-17 22:56:30,12
2024-02-17 22:56:40,12.1
2024-02-17 22:56:50,11.9
2024-02-17 22:57:00,12.8
2024-02-17 22:57:10,11.2
2024-02-17 22:57:20,12.8
2024-02-17 22:57:30,11.3
2024-02-17 22:57:40,12.7
2024-02-17 22:57:50,11.3
2024-02-17 22:58:00,12.7
2024-02-17 22:58:10,12.8
2024-02-17 22:58:20,11.4
2024-02-17 22:58:30,11.8
2024-02-17 22:58:40,12.8
2024-02-17 22:58:50,12.8
2024-02-17 22:59:00,11.2
2024-02-17 22:59:10,12
2024-02-17 22:59:20,12
2024-02-17 22:59:30,12.1
2024-02-17 22:59:40,12.7
2024-02-17 22:59:50,12
2024-02-17 23:00:00,12
2024-02-17 23:00:10,12
2024-02-17 23:00:20,11.2
2024-02-17 23:00:30,12
2024-02-17 23:00:40,12
2024-02-17 23:00:50,12.1
2024-02-17 23:01:00,12
2024-02-17 23:01:10,12.7
2024-02-17 23:01:20,12
2024-02-17 23:01:30,12
2024-02-17 23:01:40,12
2024-02-17 23:01:50,12
2024-02-17 23:02:00,12
2024-02-17 23:02:10,12.8
2024-02-17 23:02:20,11.2
2024-02-17 23:02:30,11.3
2024-02-17 23:02:40,12.7
2024-02-17 23:02:50,11.2
2024-02-17 23:03:00,12.1
2024-02-17 23:03:10,11.9
2024-02-17 23:03:20,12.8
2024-02-17 23:03:30,12.1
2024-02-17 23:03:40,11.9
2024-02-17 23:03:50,12.8
2024-02-17 23:04:00,11.2
2024-02-17 23:04:10,12
2024-02-17 23:04:20,12
2024-02-17 23:04:30,12
2024-02-17 23:04:40,12
2024-02-17 23:04:50,12.8
2024-02-17 23:05:00,12.8
2024-02-17 23:05:10,11.2
2024-02-17 23:05:20,12.8
2024-02-17 23:05:30,11.2
2024-02-17 23:05:40,12.8
2024-02-17 23:05:50,12.1
2024-02-17 23:06:00,11.9
2024-02-17 23:06:10,12.8
2024-02-17 23:06:20,9.60
2024-02-17 23:06:30,12.8
2024-02-17 23:06:40,12.1
2024-02-17 23:06:50,11.9
2024-02-17 23:07:00,12.8
2024-02-17 23:07:10,12.1
2024-02-17 23:07:20,11.9
2024-02-17 23:07:30,12.8
2024-02-17 23:07:40,11.6
2024-02-17 23:07:50,12.4
2024-02-17 23:08:00,12.1
2024-02-17 23:08:10,11.9
2024-02-17 23:08:20,10.4
2024-02-17 23:08:30,12.8
2024-02-17 23:08:40,12.8
2024-02-17 23:08:50,11.3
2024-02-17 23:09:00,12.7
2024-02-17 23:09:10,12.7
2024-02-17 23:09:20,11.3
2024-02-17 23:09:30,12.8
2024-02-17 23:09:40,11.2
2024-02-17 23:09:50,12.8
2024-02-17 23:10:00,11.4
2024-02-17 23:10:10,12.6
2024-02-17 23:10:20,10.4
2024-02-17 23:10:30,12.8
2024-02-17 23:10:40,12.1
2024-02-17 23:10:50,11.9
2024-02-17 23:11:00,12.8
2024-02-17 23:11:10,11.2
2024-02-17 23:11:20,12.8
2024-02-17 23:11:30,11.3
2024-02-17 23:11:40,12.7
2024-02-17 23:11:50,12.8
2024-02-17 23:12:00,11.2
2024-02-17 23:12:10,12.8
2024-02-17 23:12:20,9.60
2024-02-17 23:12:30,12
2024-02-17 23:12:40,12.1
2024-02-17 23:12:50,12
2024-02-17 23:13:00,12
2024-02-17 23:13:10,11.9
2024-02-17 23:13:20,12.8
2024-02-17 23:13:30,12
2024-02-17 23:13:40,12
2024-02-17 23:13:50,12
2024-02-17 23:14:00,12
2024-02-17 23:14:10,12.1
2024-02-17 23:14:20,11.9
2024-02-17 23:14:30,11.2
2024-02-17 23:14:40,12
2024-02-17 23:14:50,12
2024-02-17 23:15:00,12
2024-02-17 23:15:10,12.8
2024-02-17 23:15:20,12
2024-02-17 23:15:30,12
2024-02-17 23:15:40,12
2024-02-17 23:15:50,12
2024-02-17 23:16:00,12.8
2024-02-17 23:16:10,12
2024-02-17 23:16:20,12
2024-02-17 23:16:30,4
2024-02-17 23:16:40,6.40
2024-02-17 23:16:50,8.80
2024-02-17 23:17:00,12.1
2024-02-17 23:17:10,11.9
2024-02-17 23:17:20,12.4
2024-02-17 23:17:30,12.4
2024-02-17 23:17:40,12
2024-02-17 23:17:50,12
2024-02-17 23:18:00,12
2024-02-17 23:18:10,12.1
2024-02-17 23:18:20,12.7
2024-02-17 23:18:30,8.80
2024-02-17 23:18:40,5.70
2024-02-17 23:18:50,3.10
2024-02-17 23:19:00,0
2024-02-17 23:19:10,12
2024-02-17 23:19:20,12.8
2024-02-17 23:19:30,11.2
2024-02-17 23:19:40,12.8
2024-02-17 23:19:50,11.2
2024-02-17 23:20:00,12.8
2024-02-17 23:20:10,12.1
2024-02-17 23:20:20,11.9
2024-02-17 23:20:30,12
2024-02-17 23:20:40,12
2024-02-17 23:20:50,12.8
2024-02-17 23:21:00,12
2024-02-17 23:21:10,10.4
2024-02-17 23:21:20,12.8
2024-02-17 23:21:30,11.3
2024-02-17 23:21:40,12
2024-02-17 23:21:50,11.9
2024-02-17 23:22:00,12.8
2024-02-17 23:22:10,11.8
2024-02-17 23:22:20,12.2
2024-02-17 23:22:30,12.8
2024-02-17 23:22:40,11.2
2024-02-17 23:22:50,12.8
2024-02-17 23:23:00,11.4
2024-02-17 23:23:10,11
2024-02-17 23:23:20,11.6
2024-02-17 23:23:30,12.4
2024-02-17 23:23:40,12.8
2024-02-17 23:23:50,11.2
2024-02-17 23:24:00,12.8
2024-02-17 23:24:10,11.3
2024-02-17 23:24:20,12.6
2024-02-17 23:24:30,12.1
2024-02-17 23:24:40,12
2024-02-17 23:24:50,12
2024-02-17 23:25:00,12
2024-02-17 23:25:10,12
2024-02-17 23:25:20,11.2
2024-02-17 23:25:30,12.8
2024-02-17 23:25:40,11.2
2024-02-17 23:25:50,12.8
2024-02-17 23:26:00,11.4
2024-02-17 23:26:10,12.6
2024-02-17 23:26:20,12.1
2024-02-17 23:26:30,11.9
2024-02-17 23:26:40,12.8
2024-02-17 23:26:50,11.9
2024-02-17 23:27:00,12.1
2024-02-17 23:27:10,11.2
2024-02-17 23:27:20,10.4
2024-02-17 23:27:30,12
2024-02-17 23:27:40,12
2024-02-17 23:27:50,12
2024-02-17 23:28:00,12
2024-02-17 23:28:10,12
2024-02-17 23:28:20,12.8
2024-02-17 23:28:30,11.2
2024-02-17 23:28:40,12.8
2024-02-17 23:28:50,11.4
2024-02-17 23:29:00,12.6
2024-02-17 23:29:10,13.6
2024-02-17 23:29:20,12.1
2024-02-17 23:29:30,11.9
2024-02-17 23:29:40,12
2024-02-17 23:29:50,12
2024-02-17 23:30:00,12.1
2024-02-17 23:30:10,11.9
2024-02-17 23:30:20,12.1
2024-02-17 23:30:30,12.7
2024-02-17 23:30:40,12
2024-02-17 23:30:50,12
2024-02-17 23:31:00,12
2024-02-17 23:31:10,11.2
2024-02-17 23:31:20,11.2
2024-02-17 23:31:30,12.8
2024-02-17 23:31:40,12
2024-02-17 23:31:50,12
2024-02-17 23:32:00,12
2024-02-17 23:32:10,12
2024-02-17 23:32:20,12
2024-02-17 23:32:30,12
2024-02-17 23:32:40,12
2024-02-17 23:32:50,12.3
2024-02-17 23:33:00,11.7
2024-02-17 23:33:10,9.60
2024-02-17 23:33:20,0
2024-02-17 23:33:30,0
2024-02-17 23:33:40,0
2024-02-17 23:33:50,0
2024-02-17 23:34:00,0
2024-02-17 23:34:10,0
2024-02-17 23:34:20,0
2024-02-17 23:34:30,0
2024-02-17 23:34:40,0
2024-02-17 23:34:50,0
2024-02-17 23:35:00,0
2024-02-17 23:35:10,0
2024-02-17 23:35:20,0
2024-02-17 23:35:30,0
2024-02-17 23:35:40,0
2024-02-17 23:35:50,0
2024-02-17 23:36:00,0
2024-02-17 23:36:10,0
2024-02-17 23:36:20,0
2024-02-17 23:36:30,0
2024-02-17 23:36:40,0
2024-02-17 23:36:50,0
2024-02-17 23:37:00,0
2024-02-17 23:37:10,0
2024-02-17 23:37:20,0
2024-02-17 23:37:30,0
2024-02-17 23:37:40,0
2024-02-17 23:37:50,0
2024-02-17 23:38:00,0
2024-02-17 23:38:10,3.30
2024-02-17 23:38:20,72.8
2024-02-17 23:38:30,74.4
2024-02-17 23:38:40,74.4
2024-02-17 23:38:50,73.9
2024-02-17 23:39:00,72.6
2024-02-17 23:39:10,73.2
2024-02-17 23:39:20,59.7
2024-02-17 23:39:30,70.2
2024-02-17 23:39:40,51.9
2024-02-17 23:39:50,70.7
2024-02-17 23:40:00,70.2
2024-02-17 23:40:10,70.6
2024-02-17 23:40:20,73.2
2024-02-17 23:40:30,69.7
2024-02-17 23:40:40,69
2024-02-17 23:40:50,71.9
2024-02-17 23:41:00,75.2
2024-02-17 23:41:10,73.6
2024-02-17 23:41:20,73.6
2024-02-17 23:41:30,72.8
2024-02-17 23:41:40,72.8
2024-02-17 23:41:50,72.8
2024-02-17 23:42:00,72
2024-02-17 23:42:10,71.9
2024-02-17 23:42:20,68.8
2024-02-17 23:42:30,70.5
2024-02-17 23:42:40,70.5
2024-02-17 23:42:50,70.4
2024-02-17 23:43:00,68.8
2024-02-17 23:43:10,69.5
2024-02-17 23:43:20,73.5
2024-02-17 23:43:30,75.3
2024-02-17 23:43:40,73.7
2024-02-17 23:43:50,73.6
2024-02-17 23:44:00,73.7
2024-02-17 23:44:10,73
2024-02-17 23:44:20,64.1
2024-02-17 23:44:30,71.7
2024-02-17 23:44:40,72.7
2024-02-17 23:44:50,71.2
2024-02-17 23:45:00,70.7
2024-02-17 23:45:10,70.4
2024-02-17 23:45:20,68.7
2024-02-17 23:45:30,68.6
2024-02-17 23:45:40,69.5
2024-02-17 23:45:50,53.4
2024-02-17 23:46:00,64.2
2024-02-17 23:46:10,75.2
2024-02-17 23:46:20,73.7
2024-02-17 23:46:30,90.5
2024-02-17 23:46:40,72.7
2024-02-17 23:46:50,59.3
2024-02-17 23:47:00,57.9
2024-02-17 23:47:10,69.7
2024-02-17 23:47:20,71.1
2024-02-17 23:47:30,71.3
2024-02-17 23:47:40,69.6
2024-02-17 23:47:50,69.9
2024-02-17 23:48:00,69
2024-02-17 23:48:10,68.8
2024-02-17 23:48:20,74.1
2024-02-17 23:48:30,97.6
2024-02-17 23:48:40,74.4
2024-02-17 23:48:50,73.9
2024-02-17 23:49:00,73.2
2024-02-17 23:49:10,72.9
2024-02-17 23:49:20,71.2
2024-02-17 23:49:30,72
2024-02-17 23:49:40,71.4
2024-02-17 23:49:50,71.4
2024-02-17 23:50:00,70.5
2024-02-17 23:50:10,70
2024-02-17 23:50:20,70.1
2024-02-17 23:50:30,57
2024-02-17 23:50:40,70.4
2024-02-17 23:50:50,75.1
2024-02-17 23:51:00,73.7
2024-02-17 23:51:10,72.8
2024-02-17 23:51:20,73.6
2024-02-17 23:51:30,73.3
2024-02-17 23:51:40,72.9
2024-02-17 23:51:50,71.5
2024-02-17 23:52:00,72
2024-02-17 23:52:10,71.3
2024-02-17 23:52:20,71.2
2024-02-17 23:52:30,66.1
2024-02-17 23:52:40,59.6
2024-02-17 23:52:50,69.8
2024-02-17 23:53:00,69.9
2024-02-17 23:53:10,66.4
2024-02-17 23:53:20,41.8
2024-02-17 23:53:30,4.70
2024-02-17 23:53:40,19.1
2024-02-17 23:53:50,76
2024-02-17 23:54:00,73.6
2024-02-17 23:54:10,73.6
2024-02-17 23:54:20,73.1
2024-02-17 23:54:30,73.3
2024-02-17 23:54:40,86
2024-02-17 23:54:50,94.9
2024-02-17 23:55:00,87
2024-02-17 23:55:10,78.3
2024-02-17 23:55:20,70
2024-02-17 23:55:30,69.9
2024-02-17 23:55:40,69.2
2024-02-17 23:55:50,68.4
2024-02-17 23:56:00,74.7
2024-02-17 23:56:10,73.7
2024-02-17 23:56:20,74.4
2024-02-17 23:56:30,73.7
2024-02-17 23:56:40,81.3
2024-02-17 23:56:50,106
2024-02-17 23:57:00,76.1
2024-02-17 23:57:10,72
2024-02-17 23:57:20,70.6
2024-02-17 23:57:30,71.1
2024-02-17 23:57:40,70.4
2024-02-17 23:57:50,69.8
2024-02-17 23:58:00,69
2024-02-17 23:58:10,69.2
2024-02-17 23:58:20,74.3
2024-02-17 23:58:30,74.4
2024-02-17 23:58:40,75.3
2024-02-17 23:58:50,89.6
2024-02-17 23:59:00,73.5
2024-02-17 23:59:10,72.8
2024-02-17 23:59:20,72.2
2024-02-17 23:59:30,71.9
2024-02-17 23:59:40,72.1
2024-02-17 23:59:50,71.3
2024-02-18 00:00:00,61.4
2024-02-18 00:00:10,56.8
2024-02-18 00:00:20,66.6
2024-02-18 00:00:30,65.8
2024-02-18 00:00:40,66
2024-02-18 00:00:50,90.3
2024-02-18 00:01:00,73.7
2024-02-18 00:01:10,75.1
2024-02-18 00:01:20,72.9
2024-02-18 00:01:30,72.7
2024-02-18 00:01:40,73.1
2024-02-18 00:01:50,71.7
2024-02-18 00:02:00,72.1
2024-02-18 00:02:10,71.9
2024-02-18 00:02:20,71
2024-02-18 00:02:30,70.3
2024-02-18 00:02:40,69.6
2024-02-18 00:02:50,53.6
2024-02-18 00:03:00,69.8
2024-02-18 00:03:10,70.4
2024-02-18 00:03:20,74.2
2024-02-18 00:03:30,73.9
2024-02-18 00:03:40,73.8
2024-02-18 00:03:50,74.7
2024-02-18 00:04:00,73
2024-02-18 00:04:10,72.9
2024-02-18 00:04:20,72
2024-02-18 00:04:30,71.2
2024-02-18 00:04:40,71.3
2024-02-18 00:04:50,66.2
2024-02-18 00:05:00,56.1
2024-02-18 00:05:10,69.6
2024-02-18 00:05:20,69.3
2024-02-18 00:05:30,68.7
2024-02-18 00:05:40,69
2024-02-18 00:05:50,60.3
2024-02-18 00:06:00,49.7
2024-02-18 00:06:10,67.9
2024-02-18 00:06:20,62.3
2024-02-18 00:06:30,72.8
2024-02-18 00:06:40,73.4
2024-02-18 00:06:50,73.1
2024-02-18 00:07:00,81.9
2024-02-18 00:07:10,86.7
2024-02-18 00:07:20,71.3
2024-02-18 00:07:30,71.2
2024-02-18 00:07:40,70.4
2024-02-18 00:07:50,69.6
2024-02-18 00:08:00,68.9
2024-02-18 00:08:10,70.3
2024-02-18 00:08:20,73.6
2024-02-18 00:08:30,74.4
2024-02-18 00:08:40,73.6
2024-02-18 00:08:50,74.4
2024-02-18 00:09:00,58.4
2024-02-18 00:09:10,80.6
2024-02-18 00:09:20,71.4
2024-02-18 00:09:30,71.6
2024-02-18 00:09:40,72.4
2024-02-18 00:09:50,71.2
2024-02-18 00:10:00,70.3
2024-02-18 00:10:10,69.8
2024-02-18 00:10:20,68.2
2024-02-18 00:10:30,68
2024-02-18 00:10:40,67.9
2024-02-18 00:10:50,74.3
2024-02-18 00:11:00,75.2
2024-02-18 00:11:10,65.2
2024-02-18 00:11:20,56
2024-02-18 00:11:30,62.3
2024-02-18 00:11:40,61.9
2024-02-18 00:11:50,73
2024-02-18 00:12:00,71.9
2024-02-18 00:12:10,71.4
2024-02-18 00:12:20,71.8
2024-02-18 00:12:30,70.7
2024-02-18 00:12:40,70.1
2024-02-18 00:12:50,69.5
2024-02-18 00:13:00,69.4
2024-02-18 00:13:10,73.4
2024-02-18 00:13:20,105
2024-02-18 00:13:30,74.3
2024-02-18 00:13:40,72.9
2024-02-18 00:13:50,74.4
2024-02-18 00:14:00,72.8
2024-02-18 00:14:10,72.6
2024-02-18 00:14:20,71.7
2024-02-18 00:14:30,71.8
2024-02-18 00:14:40,71.1
2024-02-18 00:14:50,71.1
2024-02-18 00:15:00,69.6
2024-02-18 00:15:10,69.7
2024-02-18 00:15:20,68.9
2024-02-18 00:15:30,68.1
2024-02-18 00:15:40,71
2024-02-18 00:15:50,75.1
2024-02-18 00:16:00,72.8
2024-02-18 00:16:10,73.6
2024-02-18 00:16:20,73.6
2024-02-18 00:16:30,72.4
2024-02-18 00:16:40,73.2
2024-02-18 00:16:50,71.9
2024-02-18 00:17:00,72.1
2024-02-18 00:17:10,68
2024-02-18 00:17:20,68.8
2024-02-18 00:17:30,70.4
2024-02-18 00:17:40,69.7
2024-02-18 00:17:50,69.8
2024-02-18 00:18:00,68.7
2024-02-18 00:18:10,63.2
2024-02-18 00:18:20,48.7
2024-02-18 00:18:30,63.9
2024-02-18 00:18:40,73.7
2024-02-18 00:18:50,74.1
2024-02-18 00:19:00,72.6
2024-02-18 00:19:10,72.6
2024-02-18 00:19:20,56.5
2024-02-18 00:19:30,0
2024-02-18 00:19:40,0
2024-02-18 00:19:50,0
2024-02-18 00:20:00,0
2024-02-18 00:20:10,0
2024-02-18 00:20:20,0
2024-02-18 00:20:30,0
2024-02-18 00:20:40,0
2024-02-18 00:20:50,0
2024-02-18 00:21:00,0
2024-02-18 00:21:10,0
2024-02-18 00:21:20,0
2024-02-18 00:21:30,0
2024-02-18 00:21:40,0
2024-02-18 00:21:50,0
2024-02-18 00:22:00,0
2024-02-18 00:22:10,0
2024-02-18 00:22:20,0
2024-02-18 00:22:30,0
2024-02-18 00:22:40,0
2024-02-18 00:22:50,0
2024-02-18 00:23:00,0
2024-02-18 00:23:10,0
2024-02-18 00:23:20,0
