sep=,
"Time","camunda-platform-elasticsearch-master-0 / camunda8 / PKG","camunda-platform-elasticsearch-master-1 / camunda8 / PKG","camunda-platform-operate-5bc7c489c4-xvrhr / camunda8 / PKG","camunda-platform-tasklist-9968d5594-2rj85 / camunda8 / PKG","camunda-platform-zeebe-0 / camunda8 / PKG","camunda-platform-zeebe-gateway-5ff76496c4-wrsml / camunda8 / PKG","camunda-platform-elasticsearch-master-0 / camunda8 / DRAM","camunda-platform-elasticsearch-master-1 / camunda8 / DRAM","camunda-platform-operate-5bc7c489c4-xvrhr / camunda8 / DRAM","camunda-platform-tasklist-9968d5594-2rj85 / camunda8 / DRAM","camunda-platform-zeebe-0 / camunda8 / DRAM","camunda-platform-zeebe-gateway-5ff76496c4-wrsml / camunda8 / DRAM","camunda-platform-elasticsearch-master-0 / camunda8 / OTHER","camunda-platform-elasticsearch-master-1 / camunda8 / OTHER","camunda-platform-operate-5bc7c489c4-xvrhr / camunda8 / OTHER","camunda-platform-tasklist-9968d5594-2rj85 / camunda8 / OTHER","camunda-platform-zeebe-0 / camunda8 / OTHER","camunda-platform-zeebe-gateway-5ff76496c4-wrsml / camunda8 / OTHER"
2024-02-17 22:50:00,0.493,0.500,0.256,0.243,0.417,0.277,0.0447,0.0447,0.0228,0.0225,0.0228,0.0225,0,0,0,0,0,0
2024-02-17 22:50:10,0.364,0.368,0.184,0.181,0.270,0.196,0.0333,0.0336,0.0174,0.0168,0.0180,0.0171,0,0,0,0,0,0
2024-02-17 22:50:20,0.365,0.380,0.181,0.179,0.461,0.249,0.0345,0.0372,0.0189,0.0165,0.0234,0.0183,0,0,0,0,0,0
2024-02-17 22:50:30,0.499,0.508,0.255,0.244,0.423,0.289,0.0462,0.0471,0.0228,0.0228,0.0240,0.0228,0,0,0,0,0,0
2024-02-17 22:50:40,0.363,0.365,0.182,0.182,0.237,0.196,0.0336,0.0339,0.0174,0.0171,0.0174,0.0174,0,0,0,0,0,0
2024-02-17 22:50:50,0.365,0.384,0.181,0.182,0.295,0.196,0.0339,0.0342,0.0174,0.0171,0.0174,0.0171,0,0,0,0,0,0
2024-02-17 22:51:00,0.491,0.493,0.248,0.243,0.374,0.267,0.0459,0.0453,0.0234,0.0228,0.0228,0.0231,0,0,0,0,0,0
2024-02-17 22:51:10,0.363,0.364,0.183,0.181,0.230,0.190,0.0336,0.0333,0.0168,0.0168,0.0168,0.0168,0,0,0,0,0,0
2024-02-17 22:51:20,0.370,0.374,0.187,0.184,0.324,0.210,0.0348,0.0333,0.0177,0.0171,0.0171,0.0171,0,0,0,0,0,0
2024-02-17 22:51:30,0.495,0.496,0.252,0.243,0.401,0.268,0.0462,0.0444,0.0234,0.0225,0.0231,0.0225,0,0,0,0,0,0
2024-02-17 22:51:40,0.363,0.365,0.182,0.181,0.232,0.191,0.0336,0.0330,0.0168,0.0168,0.0174,0.0168,0,0,0,0,0,0
2024-02-17 22:51:50,0.362,0.364,0.182,0.181,0.266,0.204,0.0336,0.0333,0.0171,0.0171,0.0171,0.0171,0,0,0,0,0,0
2024-02-17 22:52:00,0.508,0.495,0.246,0.243,0.358,0.271,0.0456,0.0444,0.0231,0.0228,0.0234,0.0228,0,0,0,0,0,0
2024-02-17 22:52:10,0.363,0.366,0.182,0.181,0.244,0.190,0.0339,0.0336,0.0171,0.0171,0.0174,0.0171,0,0,0,0,0,0
2024-02-17 22:52:20,0.712,0.574,0.210,0.217,1.59,0.376,0.0390,0.0357,0.0174,0.0174,0.0405,0.0273,0,0,0,0,0,0
2024-02-17 22:52:30,0.904,1.37,0.514,0.284,1.39,0.491,0.0510,0.0558,0.0258,0.0240,0.0477,0.0366,0,0,0,0,0,0
2024-02-17 22:52:40,0.501,0.721,0.386,0.240,1.45,0.409,0.0381,0.0384,0.0189,0.0171,0.0345,0.0243,0,0,0,0,0,0
2024-02-17 22:52:50,0.607,0.791,0.200,0.273,1.55,0.336,0.0375,0.0366,0.0198,0.0174,0.0342,0.0255,0,0,0,0,0,0
2024-02-17 22:53:00,0.733,1.28,0.564,0.286,1.63,0.457,0.0519,0.0630,0.0243,0.0231,0.0390,0.0321,0,0,0,0,0,0
2024-02-17 22:53:10,0.970,1.09,0.284,0.249,1.14,0.358,0.0396,0.0405,0.0186,0.0186,0.0321,0.0225,0,0,0,0,0,0
2024-02-17 22:53:20,0.467,0.676,0.339,0.306,1.23,0.349,0.0366,0.0378,0.0180,0.0183,0.0342,0.0243,0,0,0,0,0,0
2024-02-17 22:53:30,0.603,1.01,0.278,0.310,1.19,0.423,0.0495,0.0531,0.0246,0.0231,0.0429,0.0306,0,0,0,0,0,0
2024-02-17 22:53:40,0.516,0.646,0.302,0.235,1.31,0.387,0.0363,0.0393,0.0177,0.0177,0.0318,0.0219,0,0,0,0,0,0
2024-02-17 22:53:50,0.677,0.731,0.283,0.309,1.55,0.382,0.0399,0.0432,0.0192,0.0192,0.0387,0.0252,0,0,0,0,0,0
2024-02-17 22:54:00,0.847,0.867,0.588,0.279,1.74,0.498,0.0513,0.0582,0.0276,0.0243,0.0450,0.0321,0,0,0,0,0,0
2024-02-17 22:54:10,0.493,0.619,0.366,0.246,1.09,0.365,0.0375,0.0396,0.0177,0.0171,0.0309,0.0222,0,0,0,0,0,0
2024-02-17 22:54:20,0.652,0.595,0.246,0.240,1.28,0.360,0.0432,0.0432,0.0180,0.0174,0.0375,0.0249,0,0,0,0,0,0
2024-02-17 22:54:30,0.907,0.933,0.473,0.300,2.09,0.581,0.0549,0.0534,0.0267,0.0237,0.0441,0.0321,0,0,0,0,0,0
2024-02-17 22:54:40,0.848,0.602,0.352,0.204,1.23,0.342,0.0372,0.0411,0.0195,0.0174,0.0300,0.0210,0,0,0,0,0,0
2024-02-17 22:54:50,0.565,0.523,0.268,0.241,1.50,0.374,0.0369,0.0387,0.0201,0.0186,0.0387,0.0228,0,0,0,0,0,0
2024-02-17 22:55:00,0.693,0.772,0.388,0.352,1.69,0.471,0.0489,0.0519,0.0270,0.0240,0.0438,0.0303,0,0,0,0,0,0
2024-02-17 22:55:10,0.510,0.715,0.363,0.215,1.12,0.352,0.0375,0.0402,0.0195,0.0174,0.0354,0.0219,0,0,0,0,0,0
2024-02-17 22:55:20,0.527,0.594,0.211,0.185,1.33,0.389,0.0384,0.0390,0.0180,0.0171,0.0378,0.0219,0,0,0,0,0,0
2024-02-17 22:55:30,1.30,0.775,0.412,0.360,1.89,0.506,0.0549,0.0519,0.0249,0.0234,0.0447,0.0279,0,0,0,0,0,0
2024-02-17 22:55:40,0.550,0.565,0.305,0.248,1.44,0.360,0.0351,0.0396,0.0177,0.0177,0.0336,0.0204,0,0,0,0,0,0
2024-02-17 22:55:50,0.726,0.476,0.345,0.216,1.18,0.370,0.0381,0.0417,0.0207,0.0180,0.0393,0.0258,0,0,0,0,0,0
2024-02-17 22:56:00,0.554,0.899,0.377,0.362,2.04,0.507,0.0480,0.0546,0.0270,0.0234,0.0492,0.0309,0,0,0,0,0,0
2024-02-17 22:56:10,0.659,0.807,0.307,0.233,1.30,0.340,0.0375,0.0396,0.0192,0.0177,0.0342,0.0213,0,0,0,0,0,0
2024-02-17 22:56:20,0.748,0.492,0.281,0.238,1.39,0.349,0.0414,0.0411,0.0204,0.0177,0.0381,0.0258,0,0,0,0,0,0
2024-02-17 22:56:30,0.689,0.889,0.493,0.345,2.09,0.449,0.0510,0.0549,0.0276,0.0243,0.0501,0.0303,0,0,0,0,0,0
2024-02-17 22:56:40,0.426,0.665,0.369,0.242,1.61,0.382,0.0366,0.0462,0.0186,0.0174,0.0351,0.0231,0,0,0,0,0,0
2024-02-17 22:56:50,0.501,0.496,0.322,0.232,1.53,0.361,0.0363,0.0366,0.0186,0.0177,0.0363,0.0213,0,0,0,0,0,0
2024-02-17 22:57:00,0.997,0.863,0.528,0.394,2.30,0.573,0.0504,0.0537,0.0249,0.0246,0.0465,0.0291,0,0,0,0,0,0
2024-02-17 22:57:10,0.581,0.499,0.368,0.226,1.64,0.439,0.0363,0.0393,0.0186,0.0180,0.0360,0.0225,0,0,0,0,0,0
2024-02-17 22:57:20,0.533,0.648,0.413,0.224,1.53,0.364,0.0372,0.0372,0.0204,0.0177,0.0366,0.0210,0,0,0,0,0,0
2024-02-17 22:57:30,0.723,0.959,0.309,0.349,2.00,0.471,0.0522,0.0516,0.0270,0.0240,0.0495,0.0291,0,0,0,0,0,0
2024-02-17 22:57:40,0.587,0.520,0.300,0.251,1.52,0.352,0.0363,0.0375,0.0189,0.0177,0.0357,0.0219,0,0,0,0,0,0
2024-02-17 22:57:50,0.618,0.547,0.593,0.302,1.96,0.437,0.0396,0.0387,0.0219,0.0186,0.0444,0.0246,0,0,0,0,0,0
2024-02-17 22:58:00,0.722,0.858,0.490,0.343,2.10,0.488,0.0504,0.0549,0.0249,0.0240,0.0540,0.0300,0,0,0,0,0,0
2024-02-17 22:58:10,0.457,0.694,0.233,0.222,1.85,0.369,0.0363,0.0402,0.0186,0.0180,0.0366,0.0210,0,0,0,0,0,0
2024-02-17 22:58:20,0.513,0.601,0.344,0.210,1.26,0.361,0.0393,0.0417,0.0219,0.0186,0.0354,0.0237,0,0,0,0,0,0
2024-02-17 22:58:30,0.661,1.57,0.377,0.359,1.48,0.450,0.0504,0.0603,0.0273,0.0246,0.0429,0.0291,0,0,0,0,0,0
2024-02-17 22:58:40,0.471,0.585,0.226,0.232,1.23,0.289,0.0351,0.0393,0.0180,0.0177,0.0282,0.0201,0,0,0,0,0,0
2024-02-17 22:58:50,0.722,0.586,0.326,0.250,1.54,0.354,0.0405,0.0393,0.0192,0.0171,0.0306,0.0216,0,0,0,0,0,0
2024-02-17 22:59:00,0.619,0.886,0.525,0.337,1.83,0.485,0.0513,0.0537,0.0264,0.0237,0.0387,0.0288,0,0,0,0,0,0
2024-02-17 22:59:10,0.385,1.01,0.231,0.221,1.44,0.368,0.0375,0.0387,0.0189,0.0177,0.0309,0.0210,0,0,0,0,0,0
2024-02-17 22:59:20,0.826,0.556,0.195,0.216,1.48,0.366,0.0369,0.0372,0.0183,0.0174,0.0312,0.0219,0,0,0,0,0,0
2024-02-17 22:59:30,0.857,0.932,0.513,0.325,2.33,0.502,0.0513,0.0528,0.0258,0.0240,0.0435,0.0285,0,0,0,0,0,0
2024-02-17 22:59:40,0.545,0.556,0.276,0.209,1.13,0.308,0.0366,0.0375,0.0192,0.0177,0.0309,0.0216,0,0,0,0,0,0
2024-02-17 22:59:50,0.721,0.568,0.250,0.223,1.32,0.375,0.0417,0.0384,0.0207,0.0177,0.0384,0.0240,0,0,0,0,0,0
2024-02-17 23:00:00,0.733,0.788,0.437,0.358,2.23,0.501,0.0498,0.0543,0.0279,0.0240,0.0483,0.0303,0,0,0,0,0,0
2024-02-17 23:00:10,0.432,0.494,0.286,0.276,1.69,0.345,0.0366,0.0366,0.0180,0.0180,0.0324,0.0216,0,0,0,0,0,0
2024-02-17 23:00:20,0.597,0.689,0.480,0.206,1.34,0.387,0.0390,0.0396,0.0198,0.0186,0.0411,0.0237,0,0,0,0,0,0
2024-02-17 23:00:30,0.740,0.807,0.466,0.351,2.07,0.510,0.0513,0.0582,0.0249,0.0249,0.0510,0.0303,0,0,0,0,0,0
2024-02-17 23:00:40,0.560,0.631,0.299,0.232,1.73,0.403,0.0363,0.0369,0.0180,0.0180,0.0303,0.0210,0,0,0,0,0,0
2024-02-17 23:00:50,0.630,0.599,0.267,0.201,1.82,0.407,0.0396,0.0393,0.0201,0.0174,0.0327,0.0219,0,0,0,0,0,0
2024-02-17 23:01:00,0.746,0.798,0.434,0.372,2.22,0.505,0.0492,0.0501,0.0264,0.0237,0.0441,0.0282,0,0,0,0,0,0
2024-02-17 23:01:10,0.565,0.618,0.334,0.291,1.53,0.324,0.0366,0.0384,0.0189,0.0180,0.0321,0.0204,0,0,0,0,0,0
2024-02-17 23:01:20,0.722,0.463,0.398,0.212,1.53,0.355,0.0366,0.0390,0.0195,0.0174,0.0372,0.0219,0,0,0,0,0,0
2024-02-17 23:01:30,0.760,0.887,0.420,0.342,2.26,0.439,0.0483,0.0504,0.0246,0.0240,0.0450,0.0285,0,0,0,0,0,0
2024-02-17 23:01:40,0.474,0.592,0.344,0.231,1.72,0.374,0.0375,0.0387,0.0195,0.0177,0.0339,0.0213,0,0,0,0,0,0
2024-02-17 23:01:50,1.21,0.592,0.361,0.244,1.48,0.343,0.0426,0.0405,0.0201,0.0177,0.0411,0.0231,0,0,0,0,0,0
2024-02-17 23:02:00,0.932,0.955,0.412,0.278,2.00,0.485,0.0504,0.0540,0.0255,0.0243,0.0516,0.0291,0,0,0,0,0,0
2024-02-17 23:02:10,0.572,0.603,0.396,0.250,1.61,0.357,0.0381,0.0384,0.0189,0.0174,0.0348,0.0204,0,0,0,0,0,0
2024-02-17 23:02:20,0.583,0.692,0.488,0.280,2.34,0.370,0.0426,0.0414,0.0198,0.0177,0.0429,0.0234,0,0,0,0,0,0
2024-02-17 23:02:30,0.887,1.04,0.381,0.302,2.23,0.520,0.0516,0.0537,0.0252,0.0240,0.0546,0.0309,0,0,0,0,0,0
2024-02-17 23:02:40,0.547,0.639,0.350,0.235,1.80,0.372,0.0384,0.0444,0.0195,0.0180,0.0396,0.0222,0,0,0,0,0,0
2024-02-17 23:02:50,0.564,0.596,0.449,0.270,1.95,0.421,0.0375,0.0378,0.0192,0.0177,0.0363,0.0219,0,0,0,0,0,0
2024-02-17 23:03:00,0.606,0.769,0.251,0.293,2.11,0.436,0.0504,0.0525,0.0243,0.0237,0.0480,0.0285,0,0,0,0,0,0
2024-02-17 23:03:10,0.508,0.544,0.320,0.229,1.75,0.366,0.0372,0.0387,0.0195,0.0174,0.0363,0.0213,0,0,0,0,0,0
2024-02-17 23:03:20,0.485,0.836,0.418,0.219,0.976,0.334,0.0384,0.0396,0.0195,0.0177,0.0255,0.0204,0,0,0,0,0,0
2024-02-17 23:03:30,0.632,0.697,0.289,0.329,1.40,0.496,0.0519,0.0555,0.0261,0.0246,0.0414,0.0294,0,0,0,0,0,0
2024-02-17 23:03:40,0.554,0.531,0.349,0.238,1.01,0.338,0.0414,0.0432,0.0210,0.0180,0.0345,0.0228,0,0,0,0,0,0
2024-02-17 23:03:50,0.541,0.557,0.330,0.243,1.13,0.350,0.0375,0.0408,0.0195,0.0174,0.0288,0.0207,0,0,0,0,0,0
2024-02-17 23:04:00,0.628,0.672,0.293,0.331,1.26,0.467,0.0558,0.0594,0.0270,0.0240,0.0438,0.0294,0,0,0,0,0,0
2024-02-17 23:04:10,0.519,0.471,0.381,0.193,1.37,0.386,0.0369,0.0399,0.0192,0.0171,0.0270,0.0204,0,0,0,0,0,0
2024-02-17 23:04:20,0.575,0.695,0.429,0.215,1.13,0.394,0.0384,0.0396,0.0210,0.0180,0.0336,0.0228,0,0,0,0,0,0
2024-02-17 23:04:30,0.983,0.753,0.345,0.386,1.80,0.541,0.0495,0.0549,0.0264,0.0243,0.0492,0.0297,0,0,0,0,0,0
2024-02-17 23:04:40,0.723,0.644,0.299,0.277,1.54,0.409,0.0372,0.0378,0.0195,0.0174,0.0297,0.0210,0,0,0,0,0,0
2024-02-17 23:04:50,0.583,0.581,0.312,0.295,1.39,0.391,0.0387,0.0414,0.0192,0.0177,0.0288,0.0213,0,0,0,0,0,0
2024-02-17 23:05:00,0.715,0.688,0.402,0.334,1.62,0.424,0.0525,0.0495,0.0252,0.0237,0.0399,0.0282,0,0,0,0,0,0
2024-02-17 23:05:10,0.650,0.541,0.297,0.201,1.20,0.339,0.0402,0.0384,0.0189,0.0174,0.0297,0.0213,0,0,0,0,0,0
2024-02-17 23:05:20,0.563,0.478,0.342,0.224,1.45,0.315,0.0393,0.0393,0.0192,0.0177,0.0306,0.0210,0,0,0,0,0,0
2024-02-17 23:05:30,0.691,0.822,0.362,0.391,2.04,0.497,0.0525,0.0507,0.0246,0.0234,0.0399,0.0279,0,0,0,0,0,0
2024-02-17 23:05:40,0.646,0.545,0.360,0.202,1.50,0.355,0.0378,0.0372,0.0189,0.0174,0.0303,0.0207,0,0,0,0,0,0
2024-02-17 23:05:50,0.830,0.716,0.279,0.252,1.49,0.395,0.0408,0.0414,0.0195,0.0174,0.0348,0.0216,0,0,0,0,0,0
2024-02-17 23:06:00,0.749,0.670,0.386,0.318,1.74,0.455,0.0576,0.0543,0.0258,0.0240,0.0480,0.0300,0,0,0,0,0,0
2024-02-17 23:06:10,0.533,0.493,0.254,0.228,1.60,0.365,0.0378,0.0378,0.0189,0.0171,0.0324,0.0210,0,0,0,0,0,0
2024-02-17 23:06:20,0.508,0.762,0.246,0.247,1.42,0.389,0.0384,0.0405,0.0186,0.0180,0.0354,0.0222,0,0,0,0,0,0
2024-02-17 23:06:30,0.700,0.911,0.427,0.353,1.82,0.432,0.0525,0.0537,0.0261,0.0240,0.0480,0.0291,0,0,0,0,0,0
2024-02-17 23:06:40,0.653,0.513,0.320,0.214,1.74,0.368,0.0426,0.0393,0.0201,0.0174,0.0393,0.0225,0,0,0,0,0,0
2024-02-17 23:06:50,0.523,0.722,0.334,0.231,1.55,0.386,0.0375,0.0393,0.0195,0.0177,0.0330,0.0216,0,0,0,0,0,0
2024-02-17 23:07:00,0.654,0.686,0.396,0.358,1.95,0.472,0.0498,0.0516,0.0246,0.0237,0.0408,0.0270,0,0,0,0,0,0
2024-02-17 23:07:10,0.895,0.610,0.319,0.239,1.41,0.352,0.0372,0.0396,0.0192,0.0174,0.0342,0.0210,0,0,0,0,0,0
2024-02-17 23:07:20,0.597,0.775,0.389,0.265,1.69,0.343,0.0372,0.0381,0.0183,0.0177,0.0357,0.0219,0,0,0,0,0,0
2024-02-17 23:07:30,0.755,0.834,0.365,0.326,1.78,0.464,0.0492,0.0516,0.0249,0.0243,0.0426,0.0276,0,0,0,0,0,0
2024-02-17 23:07:40,0.875,0.470,0.404,0.262,1.51,0.394,0.0378,0.0390,0.0192,0.0174,0.0336,0.0210,0,0,0,0,0,0
2024-02-17 23:07:50,0.440,0.592,0.295,0.209,1.39,0.327,0.0366,0.0462,0.0198,0.0177,0.0405,0.0222,0,0,0,0,0,0
2024-02-17 23:08:00,0.845,0.853,0.358,0.377,2.19,0.494,0.0543,0.0546,0.0267,0.0240,0.0537,0.0303,0,0,0,0,0,0
2024-02-17 23:08:10,0.943,0.604,0.277,0.209,1.64,0.333,0.0387,0.0384,0.0195,0.0174,0.0369,0.0210,0,0,0,0,0,0
2024-02-17 23:08:20,0.491,0.603,0.353,0.226,1.19,0.333,0.0390,0.0423,0.0201,0.0180,0.0285,0.0213,0,0,0,0,0,0
2024-02-17 23:08:30,0.730,0.899,0.289,0.328,1.57,0.515,0.0504,0.0573,0.0261,0.0249,0.0408,0.0300,0,0,0,0,0,0
