sep=,
"Time","camunda-platform-elasticsearch-master-0 / camunda8 / PKG","camunda-platform-elasticsearch-master-1 / camunda8 / PKG","camunda-platform-operate-5bc7c489c4-xvrhr / camunda8 / PKG","camunda-platform-tasklist-9968d5594-2rj85 / camunda8 / PKG","camunda-platform-zeebe-0 / camunda8 / PKG","camunda-platform-zeebe-gateway-5ff76496c4-wrsml / camunda8 / PKG","coredns-6799fbcd5-hv5gw / kube-system / PKG","helm-install-traefik-crd-g2kkj / kube-system / PKG","helm-install-traefik-v6j69 / kube-system / PKG","local-path-provisioner-84db5d44d9-6lpch / kube-system / PKG","metrics-server-67c658944b-p7nxh / kube-system / PKG","svclb-traefik-b23bf1fe-nwmmj / kube-system / PKG","traefik-f4564c4f4-g8jd6 / kube-system / PKG","load-controller-8457f8b5d6-8cwqx / load-controller / PKG","test-responder-84465bf468-gfz26 / measuring-endpoints / PKG","alertmanager-kube-prometheus-stack-alertmanager-0 / monitoring / PKG","kepler-6jd6h / monitoring / PKG","kube-prometheus-stack-grafana-7598c8c764-gtbj2 / monitoring / PKG","kube-prometheus-stack-kube-state-metrics-75bd6bdcb9-tnbn2 / monitoring / PKG","kube-prometheus-stack-operator-7c8b6567b7-mhx6x / monitoring / PKG","kube-prometheus-stack-prometheus-node-exporter-6lzg4 / monitoring / PKG","prometheus-kube-prometheus-stack-prometheus-0 / monitoring / PKG","system_processes / system / PKG","restworkerjava-5b57f4965f-9dzjr / worker / PKG","restworkerjava-5b7cb5f986-t95xn / worker / PKG","restworkerjava-65457768b-6l2mj / worker / PKG","restworkerjava-89fd57d48-wfjpg / worker / PKG","camunda-platform-elasticsearch-master-0 / camunda8 / DRAM","camunda-platform-elasticsearch-master-1 / camunda8 / DRAM","camunda-platform-operate-5bc7c489c4-xvrhr / camunda8 / DRAM","camunda-platform-tasklist-9968d5594-2rj85 / camunda8 / DRAM","camunda-platform-zeebe-0 / camunda8 / DRAM","camunda-platform-zeebe-gateway-5ff76496c4-wrsml / camunda8 / DRAM","coredns-6799fbcd5-hv5gw / kube-system / DRAM","helm-install-traefik-crd-g2kkj / kube-system / DRAM","helm-install-traefik-v6j69 / kube-system / DRAM","local-path-provisioner-84db5d44d9-6lpch / kube-system / DRAM","metrics-server-67c658944b-p7nxh / kube-system / DRAM","svclb-traefik-b23bf1fe-nwmmj / kube-system / DRAM","traefik-f4564c4f4-g8jd6 / kube-system / DRAM","load-controller-8457f8b5d6-8cwqx / load-controller / DRAM","test-responder-84465bf468-gfz26 / measuring-endpoints / DRAM","alertmanager-kube-prometheus-stack-alertmanager-0 / monitoring / DRAM","kepler-6jd6h / monitoring / DRAM","kube-prometheus-stack-grafana-7598c8c764-gtbj2 / monitoring / DRAM","kube-prometheus-stack-kube-state-metrics-75bd6bdcb9-tnbn2 / monitoring / DRAM","kube-prometheus-stack-operator-7c8b6567b7-mhx6x / monitoring / DRAM","kube-prometheus-stack-prometheus-node-exporter-6lzg4 / monitoring / DRAM","prometheus-kube-prometheus-stack-prometheus-0 / monitoring / DRAM","system_processes / system / DRAM","restworkerjava-5b57f4965f-9dzjr / worker / DRAM","restworkerjava-5b7cb5f986-t95xn / worker / DRAM","restworkerjava-65457768b-6l2mj / worker / DRAM","restworkerjava-89fd57d48-wfjpg / worker / DRAM","camunda-platform-elasticsearch-master-0 / camunda8 / OTHER","camunda-platform-elasticsearch-master-1 / camunda8 / OTHER","camunda-platform-operate-5bc7c489c4-xvrhr / camunda8 / OTHER","camunda-platform-tasklist-9968d5594-2rj85 / camunda8 / OTHER","camunda-platform-zeebe-0 / camunda8 / OTHER","camunda-platform-zeebe-gateway-5ff76496c4-wrsml / camunda8 / OTHER","coredns-6799fbcd5-hv5gw / kube-system / OTHER","helm-install-traefik-crd-g2kkj / kube-system / OTHER","helm-install-traefik-v6j69 / kube-system / OTHER","local-path-provisioner-84db5d44d9-6lpch / kube-system / OTHER","metrics-server-67c658944b-p7nxh / kube-system / OTHER","svclb-traefik-b23bf1fe-nwmmj / kube-system / OTHER","traefik-f4564c4f4-g8jd6 / kube-system / OTHER","load-controller-8457f8b5d6-8cwqx / load-controller / OTHER","test-responder-84465bf468-gfz26 / measuring-endpoints / OTHER","alertmanager-kube-prometheus-stack-alertmanager-0 / monitoring / OTHER","kepler-6jd6h / monitoring / OTHER","kube-prometheus-stack-grafana-7598c8c764-gtbj2 / monitoring / OTHER","kube-prometheus-stack-kube-state-metrics-75bd6bdcb9-tnbn2 / monitoring / OTHER","kube-prometheus-stack-operator-7c8b6567b7-mhx6x / monitoring / OTHER","kube-prometheus-stack-prometheus-node-exporter-6lzg4 / monitoring / OTHER","prometheus-kube-prometheus-stack-prometheus-0 / monitoring / OTHER","system_processes / system / OTHER","restworkerjava-5b57f4965f-9dzjr / worker / OTHER","restworkerjava-5b7cb5f986-t95xn / worker / OTHER","restworkerjava-65457768b-6l2mj / worker / OTHER","restworkerjava-89fd57d48-wfjpg / worker / OTHER"
2024-02-18 20:30:00,0.493,0.495,0.248,0.243,0.424,0.270,0.247,0.241,0.241,0.242,0.293,0.481,0.241,0.242,0.242,0.482,0.328,0.734,0.242,0.242,0.241,0.779,1.67,,,,0.243,0.0450,0.0450,0.0225,0.0225,0.0225,0.0225,0.0225,0.0216,0.0216,0.0225,0.0225,0.0432,0.0222,0.0225,0.0225,0.0444,0.0225,0.0657,0.0222,0.0222,0.0222,0.0684,0.0324,,,,0.0225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
2024-02-18 20:30:10,0.360,0.363,0.181,0.180,0.233,0.188,0.180,0.178,0.178,0.179,0.190,0.356,0.178,0.179,0.179,0.356,0.231,0.535,0.183,0.676,0.178,0.537,2.58,,,,0.179,0.0336,0.0345,0.0174,0.0168,0.0180,0.0171,0.0171,0.0162,0.0162,0.0168,0.0168,0.0324,0.0165,0.0168,0.0168,0.0330,0.0168,0.0492,0.0168,0.0234,0.0168,0.0495,0.103,,,,0.0168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
2024-02-18 20:30:20,0.358,0.366,0.180,0.176,0.375,0.213,0.180,0.173,0.173,0.174,0.208,0.346,0.174,0.175,0.175,0.347,0.365,0.521,0.176,0.465,0.277,0.695,3.98,,,,0.179,0.0339,0.0354,0.0174,0.0165,0.0207,0.0183,0.0174,0.0156,0.0156,0.0165,0.0171,0.0312,0.0165,0.0165,0.0165,0.0321,0.0168,0.0477,0.0168,0.0180,0.0177,0.0537,0.108,,,,0.0168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
2024-02-18 20:30:30,0.494,0.506,0.253,0.244,0.431,0.276,0.248,0.241,0.241,0.242,0.256,0.481,0.241,0.242,0.243,0.482,0.276,0.745,0.241,0.241,0.241,0.919,1.13,0.724,,,0.179,0.0447,0.0456,0.0228,0.0225,0.0231,0.0228,0.0225,0.0216,0.0216,0.0225,0.0225,0.0432,0.0225,0.0225,0.0225,0.0441,0.0228,0.0657,0.0222,0.0219,0.0219,0.0678,0.0361,0.0279,,,0.0168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
2024-02-18 20:30:40,0.365,0.366,0.183,0.181,0.229,0.190,0.186,0.180,0.180,0.181,0.187,0.360,0.181,0.181,0.181,0.362,0.219,0.542,0.181,0.181,0.181,0.568,0.437,0.185,,,0.179,0.0330,0.0339,0.0171,0.0168,0.0168,0.0168,0.0168,0.0162,0.0162,0.0168,0.0168,0.0324,0.0165,0.0168,0.0168,0.0330,0.0168,0.0492,0.0168,0.0165,0.0168,0.0501,0.0228,0.0168,,,0.0168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
2024-02-18 20:30:50,0.364,0.364,0.181,0.179,0.255,0.194,0.182,0.178,0.178,0.179,0.203,0.356,0.179,0.179,0.179,0.357,0.201,0.593,0.181,0.178,0.199,0.643,1.34,0.185,,,0.179,0.0342,0.0345,0.0171,0.0171,0.0174,0.0171,0.0174,0.0162,0.0162,0.0171,0.0171,0.0324,0.0171,0.0171,0.0171,0.0327,0.0174,0.0504,0.0171,0.0165,0.0168,0.0495,0.0372,0.0171,,,0.0168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
2024-02-18 20:31:00,0.487,0.504,0.252,0.243,0.432,0.283,0.247,0.241,0.241,0.242,0.248,0.481,0.241,0.242,0.242,0.481,0.296,0.804,0.245,0.241,0.241,0.980,1.54,0.254,,,,0.0444,0.0456,0.0225,0.0225,0.0225,0.0225,0.0225,0.0216,0.0216,0.0225,0.0225,0.0432,0.0222,0.0225,0.0225,0.0438,0.0225,0.0669,0.0225,0.0219,0.0216,0.0675,0.0420,0.0225,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2024-02-18 20:31:10,0.362,0.367,0.183,0.181,0.225,0.189,0.181,0.180,0.180,0.181,0.183,0.360,0.180,0.181,0.181,0.361,0.198,0.541,0.181,0.182,0.180,0.570,0.334,0.189,,,,0.0336,0.0342,0.0168,0.0168,0.0168,0.0168,0.0168,0.0162,0.0162,0.0168,0.0168,0.0324,0.0165,0.0168,0.0168,0.0330,0.0171,0.0492,0.0168,0.0165,0.0168,0.0501,0.0219,0.0168,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2024-02-18 20:31:20,0.374,0.385,0.185,0.185,0.352,0.214,0.186,0.180,0.180,0.181,0.213,0.360,0.181,0.182,0.181,0.361,0.331,0.697,0.181,0.180,0.245,0.635,0.842,0.183,,,,0.0339,0.0342,0.0171,0.0171,0.0174,0.0171,0.0171,0.0162,0.0162,0.0171,0.0171,0.0324,0.0168,0.0171,0.0171,0.0324,0.0171,0.0495,0.0162,0.0165,0.0171,0.0528,0.0261,0.0171,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2024-02-18 20:31:30,0.496,0.501,0.248,0.243,0.390,0.278,0.245,0.241,0.241,0.242,0.273,0.481,0.242,0.242,0.242,0.489,0.278,0.750,0.246,0.241,0.241,0.866,1.94,0.246,,,,0.0450,0.0450,0.0225,0.0225,0.0228,0.0225,0.0225,0.0216,0.0216,0.0222,0.0225,0.0432,0.0219,0.0225,0.0225,0.0438,0.0225,0.0660,0.0225,0.0219,0.0216,0.0660,0.0399,0.0225,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
