sep=,
"Time","worker"
2024-02-18 20:30:00,0
2024-02-18 20:30:10,0
2024-02-18 20:30:20,0
2024-02-18 20:30:30,0
2024-02-18 20:30:40,0
2024-02-18 20:30:50,0
2024-02-18 20:31:00,0
2024-02-18 20:31:10,0
2024-02-18 20:31:20,0
2024-02-18 20:31:30,0
2024-02-18 20:31:40,0
2024-02-18 20:31:50,0
2024-02-18 20:32:00,0
2024-02-18 20:32:10,2.40
2024-02-18 20:32:20,12.8
2024-02-18 20:32:30,11.3
2024-02-18 20:32:40,12.8
2024-02-18 20:32:50,12.8
2024-02-18 20:33:00,11.4
2024-02-18 20:33:10,12.6
2024-02-18 20:33:20,12.8
2024-02-18 20:33:30,11.3
2024-02-18 20:33:40,13.5
2024-02-18 20:33:50,12.8
2024-02-18 20:34:00,12.1
2024-02-18 20:34:10,8.70
2024-02-18 20:34:20,12.8
2024-02-18 20:34:30,11.2
2024-02-18 20:34:40,13.5
2024-02-18 20:34:50,12.8
2024-02-18 20:35:00,12.1
2024-02-18 20:35:10,12.6
2024-02-18 20:35:20,12.8
2024-02-18 20:35:30,11.2
2024-02-18 20:35:40,12.8
2024-02-18 20:35:50,11.2
2024-02-18 20:36:00,12.8
2024-02-18 20:36:10,10.4
2024-02-18 20:36:20,12
2024-02-18 20:36:30,11.3
2024-02-18 20:36:40,12.7
2024-02-18 20:36:50,12.8
2024-02-18 20:37:00,12.8
2024-02-18 20:37:10,11.2
2024-02-18 20:37:20,12.8
2024-02-18 20:37:30,12.8
2024-02-18 20:37:40,12.8
2024-02-18 20:37:50,11.2
2024-02-18 20:38:00,12.8
2024-02-18 20:38:10,10.4
2024-02-18 20:38:20,9
2024-02-18 20:38:30,12.6
2024-02-18 20:38:40,12.8
2024-02-18 20:38:50,12
2024-02-18 20:39:00,12
2024-02-18 20:39:10,12
2024-02-18 20:39:20,12.8
2024-02-18 20:39:30,12
2024-02-18 20:39:40,12
2024-02-18 20:39:50,12
2024-02-18 20:40:00,12.8
2024-02-18 20:40:10,12
2024-02-18 20:40:20,9
2024-02-18 20:40:30,12.6
2024-02-18 20:40:40,12.8
2024-02-18 20:40:50,11.4
2024-02-18 20:41:00,12.6
2024-02-18 20:41:10,12.8
2024-02-18 20:41:20,11.4
2024-02-18 20:41:30,12.6
2024-02-18 20:41:40,12.8
2024-02-18 20:41:50,9.60
2024-02-18 20:42:00,12.8
2024-02-18 20:42:10,11.2
2024-02-18 20:42:20,11.3
2024-02-18 20:42:30,12.7
2024-02-18 20:42:40,12.9
2024-02-18 20:42:50,12.1
2024-02-18 20:43:00,11.9
2024-02-18 20:43:10,12.9
2024-02-18 20:43:20,11.3
2024-02-18 20:43:30,12.7
2024-02-18 20:43:40,12.8
2024-02-18 20:43:50,11.4
2024-02-18 20:44:00,12.6
2024-02-18 20:44:10,13.5
2024-02-18 20:44:20,8.20
2024-02-18 20:44:30,12.6
2024-02-18 20:44:40,14.2
2024-02-18 20:44:50,12.8
2024-02-18 20:45:00,11.2
