sep=,
"Time","CompleteJob (NOT_FOUND)","ActivateJobs (OK)","CompleteJob (OK)","CreateProcessInstance (OK)","DeployResource (OK)","FailJob (OK)","Topology (OK)","ActivateJobs (RESOURCE_EXHAUSTED)","CreateProcessInstance (RESOURCE_EXHAUSTED)","Total requests completed"
2024-02-18 20:30:00,0,0,0,0,0,0,0,0,0,0.0182
2024-02-18 20:30:10,0,0,0,0,0,0,0,0,0,0.00909
2024-02-18 20:30:20,0,0,0,0,0,0,0,0,0,0.00909
2024-02-18 20:30:30,0,0,0,0,0,0,0,0,0,0.00909
2024-02-18 20:30:40,0,0,0,0,0,0,0,0,0,0.00909
2024-02-18 20:30:50,0,0,0,0,0,0,0,0,0,0.00909
2024-02-18 20:31:00,0,0,0,0,0,0,0,0,0,0.00909
2024-02-18 20:31:10,0,0,0,0,0,0,0,0,0,0
2024-02-18 20:31:20,0,0.100,0,0,0,0,0,0,0,0.00909
2024-02-18 20:31:30,0,0,0,0,0,0,0,0,0,0.00909
2024-02-18 20:31:40,0,0,0,0,0,0,0,0,0,0.00909
2024-02-18 20:31:50,0,0,0,0,0,0,0,0,0,0.00909
2024-02-18 20:32:00,0,0,0,0,0,0,0,0,0,0.00909
2024-02-18 20:32:10,0,1.10,4,0.200,0,0,0,0,0,0.491
2024-02-18 20:32:20,0,3.50,12.8,0,0,0,0,0,0,1.97
2024-02-18 20:32:30,0,3.80,12.8,0,0,0,0,0,0,3.48
2024-02-18 20:32:40,0.100,3.80,12.8,0,0,0,0,0,0,5
2024-02-18 20:32:50,0,3.30,11.2,0,0,0,0,0,0,6.32
2024-02-18 20:33:00,0,3.60,12.8,0,0,0,0,0,0,7.81
2024-02-18 20:33:10,0,3.30,11.3,0,0,0,0,0,0,9.13
2024-02-18 20:33:20,0,3.50,12.7,0,0,0,0,0,0,10.6
2024-02-18 20:33:30,0,3.60,12.8,0,0,0,0,0,0,12.1
2024-02-18 20:33:40,0.800,3.80,12.8,0,0,0,0,0,0,13.7
2024-02-18 20:33:50,0,3.30,11.2,0,0,0,0,0,0,15.0
2024-02-18 20:34:00,0,3.80,12.8,0,0,0,0,0,0,16.0
2024-02-18 20:34:10,0,2.40,8.10,0.200,0,0,0,0,0,15.5
2024-02-18 20:34:20,0,3.50,12.7,0,0,0,0,0,0,15.5
2024-02-18 20:34:30,0,3.70,12.8,0,0,0,0,0,0,15.5
2024-02-18 20:34:40,0.700,3.70,12.8,0,0,0,0,0,0,15.7
2024-02-18 20:34:50,0,3,11.2,0,0,0,0,0,0,15.5
2024-02-18 20:35:00,0,3.50,12.8,0,0,0,0,0,0,15.7
2024-02-18 20:35:10,0.700,4,12.8,0,0,0,0,0,0,15.8
2024-02-18 20:35:20,0,3,11.2,0,0,0,0,0,0,15.6
2024-02-18 20:35:30,0,3.60,12.8,0,0,0,0,0,0,15.5
2024-02-18 20:35:40,0,3.40,11.2,0,0,0,0,0,0,15.5
2024-02-18 20:35:50,0,3.40,12.8,0,0,0,0,0,0,15.5
2024-02-18 20:36:00,0,2.90,11.2,0,0,0,0,0,0,15.8
2024-02-18 20:36:10,0,2.40,9.60,0.100,0,0,0,0,0,15.4
2024-02-18 20:36:20,0,3.50,12.8,0.100,0,0,0,0,0,15.4
2024-02-18 20:36:30,0,3.60,12.8,0,0,0,0,0,0,15.3
2024-02-18 20:36:40,0,3.70,12.8,0,0,0,0,0,0,15.5
2024-02-18 20:36:50,0,3.60,11.3,0,0,0,0,0,0,15.4
2024-02-18 20:37:00,0,3.40,12.7,0,0,0,0,0,0,15.3
2024-02-18 20:37:10,0,3.80,12.8,0,0,0,0,0,0,15.5
2024-02-18 20:37:20,0,3.60,12.8,0,0,0,0,0,0,15.5
2024-02-18 20:37:30,0,3.40,12,0,0,0,0,0,0,15.6
2024-02-18 20:37:40,0,3.40,12,0,0,0,0,0,0,15.5
2024-02-18 20:37:50,0,3.30,12.8,0,0,0,0,0,0,15.7
2024-02-18 20:38:00,0,3.50,12.8,0,0,0,0,0,0,16.0
2024-02-18 20:38:10,0,2,7.20,0,0,0,0,0,0,15.4
2024-02-18 20:38:20,0,3.30,12,0.200,0,0,0,0,0,15.3
2024-02-18 20:38:30,0,3.30,12.8,0,0,0,0,0,0,15.3
2024-02-18 20:38:40,0,3.10,11.2,0,0,0,0,0,0,15.2
2024-02-18 20:38:50,0,3.10,12.8,0,0,0,0,0,0,15.2
2024-02-18 20:39:00,0,3,12,0,0,0,0,0,0,15.1
2024-02-18 20:39:10,0,3,12,0,0,0,0,0,0,14.9
2024-02-18 20:39:20,0,3.20,12.8,0,0,0,0,0,0,15.0
2024-02-18 20:39:30,0,3,12,0,0,0,0,0,0,14.9
2024-02-18 20:39:40,0,3,12,0,0,0,0,0,0,14.8
2024-02-18 20:39:50,0,3.20,12.1,0,0,0,0,0,0,14.8
2024-02-18 20:40:00,0,3,12.7,0,0,0,0,0,0,15.3
2024-02-18 20:40:10,0,2.80,11.2,0,0,0,0,0,0,15.2
2024-02-18 20:40:20,0,2.80,10.4,0.200,0,0,0,0,0,15.0
2024-02-18 20:40:30,0,3.10,12,0,0,0,0,0,0,15.0
2024-02-18 20:40:40,0,3.10,12,0,0,0,0,0,0,15.0
2024-02-18 20:40:50,0,3.90,12.8,0,0,0,0,0,0,15.1
2024-02-18 20:41:00,0,3.60,11.4,0,0,0,0,0,0,15.1
2024-02-18 20:41:10,0,2.80,12.6,0,0,0,0,0,0,15.1
2024-02-18 20:41:20,0,3.20,12.8,0,0,0,0,0,0,15.2
2024-02-18 20:41:30,0,3.70,12.1,0,0,0,0,0,0,15.2
2024-02-18 20:41:40,0,3.50,11.9,0,0,0,0,0,0,15.2
2024-02-18 20:41:50,0,3.10,9.70,0,0,0,0,0,0,15.0
2024-02-18 20:42:00,0,3.50,12.7,0,0,0,0,0,0,15.2
2024-02-18 20:42:10,0,3.90,12.8,0,0,0,0,0,0,15.5
2024-02-18 20:42:20,0,3.20,11.2,0.200,0,0,0,0,0,15.4
2024-02-18 20:42:30,0,3.30,12.1,0,0,0,0,0,0,15.5
2024-02-18 20:42:40,0.100,3.30,11.9,0,0,0,0,0,0,15.3
2024-02-18 20:42:50,0,3.90,12.8,0,0,0,0,0,0,15.5
2024-02-18 20:43:00,0,3.50,11.4,0,0,0,0,0,0,15.4
2024-02-18 20:43:10,0.100,3.50,12.6,0,0,0,0,0,0,15.5
2024-02-18 20:43:20,0,3.70,12.8,0,0,0,0,0,0,15.5
2024-02-18 20:43:30,0,3.90,12.1,0,0,0,0,0,0,15.6
2024-02-18 20:43:40,0,3,11.9,0,0,0,0,0,0,15.8
2024-02-18 20:43:50,0,3.70,12.8,0,0,0,0,0,0,15.8
2024-02-18 20:44:00,0,3.80,11.3,0,0,0,0,0,0,15.6
2024-02-18 20:44:10,0.700,3.50,12.7,0,0,0,0,0,0,15.9
2024-02-18 20:44:20,0,2.50,9.60,0.200,0,0,0,0,0,15.6
2024-02-18 20:44:30,0,3.50,12.8,0,0,0,0,0,0,15.7
2024-02-18 20:44:40,1.40,3,11.2,0,0,0,0,0,0,15.6
2024-02-18 20:44:50,0,3.60,12.8,0,0,0,0,0,0,15.7
2024-02-18 20:45:00,0,3.90,12.8,0,0,0,0,0,0,15.7
2024-02-18 20:45:10,0,2.90,11.2,0,0,0,0,0,0,15.5
2024-02-18 20:45:20,0,3.40,12.8,0,0,0,0,0,0,15.5
2024-02-18 20:45:30,0,3.70,11.6,0,0,0,0,0,0,15.6
2024-02-18 20:45:40,0.100,2.90,12.4,0,0,0,0,0,0,15.5
2024-02-18 20:45:50,0,3.70,12.8,0,0,0,0,0,0,15.6
2024-02-18 20:46:00,0,3.80,12.8,0,0,0,0,0,0,15.6
2024-02-18 20:46:10,0,3.40,11.2,0,0,0,0,0,0,15.8
2024-02-18 20:46:20,0,2.70,9.60,0.200,0,0,0,0,0,15.4
2024-02-18 20:46:30,0,3.20,11.4,0,0,0,0,0,0,15.4
2024-02-18 20:46:40,0.800,3.20,12.6,0,0,0,0,0,0,15.4
2024-02-18 20:46:50,0,3.40,12.8,0,0,0,0,0,0,15.3
2024-02-18 20:47:00,0,3.70,12.8,0,0,0,0,0,0,15.5
2024-02-18 20:47:10,0,3.80,11.4,0,0,0,0,0,0,15.5
