sep=,
"Time","camunda-platform-elasticsearch-master-0 / camunda8 / PKG","camunda-platform-elasticsearch-master-1 / camunda8 / PKG","camunda-platform-operate-5bc7c489c4-8zrg4 / camunda8 / PKG","camunda-platform-tasklist-9968d5594-9257r / camunda8 / PKG","camunda-platform-zeebe-0 / camunda8 / PKG","camunda-platform-zeebe-gateway-5ff76496c4-n9kzj / camunda8 / PKG","camunda-platform-elasticsearch-master-0 / camunda8 / DRAM","camunda-platform-elasticsearch-master-1 / camunda8 / DRAM","camunda-platform-operate-5bc7c489c4-8zrg4 / camunda8 / DRAM","camunda-platform-tasklist-9968d5594-9257r / camunda8 / DRAM","camunda-platform-zeebe-0 / camunda8 / DRAM","camunda-platform-zeebe-gateway-5ff76496c4-n9kzj / camunda8 / DRAM","camunda-platform-elasticsearch-master-0 / camunda8 / OTHER","camunda-platform-elasticsearch-master-1 / camunda8 / OTHER","camunda-platform-operate-5bc7c489c4-8zrg4 / camunda8 / OTHER","camunda-platform-tasklist-9968d5594-9257r / camunda8 / OTHER","camunda-platform-zeebe-0 / camunda8 / OTHER","camunda-platform-zeebe-gateway-5ff76496c4-n9kzj / camunda8 / OTHER"
2024-02-13 15:12:00,0.533,0.570,0.254,0.248,0.515,0.285,0.0558,0.0558,0.0279,0.0279,0.0279,0.0279,0,0,0,0,0,0
2024-02-13 15:12:10,0.436,0.364,0.180,0.177,0.366,0.220,0.0492,0.0492,0.0246,0.0246,0.0246,0.0246,0,0,0,0,0,0
2024-02-13 15:12:20,0.406,0.826,0.189,0.187,0.343,0.216,0.0378,0.0378,0.0189,0.0189,0.0189,0.0189,0,0,0,0,0,0
2024-02-13 15:12:30,0.501,0.501,0.320,0.246,0.424,0.272,0.0456,0.0456,0.0228,0.0228,0.0228,0.0228,0,0,0,0,0,0
2024-02-13 15:12:40,0.371,0.373,0.186,0.183,0.350,0.204,0.0342,0.0342,0.0171,0.0171,0.0171,0.0171,0,0,0,0,0,0
2024-02-13 15:12:50,0.370,0.364,0.187,0.183,0.289,0.198,0.0342,0.0342,0.0171,0.0171,0.0171,0.0171,0,0,0,0,0,0
2024-02-13 15:13:00,0.529,0.510,0.387,0.251,0.483,0.283,0.0462,0.0462,0.0231,0.0231,0.0231,0.0231,0,0,0,0,0,0
2024-02-13 15:13:10,0.385,0.383,0.188,0.185,0.356,0.219,0.0342,0.0342,0.0171,0.0171,0.0171,0.0171,0,0,0,0,0,0
2024-02-13 15:13:20,0.376,0.371,0.199,0.201,0.305,0.203,0.0348,0.0348,0.0174,0.0174,0.0174,0.0174,0,0,0,0,0,0
2024-02-13 15:13:30,0.667,0.582,0.305,0.247,0.468,0.289,0.0468,0.0468,0.0234,0.0234,0.0234,0.0234,0,0,0,0,0,0
