sep=,
"Time","worker"
2024-02-07 19:07:20,5.60
2024-02-07 19:07:30,6.40
2024-02-07 19:07:40,5.60
2024-02-07 19:07:50,6.40
2024-02-07 19:08:00,6.40
2024-02-07 19:08:10,6.40
2024-02-07 19:08:20,6.40
2024-02-07 19:08:30,6.40
2024-02-07 19:08:40,6.40
2024-02-07 19:10:20,12.8
2024-02-07 19:10:30,12.8
2024-02-07 19:10:40,5.70
2024-02-07 19:10:50,6.30
2024-02-07 19:11:00,6.40
2024-02-07 19:11:10,6.40
2024-02-07 19:11:20,6.40
2024-02-07 19:11:30,6.40
2024-02-07 19:11:40,6.40
2024-02-07 19:13:40,12
2024-02-07 19:13:50,6.40
2024-02-07 19:14:00,6.40
2024-02-07 19:14:10,5.60
2024-02-07 19:14:20,5.60
2024-02-07 19:14:30,5.60
2024-02-07 19:14:40,5.60
2024-02-07 19:14:50,5.60
2024-02-07 19:16:30,11.2
2024-02-07 19:16:40,8
2024-02-07 19:16:50,5.70
2024-02-07 19:17:00,6.30
2024-02-07 19:17:10,6.30
2024-02-07 19:17:20,6.30
2024-02-07 19:17:30,6.30
2024-02-07 19:17:40,6.30
2024-02-07 19:19:30,11.2
2024-02-07 19:19:40,12.8
2024-02-07 19:19:50,5.70
2024-02-07 19:20:00,6.30
2024-02-07 19:20:10,6.40
2024-02-07 19:20:20,6.40
2024-02-07 19:20:30,6.40
2024-02-07 19:20:40,6.40
2024-02-07 19:20:50,6.40
2024-02-07 19:22:30,11.2
2024-02-07 19:22:40,12.0
2024-02-07 19:22:50,6.40
2024-02-07 19:23:00,5.60
2024-02-07 19:23:10,6.40
2024-02-07 19:23:20,6.40
2024-02-07 19:23:30,6.40
2024-02-07 19:23:40,6.40
2024-02-07 19:23:50,6.40
2024-02-07 19:25:30,12.6
2024-02-07 19:25:40,9.60
2024-02-07 19:25:50,5.60
2024-02-07 19:26:00,6.40
2024-02-07 19:26:10,6.40
2024-02-07 19:26:20,6.40
2024-02-07 19:26:30,6.40
2024-02-07 19:26:40,6.40
2024-02-07 19:28:30,11.2
