sep=,
"Time","restworkerjava-56c6fcc879-4bfz7 / worker / PKG","restworkerjava-56c6fcc879-59l9c / worker / PKG","restworkerjava-56c6fcc879-5br2p / worker / PKG","restworkerjava-56c6fcc879-5mxxw / worker / PKG","restworkerjava-56c6fcc879-68sp5 / worker / PKG","restworkerjava-56c6fcc879-6q7jv / worker / PKG","restworkerjava-56c6fcc879-7dmm2 / worker / PKG","restworkerjava-56c6fcc879-7j585 / worker / PKG","restworkerjava-56c6fcc879-7xx4z / worker / PKG","restworkerjava-56c6fcc879-8g8lt / worker / PKG","restworkerjava-56c6fcc879-9njqv / worker / PKG","restworkerjava-56c6fcc879-b4wg8 / worker / PKG","restworkerjava-56c6fcc879-bsdct / worker / PKG","restworkerjava-56c6fcc879-bzwhz / worker / PKG","restworkerjava-56c6fcc879-hs4pn / worker / PKG","restworkerjava-56c6fcc879-jdhfc / worker / PKG","restworkerjava-56c6fcc879-jptv2 / worker / PKG","restworkerjava-56c6fcc879-klg2j / worker / PKG","restworkerjava-56c6fcc879-ldjmr / worker / PKG","restworkerjava-56c6fcc879-n8db9 / worker / PKG","restworkerjava-56c6fcc879-p4x9m / worker / PKG","restworkerjava-56c6fcc879-ptmv5 / worker / PKG","restworkerjava-56c6fcc879-qjdwz / worker / PKG","restworkerjava-56c6fcc879-qqb25 / worker / PKG","restworkerjava-56c6fcc879-rkpct / worker / PKG","restworkerjava-56c6fcc879-rt69j / worker / PKG","restworkerjava-56c6fcc879-stxpk / worker / PKG","restworkerjava-56c6fcc879-ttns8 / worker / PKG","restworkerjava-56c6fcc879-xpccb / worker / PKG","restworkerjava-56c6fcc879-xxsjq / worker / PKG","restworkerjava-56c6fcc879-zc2k2 / worker / PKG","restworkerjava-56c6fcc879-4bfz7 / worker / DRAM","restworkerjava-56c6fcc879-59l9c / worker / DRAM","restworkerjava-56c6fcc879-5br2p / worker / DRAM","restworkerjava-56c6fcc879-5mxxw / worker / DRAM","restworkerjava-56c6fcc879-68sp5 / worker / DRAM","restworkerjava-56c6fcc879-6q7jv / worker / DRAM","restworkerjava-56c6fcc879-7dmm2 / worker / DRAM","restworkerjava-56c6fcc879-7j585 / worker / DRAM","restworkerjava-56c6fcc879-7xx4z / worker / DRAM","restworkerjava-56c6fcc879-8g8lt / worker / DRAM","restworkerjava-56c6fcc879-9njqv / worker / DRAM","restworkerjava-56c6fcc879-b4wg8 / worker / DRAM","restworkerjava-56c6fcc879-bsdct / worker / DRAM","restworkerjava-56c6fcc879-bzwhz / worker / DRAM","restworkerjava-56c6fcc879-hs4pn / worker / DRAM","restworkerjava-56c6fcc879-jdhfc / worker / DRAM","restworkerjava-56c6fcc879-jptv2 / worker / DRAM","restworkerjava-56c6fcc879-klg2j / worker / DRAM","restworkerjava-56c6fcc879-ldjmr / worker / DRAM","restworkerjava-56c6fcc879-n8db9 / worker / DRAM","restworkerjava-56c6fcc879-p4x9m / worker / DRAM","restworkerjava-56c6fcc879-ptmv5 / worker / DRAM","restworkerjava-56c6fcc879-qjdwz / worker / DRAM","restworkerjava-56c6fcc879-qqb25 / worker / DRAM","restworkerjava-56c6fcc879-rkpct / worker / DRAM","restworkerjava-56c6fcc879-rt69j / worker / DRAM","restworkerjava-56c6fcc879-stxpk / worker / DRAM","restworkerjava-56c6fcc879-ttns8 / worker / DRAM","restworkerjava-56c6fcc879-xpccb / worker / DRAM","restworkerjava-56c6fcc879-xxsjq / worker / DRAM","restworkerjava-56c6fcc879-zc2k2 / worker / DRAM","restworkerjava-56c6fcc879-4bfz7 / worker / OTHER","restworkerjava-56c6fcc879-59l9c / worker / OTHER","restworkerjava-56c6fcc879-5br2p / worker / OTHER","restworkerjava-56c6fcc879-5mxxw / worker / OTHER","restworkerjava-56c6fcc879-68sp5 / worker / OTHER","restworkerjava-56c6fcc879-6q7jv / worker / OTHER","restworkerjava-56c6fcc879-7dmm2 / worker / OTHER","restworkerjava-56c6fcc879-7j585 / worker / OTHER","restworkerjava-56c6fcc879-7xx4z / worker / OTHER","restworkerjava-56c6fcc879-8g8lt / worker / OTHER","restworkerjava-56c6fcc879-9njqv / worker / OTHER","restworkerjava-56c6fcc879-b4wg8 / worker / OTHER","restworkerjava-56c6fcc879-bsdct / worker / OTHER","restworkerjava-56c6fcc879-bzwhz / worker / OTHER","restworkerjava-56c6fcc879-hs4pn / worker / OTHER","restworkerjava-56c6fcc879-jdhfc / worker / OTHER","restworkerjava-56c6fcc879-jptv2 / worker / OTHER","restworkerjava-56c6fcc879-klg2j / worker / OTHER","restworkerjava-56c6fcc879-ldjmr / worker / OTHER","restworkerjava-56c6fcc879-n8db9 / worker / OTHER","restworkerjava-56c6fcc879-p4x9m / worker / OTHER","restworkerjava-56c6fcc879-ptmv5 / worker / OTHER","restworkerjava-56c6fcc879-qjdwz / worker / OTHER","restworkerjava-56c6fcc879-qqb25 / worker / OTHER","restworkerjava-56c6fcc879-rkpct / worker / OTHER","restworkerjava-56c6fcc879-rt69j / worker / OTHER","restworkerjava-56c6fcc879-stxpk / worker / OTHER","restworkerjava-56c6fcc879-ttns8 / worker / OTHER","restworkerjava-56c6fcc879-xpccb / worker / OTHER","restworkerjava-56c6fcc879-xxsjq / worker / OTHER","restworkerjava-56c6fcc879-zc2k2 / worker / OTHER"
2024-02-07 19:06:00,,,,,,,,,0.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
2024-02-07 19:07:30,,,,,,,,0.316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
2024-02-07 19:07:40,,,,,,,,0.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
2024-02-07 19:07:50,,,,,,,,0.390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
2024-02-07 19:08:00,,,,,,,,0.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
2024-02-07 19:08:10,,,,,,,,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
2024-02-07 19:08:20,,,,,,,,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
2024-02-07 19:08:30,,,,,,,,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
2024-02-07 19:08:40,,,,,,,,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
2024-02-07 19:08:50,,,,,,,,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
2024-02-07 19:10:30,0.345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-07 19:10:40,0.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-07 19:10:50,0.410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-07 19:11:00,0.290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-07 19:11:10,0.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-07 19:11:20,0.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-07 19:11:30,0.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-07 19:11:40,0.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-07 19:11:50,0.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-07 19:13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
2024-02-07 19:13:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
2024-02-07 19:13:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
2024-02-07 19:14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
