sep=,
"Time","worker"
2024-02-07 17:12:00,0
2024-02-07 17:13:00,6.30
2024-02-07 17:13:10,6.40
2024-02-07 17:13:20,5.60
2024-02-07 17:13:30,6.40
2024-02-07 17:13:40,6.40
2024-02-07 17:13:50,6.40
2024-02-07 17:14:00,6.40
2024-02-07 17:14:10,6.40
2024-02-07 17:15:30,11.2
2024-02-07 17:15:40,8
2024-02-07 17:15:50,6.40
2024-02-07 17:16:00,5.70
2024-02-07 17:16:10,5.70
2024-02-07 17:16:20,5.70
2024-02-07 17:16:30,5.70
2024-02-07 17:16:40,5.70
2024-02-07 17:18:00,11.9
2024-02-07 17:18:10,9.60
2024-02-07 17:18:20,5.70
2024-02-07 17:18:30,6.30
2024-02-07 17:18:40,6.30
2024-02-07 17:18:50,6.30
2024-02-07 17:19:00,6.30
2024-02-07 17:19:10,6.30
2024-02-07 17:20:40,11.2
2024-02-07 17:20:50,7.20
2024-02-07 17:21:00,6.40
2024-02-07 17:21:10,5.60
2024-02-07 17:21:20,5.60
2024-02-07 17:21:30,5.60
2024-02-07 17:21:40,5.60
2024-02-07 17:21:50,5.60
2024-02-07 17:23:00,12.8
2024-02-07 17:23:10,11.3
2024-02-07 17:23:20,6.30
2024-02-07 17:23:30,6.40
2024-02-07 17:23:40,6.40
2024-02-07 17:23:50,6.40
2024-02-07 17:24:00,6.40
2024-02-07 17:24:10,6.40
2024-02-07 17:24:20,6.40
2024-02-07 17:25:30,12.8
2024-02-07 17:25:40,11.2
2024-02-07 17:25:50,6.40
2024-02-07 17:26:00,6.40
2024-02-07 17:26:10,5.60
2024-02-07 17:26:20,5.60
2024-02-07 17:26:30,5.60
2024-02-07 17:26:40,5.60
2024-02-07 17:26:50,5.60
2024-02-07 17:28:10,12.8
2024-02-07 17:28:20,8
2024-02-07 17:28:30,6.40
2024-02-07 17:28:40,6.40
2024-02-07 17:28:50,6.40
2024-02-07 17:29:00,6.40
2024-02-07 17:29:10,6.40
2024-02-07 17:29:20,6.40
2024-02-07 17:30:40,11.2
2024-02-07 17:30:50,9.60
2024-02-07 17:31:00,6.40
2024-02-07 17:31:10,5.60
2024-02-07 17:31:20,5.60
2024-02-07 17:31:30,5.60
2024-02-07 17:31:40,5.60
2024-02-07 17:31:50,5.60
2024-02-07 17:33:00,12.8
2024-02-07 17:33:10,12.8
2024-02-07 17:33:20,5.60
2024-02-07 17:33:30,6.40
2024-02-07 17:33:40,6.40
2024-02-07 17:33:50,6.40
2024-02-07 17:34:00,6.40
2024-02-07 17:34:10,6.40
2024-02-07 17:34:20,6.40
2024-02-07 17:35:40,11.2
2024-02-07 17:35:50,9.60
2024-02-07 17:36:00,6.40
2024-02-07 17:36:10,5.70
2024-02-07 17:36:20,5.70
2024-02-07 17:36:30,5.70
2024-02-07 17:36:40,5.70
2024-02-07 17:36:50,5.70
2024-02-07 17:37:30,6.40
2024-02-07 17:37:40,5.60
2024-02-07 17:37:50,0
2024-02-07 17:38:00,0

