sep=,
"Time","restworkerjava-56c6fcc879-2ks57 / worker / PKG","restworkerjava-56c6fcc879-4knk2 / worker / PKG","restworkerjava-56c6fcc879-4zphm / worker / PKG","restworkerjava-56c6fcc879-8ccgn / worker / PKG","restworkerjava-56c6fcc879-bst8c / worker / PKG","restworkerjava-56c6fcc879-dqf22 / worker / PKG","restworkerjava-56c6fcc879-grqfc / worker / PKG","restworkerjava-56c6fcc879-ht5f2 / worker / PKG","restworkerjava-56c6fcc879-lvp8n / worker / PKG","restworkerjava-56c6fcc879-rsr8m / worker / PKG","restworkerjava-56c6fcc879-w8c56 / worker / PKG","restworkerjava-56c6fcc879-x8kxq / worker / PKG","restworkerjava-56c6fcc879-2ks57 / worker / DRAM","restworkerjava-56c6fcc879-4knk2 / worker / DRAM","restworkerjava-56c6fcc879-4zphm / worker / DRAM","restworkerjava-56c6fcc879-8ccgn / worker / DRAM","restworkerjava-56c6fcc879-bst8c / worker / DRAM","restworkerjava-56c6fcc879-dqf22 / worker / DRAM","restworkerjava-56c6fcc879-grqfc / worker / DRAM","restworkerjava-56c6fcc879-ht5f2 / worker / DRAM","restworkerjava-56c6fcc879-lvp8n / worker / DRAM","restworkerjava-56c6fcc879-rsr8m / worker / DRAM","restworkerjava-56c6fcc879-w8c56 / worker / DRAM","restworkerjava-56c6fcc879-x8kxq / worker / DRAM","restworkerjava-56c6fcc879-2ks57 / worker / OTHER","restworkerjava-56c6fcc879-4knk2 / worker / OTHER","restworkerjava-56c6fcc879-4zphm / worker / OTHER","restworkerjava-56c6fcc879-8ccgn / worker / OTHER","restworkerjava-56c6fcc879-bst8c / worker / OTHER","restworkerjava-56c6fcc879-dqf22 / worker / OTHER","restworkerjava-56c6fcc879-grqfc / worker / OTHER","restworkerjava-56c6fcc879-ht5f2 / worker / OTHER","restworkerjava-56c6fcc879-lvp8n / worker / OTHER","restworkerjava-56c6fcc879-rsr8m / worker / OTHER","restworkerjava-56c6fcc879-w8c56 / worker / OTHER","restworkerjava-56c6fcc879-x8kxq / worker / OTHER"
2024-02-07 17:12:00,,,,0.257,,,,,,,,,,,,0.0216,,,,,,,,,,,,0,,,,,,,,
2024-02-07 17:12:10,,,,0.257,,,,,,,,,,,,0.0216,,,,,,,,,,,,0,,,,,,,,
2024-02-07 17:13:00,,,,,,,,,,,0.399,,,,,,,,,,,,0.0210,,,,,,,,,,,,0,
2024-02-07 17:13:10,,,,,,,,,,,0.338,,,,,,,,,,,,0.0210,,,,,,,,,,,,0,
2024-02-07 17:13:20,,,,,,,,,,,0.398,,,,,,,,,,,,0.0252,,,,,,,,,,,,0,
2024-02-07 17:13:30,,,,,,,,,,,0.319,,,,,,,,,,,,0.0192,,,,,,,,,,,,0,
2024-02-07 17:13:40,,,,,,,,,,,0.316,,,,,,,,,,,,0.0192,,,,,,,,,,,,0,
2024-02-07 17:13:50,,,,,,,,,,,0.316,,,,,,,,,,,,0.0192,,,,,,,,,,,,0,
2024-02-07 17:14:00,,,,,,,,,,,0.316,,,,,,,,,,,,0.0192,,,,,,,,,,,,0,
2024-02-07 17:14:10,,,,,,,,,,,0.316,,,,,,,,,,,,0.0192,,,,,,,,,,,,0,
2024-02-07 17:14:20,,,,,,,,,,,0.316,,,,,,,,,,,,0.0192,,,,,,,,,,,,0,
2024-02-07 17:15:30,,,,,,,0.346,,,,,,,,,,,,0.0204,,,,,,,,,,,,0,,,,,
2024-02-07 17:15:40,,,,,,,0.354,,,,,,,,,,,,0.0198,,,,,,,,,,,,0,,,,,
2024-02-07 17:15:50,,,,,,,0.396,,,,,,,,,,,,0.0255,,,,,,,,,,,,0,,,,,
2024-02-07 17:16:00,,,,,,,0.297,,,,,,,,,,,,0.0192,,,,,,,,,,,,0,,,,,
2024-02-07 17:16:10,,,,,,,0.286,,,,,,,,,,,,0.0186,,,,,,,,,,,,0,,,,,
2024-02-07 17:16:20,,,,,,,0.286,,,,,,,,,,,,0.0186,,,,,,,,,,,,0,,,,,
2024-02-07 17:16:30,,,,,,,0.286,,,,,,,,,,,,0.0186,,,,,,,,,,,,0,,,,,
2024-02-07 17:16:40,,,,,,,0.286,,,,,,,,,,,,0.0186,,,,,,,,,,,,0,,,,,
2024-02-07 17:16:50,,,,,,,0.286,,,,,,,,,,,,0.0186,,,,,,,,,,,,0,,,,,
2024-02-07 17:18:00,,,,,,,,,0.348,,,,,,,,,,,,0.0207,,,,,,,,,,,,0,,,
2024-02-07 17:18:10,,,,,,,,,0.346,,,,,,,,,,,,0.0198,,,,,,,,,,,,0,,,
2024-02-07 17:18:20,,,,,,,,,0.400,,,,,,,,,,,,0.0252,,,,,,,,,,,,0,,,
2024-02-07 17:18:30,,,,,,,,,0.298,,,,,,,,,,,,0.0189,,,,,,,,,,,,0,,,
2024-02-07 17:18:40,,,,,,,,,0.304,,,,,,,,,,,,0.0192,,,,,,,,,,,,0,,,
2024-02-07 17:18:50,,,,,,,,,0.304,,,,,,,,,,,,0.0192,,,,,,,,,,,,0,,,
2024-02-07 17:19:00,,,,,,,,,0.304,,,,,,,,,,,,0.0192,,,,,,,,,,,,0,,,
2024-02-07 17:19:10,,,,,,,,,0.304,,,,,,,,,,,,0.0192,,,,,,,,,,,,0,,,
2024-02-07 17:19:20,,,,,,,,,0.304,,,,,,,,,,,,0.0192,,,,,,,,,,,,0,,,
2024-02-07 17:20:30,,,,,,,,0.316,,,,,,,,,,,,0.0204,,,,,,,,,,,,0,,,,
2024-02-07 17:20:40,,,,,,,,0.327,,,,,,,,,,,,0.0195,,,,,,,,,,,,0,,,,
2024-02-07 17:20:50,,,,,,,,0.424,,,,,,,,,,,,0.0258,,,,,,,,,,,,0,,,,
2024-02-07 17:21:00,,,,,,,,0.308,,,,,,,,,,,,0.0192,,,,,,,,,,,,0,,,,
2024-02-07 17:21:10,,,,,,,,0.288,,,,,,,,,,,,0.0189,,,,,,,,,,,,0,,,,
2024-02-07 17:21:20,,,,,,,,0.288,,,,,,,,,,,,0.0189,,,,,,,,,,,,0,,,,
2024-02-07 17:21:30,,,,,,,,0.288,,,,,,,,,,,,0.0189,,,,,,,,,,,,0,,,,
2024-02-07 17:21:40,,,,,,,,0.288,,,,,,,,,,,,0.0189,,,,,,,,,,,,0,,,,
2024-02-07 17:21:50,,,,,,,,0.288,,,,,,,,,,,,0.0189,,,,,,,,,,,,0,,,,
2024-02-07 17:23:00,0.364,,,,,,,,,,,,0.0210,,,,,,,,,,,,0,,,,,,,,,,,
2024-02-07 17:23:10,0.317,,,,,,,,,,,,0.0195,,,,,,,,,,,,0,,,,,,,,,,,
2024-02-07 17:23:20,0.410,,,,,,,,,,,,0.0267,,,,,,,,,,,,0,,,,,,,,,,,
2024-02-07 17:23:30,0.302,,,,,,,,,,,,0.0189,,,,,,,,,,,,0,,,,,,,,,,,
2024-02-07 17:23:40,0.268,,,,,,,,,,,,0.0186,,,,,,,,,,,,0,,,,,,,,,,,
2024-02-07 17:23:50,0.268,,,,,,,,,,,,0.0186,,,,,,,,,,,,0,,,,,,,,,,,
2024-02-07 17:24:00,0.268,,,,,,,,,,,,0.0186,,,,,,,,,,,,0,,,,,,,,,,,
2024-02-07 17:24:10,0.268,,,,,,,,,,,,0.0186,,,,,,,,,,,,0,,,,,,,,,,,
2024-02-07 17:24:20,0.268,,,,,,,,,,,,0.0186,,,,,,,,,,,,0,,,,,,,,,,,
2024-02-07 17:25:30,,,,,,,,,,0.413,,,,,,,,,,,,0.0213,,,,,,,,,,,,0,,
2024-02-07 17:25:40,,,,,,,,,,0.320,,,,,,,,,,,,0.0195,,,,,,,,,,,,0,,
2024-02-07 17:25:50,,,,,,,,,,0.410,,,,,,,,,,,,0.0252,,,,,,,,,,,,0,,
2024-02-07 17:26:00,,,,,,,,,,0.301,,,,,,,,,,,,0.0192,,,,,,,,,,,,0,,
2024-02-07 17:26:10,,,,,,,,,,0.290,,,,,,,,,,,,0.0189,,,,,,,,,,,,0,,
2024-02-07 17:26:20,,,,,,,,,,0.290,,,,,,,,,,,,0.0189,,,,,,,,,,,,0,,
2024-02-07 17:26:30,,,,,,,,,,0.290,,,,,,,,,,,,0.0189,,,,,,,,,,,,0,,
2024-02-07 17:26:40,,,,,,,,,,0.290,,,,,,,,,,,,0.0189,,,,,,,,,,,,0,,
2024-02-07 17:26:50,,,,,,,,,,0.290,,,,,,,,,,,,0.0189,,,,,,,,,,,,0,,
2024-02-07 17:28:00,,0.501,,,,,,,,,,,,0.0231,,,,,,,,,,,,0,,,,,,,,,,
2024-02-07 17:28:10,,0.333,,,,,,,,,,,,0.0198,,,,,,,,,,,,0,,,,,,,,,,
2024-02-07 17:28:20,,0.417,,,,,,,,,,,,0.0258,,,,,,,,,,,,0,,,,,,,,,,
2024-02-07 17:28:30,,0.300,,,,,,,,,,,,0.0189,,,,,,,,,,,,0,,,,,,,,,,
2024-02-07 17:28:40,,0.287,,,,,,,,,,,,0.0186,,,,,,,,,,,,0,,,,,,,,,,
2024-02-07 17:28:50,,0.386,,,,,,,,,,,,0.0255,,,,,,,,,,,,0,,,,,,,,,,
2024-02-07 17:29:00,,0.386,,,,,,,,,,,,0.0255,,,,,,,,,,,,0,,,,,,,,,,
2024-02-07 17:29:10,,0.386,,,,,,,,,,,,0.0255,,,,,,,,,,,,0,,,,,,,,,,
2024-02-07 17:29:20,,0.386,,,,,,,,,,,,0.0255,,,,,,,,,,,,0,,,,,,,,,,
