sep=,
"Time","camunda-platform-connectors-7d745cc4cd-lk6h4 / camunda8 / PKG","camunda-platform-elasticsearch-master-0 / camunda8 / PKG","camunda-platform-elasticsearch-master-1 / camunda8 / PKG","camunda-platform-operate-745dd6ffbd-hd2s7 / camunda8 / PKG","camunda-platform-tasklist-595f9975f6-62bbr / camunda8 / PKG","camunda-platform-zeebe-0 / camunda8 / PKG","camunda-platform-zeebe-gateway-5b66c5dffb-5swg8 / camunda8 / PKG","coredns-77ccd57875-qkp4q / kube-system / PKG","metrics-server-648b5df564-msqlc / kube-system / PKG","traefik-768bdcdcdd-4f8ms / kube-system / PKG","alertmanager-kube-prometheus-stackr-alertmanager-0 / monitoring / PKG","kube-prometheus-stackr-grafana-6b8fb957c8-62pgz / monitoring / PKG","kube-prometheus-stackr-kube-state-metrics-6d5579569-7w9tb / monitoring / PKG","kube-prometheus-stackr-prometheus-node-exporter-qw4m2 / monitoring / PKG","prometheus-kube-prometheus-stackr-prometheus-0 / monitoring / PKG","system_processes / system / PKG","restworkerjava-7df67bc98-fs92p / worker / PKG","restworkerjava-7df67bc98-kzqpj / worker / PKG","restworkerjava-7df67bc98-m5cpl / worker / PKG","restworkerjava-7df67bc98-qbhqg / worker / PKG","restworkerjava-7df67bc98-vs9xg / worker / PKG","camunda-platform-connectors-7d745cc4cd-lk6h4 / camunda8 / DRAM","camunda-platform-elasticsearch-master-0 / camunda8 / DRAM","camunda-platform-elasticsearch-master-1 / camunda8 / DRAM","camunda-platform-operate-745dd6ffbd-hd2s7 / camunda8 / DRAM","camunda-platform-tasklist-595f9975f6-62bbr / camunda8 / DRAM","camunda-platform-zeebe-0 / camunda8 / DRAM","camunda-platform-zeebe-gateway-5b66c5dffb-5swg8 / camunda8 / DRAM","coredns-77ccd57875-qkp4q / kube-system / DRAM","metrics-server-648b5df564-msqlc / kube-system / DRAM","traefik-768bdcdcdd-4f8ms / kube-system / DRAM","alertmanager-kube-prometheus-stackr-alertmanager-0 / monitoring / DRAM","kube-prometheus-stackr-grafana-6b8fb957c8-62pgz / monitoring / DRAM","kube-prometheus-stackr-kube-state-metrics-6d5579569-7w9tb / monitoring / DRAM","kube-prometheus-stackr-prometheus-node-exporter-qw4m2 / monitoring / DRAM","prometheus-kube-prometheus-stackr-prometheus-0 / monitoring / DRAM","system_processes / system / DRAM","restworkerjava-7df67bc98-fs92p / worker / DRAM","restworkerjava-7df67bc98-kzqpj / worker / DRAM","restworkerjava-7df67bc98-m5cpl / worker / DRAM","restworkerjava-7df67bc98-qbhqg / worker / DRAM","restworkerjava-7df67bc98-vs9xg / worker / DRAM","camunda-platform-connectors-7d745cc4cd-lk6h4 / camunda8 / OTHER","camunda-platform-elasticsearch-master-0 / camunda8 / OTHER","camunda-platform-elasticsearch-master-1 / camunda8 / OTHER","camunda-platform-operate-745dd6ffbd-hd2s7 / camunda8 / OTHER","camunda-platform-tasklist-595f9975f6-62bbr / camunda8 / OTHER","camunda-platform-zeebe-0 / camunda8 / OTHER","camunda-platform-zeebe-gateway-5b66c5dffb-5swg8 / camunda8 / OTHER","coredns-77ccd57875-qkp4q / kube-system / OTHER","metrics-server-648b5df564-msqlc / kube-system / OTHER","traefik-768bdcdcdd-4f8ms / kube-system / OTHER","alertmanager-kube-prometheus-stackr-alertmanager-0 / monitoring / OTHER","kube-prometheus-stackr-grafana-6b8fb957c8-62pgz / monitoring / OTHER","kube-prometheus-stackr-kube-state-metrics-6d5579569-7w9tb / monitoring / OTHER","kube-prometheus-stackr-prometheus-node-exporter-qw4m2 / monitoring / OTHER","prometheus-kube-prometheus-stackr-prometheus-0 / monitoring / OTHER","system_processes / system / OTHER","restworkerjava-7df67bc98-fs92p / worker / OTHER","restworkerjava-7df67bc98-kzqpj / worker / OTHER","restworkerjava-7df67bc98-m5cpl / worker / OTHER","restworkerjava-7df67bc98-qbhqg / worker / OTHER","restworkerjava-7df67bc98-vs9xg / worker / OTHER"
2023-12-12 11:19:00,0.208,0.418,0.416,0.211,0.208,0.372,0.227,0.207,0.207,0.206,0.412,0.619,0.208,0.206,0.619,2.12,,,,,,0.0117,0.0249,0.0225,0.0120,0.0117,0.0528,0.0165,0.0114,0.0114,0.0108,0.0219,0.0333,0.0117,0.0108,0.0327,0.183,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
2023-12-12 11:19:10,0.292,0.677,0.633,0.322,0.306,6.16,0.624,0.340,0.272,0.267,0.538,0.814,0.267,0.267,0.818,5.99,,,,,,0.0171,0.0318,0.0297,0.0168,0.0159,0.177,0.0279,0.0189,0.0150,0.0141,0.0288,0.0432,0.0144,0.0141,0.0438,0.292,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
2023-12-12 11:19:20,0.216,0.433,0.422,0.211,0.209,0.679,0.255,0.211,0.212,0.204,0.408,0.615,0.204,0.204,0.621,2.24,0.210,,,,,0.0135,0.0276,0.0249,0.0123,0.0120,0.0828,0.0207,0.0132,0.0129,0.0108,0.0219,0.0339,0.0108,0.0108,0.0348,0.231,0.0126,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2023-12-12 11:19:30,0.204,0.409,0.403,0.206,0.201,0.455,0.244,0.203,0.203,0.200,0.400,0.603,0.200,0.200,0.605,2.01,0.201,,,,,0.0120,0.0231,0.0228,0.0120,0.0117,0.0546,0.0171,0.0123,0.0120,0.0108,0.0222,0.0342,0.0108,0.0108,0.0336,0.175,0.0111,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2023-12-12 11:19:40,0.268,0.537,0.538,0.270,0.269,0.446,0.302,0.267,0.269,0.266,0.533,0.801,0.266,0.266,0.805,3.52,0.269,,,,,0.0156,0.0303,0.0300,0.0156,0.0156,0.0522,0.0273,0.0150,0.0156,0.0144,0.0291,0.0450,0.0144,0.0144,0.0447,0.364,0.0156,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2023-12-12 11:19:50,0.208,0.423,0.421,0.209,0.213,0.693,0.314,0.227,0.208,0.204,0.408,0.615,0.204,0.204,0.629,3.35,0.206,,,,,0.0120,0.0246,0.0234,0.0120,0.0126,0.0882,0.0267,0.0132,0.0123,0.0108,0.0216,0.0336,0.0108,0.0108,0.0345,0.363,0.0117,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2023-12-12 11:20:00,0.203,0.409,0.419,0.208,0.208,0.334,0.233,0.204,0.207,0.202,0.404,0.607,0.202,0.205,0.619,2.97,0.209,,,,,0.0117,0.0240,0.0258,0.0126,0.0123,0.0675,0.0177,0.0117,0.0120,0.0108,0.0216,0.0336,0.0108,0.0117,0.0348,0.335,0.0123,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2023-12-12 11:20:10,0.270,0.544,0.537,0.271,0.269,0.478,0.285,0.272,0.270,0.266,0.533,0.802,0.266,0.267,0.806,2.75,0.269,,,,,0.0156,0.0315,0.0303,0.0159,0.0156,0.0558,0.0246,0.0162,0.0156,0.0144,0.0288,0.0447,0.0144,0.0150,0.0450,0.224,0.0159,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2023-12-12 11:20:20,0.206,0.410,0.407,0.207,0.203,0.614,0.245,0.209,0.203,0.202,0.404,0.608,0.202,0.202,0.609,2.27,0.205,,,,,0.0120,0.0234,0.0228,0.0120,0.0117,0.0759,0.0195,0.0123,0.0111,0.0108,0.0216,0.0330,0.0108,0.0111,0.0333,0.199,0.0114,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2023-12-12 11:20:30,0.206,0.414,0.416,0.208,0.205,0.415,0.253,0.207,0.207,0.202,0.404,0.608,0.202,0.204,0.616,2.19,0.204,,,,,0.0129,0.0243,0.0252,0.0126,0.0120,0.0675,0.0282,0.0123,0.0120,0.0108,0.0216,0.0336,0.0108,0.0114,0.0342,0.192,0.0120,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2023-12-12 11:20:40,0.271,0.545,0.552,0.270,0.272,0.891,0.326,0.270,0.274,0.266,0.533,0.802,0.266,0.266,0.817,2.50,0.272,,,,,0.0156,0.0306,0.0324,0.0159,0.0150,0.122,0.0249,0.0147,0.0153,0.0141,0.0282,0.0435,0.0141,0.0141,0.0459,0.181,0.0153,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2023-12-12 11:20:50,0.210,0.415,0.428,0.208,0.206,0.717,0.254,0.206,0.208,0.202,0.404,0.607,0.202,0.202,0.620,2.02,0.206,,,,,0.0120,0.0234,0.0237,0.0123,0.0117,0.0789,0.0186,0.0126,0.0120,0.0108,0.0216,0.0327,0.0108,0.0108,0.0345,0.150,0.0120,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2023-12-12 11:21:00,0.205,0.410,0.417,0.210,0.203,0.419,0.245,0.204,0.204,0.202,0.404,0.607,0.202,0.203,0.609,1.92,0.204,,,,,0.0120,0.0240,0.0246,0.0132,0.0114,0.0723,0.0222,0.0117,0.0126,0.0108,0.0216,0.0333,0.0111,0.0111,0.0339,0.149,0.0117,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2023-12-12 11:21:10,0.269,0.541,0.541,0.274,0.269,0.461,0.287,0.269,0.268,0.266,0.533,0.801,0.267,0.266,0.804,2.59,0.269,,,,,0.0153,0.0315,0.0312,0.0168,0.0156,0.0618,0.0201,0.0156,0.0153,0.0144,0.0288,0.0447,0.0150,0.0144,0.0453,0.197,0.0156,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2023-12-12 11:21:20,0.205,0.421,0.427,0.221,0.207,0.598,0.243,0.208,0.213,0.204,0.408,0.615,0.205,0.204,0.612,2.12,0.208,,,,,0.0117,0.0240,0.0267,0.0144,0.0123,0.103,0.0225,0.0132,0.0123,0.0108,0.0216,0.0339,0.0114,0.0108,0.0324,0.179,0.0123,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2023-12-12 11:21:30,0.205,0.425,0.409,0.220,0.216,0.591,0.254,0.206,0.206,0.202,0.404,0.609,0.202,0.203,0.610,2.14,0.209,,,,,0.0123,0.0246,0.0225,0.0144,0.0132,0.0789,0.0177,0.0114,0.0114,0.0108,0.0216,0.0339,0.0108,0.0111,0.0336,0.176,0.0123,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2023-12-12 11:21:40,0.269,0.544,0.536,0.271,0.269,0.554,0.282,0.267,0.270,0.266,0.533,0.800,0.267,0.266,0.807,2.38,0.270,,,,,0.0153,0.0315,0.0300,0.0162,0.0156,0.0729,0.0174,0.0153,0.0159,0.0144,0.0288,0.0447,0.0147,0.0144,0.0450,0.151,0.0156,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2023-12-12 11:21:50,0.200,0.402,0.403,0.205,0.201,0.390,0.222,0.201,0.205,0.200,0.400,0.602,0.200,0.200,0.601,2.70,0.201,,,,,0.0114,0.0225,0.0225,0.0123,0.0117,0.0528,0.0150,0.0117,0.0120,0.0108,0.0216,0.0339,0.0111,0.0108,0.0330,0.271,0.0114,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2023-12-12 11:22:00,0.203,0.416,0.419,0.205,0.204,0.351,0.273,0.203,0.210,0.202,0.404,0.608,0.204,0.205,0.614,2.70,0.203,,,,,0.0114,0.0243,0.0261,0.0120,0.0117,0.0534,0.0381,0.0111,0.0129,0.0108,0.0216,0.0333,0.0117,0.0111,0.0342,0.282,0.0117,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2023-12-12 11:22:10,0.282,0.559,0.560,0.290,0.272,1.07,0.364,0.273,0.272,0.269,0.538,0.816,0.278,0.269,0.807,2.80,0.203,,,,,0.0159,0.0309,0.0336,0.0174,0.0153,0.110,0.0222,0.0150,0.0147,0.0141,0.0282,0.0438,0.0153,0.0141,0.0423,0.199,0.0117,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2023-12-12 11:22:20,0.214,0.434,0.438,0.218,0.212,0.567,0.262,0.224,0.212,0.211,0.422,0.638,0.212,0.211,0.636,2.16,0.203,,,,,0.0117,0.0246,0.0246,0.0129,0.0114,0.0918,0.0234,0.0126,0.0114,0.0108,0.0216,0.0339,0.0111,0.0108,0.0333,0.178,0.0117,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2023-12-12 11:22:30,0.214,0.429,0.423,0.218,0.214,0.465,0.281,0.213,0.211,0.209,0.417,0.629,0.209,0.214,0.633,1.89,0.203,,,,,0.0117,0.0255,0.0237,0.0135,0.0126,0.0786,0.0261,0.0120,0.0114,0.0108,0.0216,0.0342,0.0111,0.0114,0.0342,0.138,0.0117,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2023-12-12 11:22:40,0.276,0.559,0.556,0.278,0.277,0.469,0.339,0.276,0.276,0.275,0.550,0.827,0.275,0.275,0.827,2.61,0.203,,,,,0.0150,0.0315,0.0306,0.0162,0.0156,0.0606,0.0282,0.0153,0.0153,0.0144,0.0288,0.0447,0.0144,0.0144,0.0447,0.197,0.0117,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2023-12-12 11:22:50,0.210,0.428,0.422,0.213,0.210,0.415,0.230,0.215,0.212,0.208,0.417,0.626,0.209,0.208,0.627,2.41,,,,,,0.0117,0.0243,0.0231,0.0126,0.0120,0.0789,0.0177,0.0135,0.0117,0.0108,0.0216,0.0327,0.0111,0.0108,0.0336,0.227,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
2023-12-12 11:23:00,0.210,0.436,0.420,0.211,0.209,0.423,0.215,0.212,0.209,0.209,0.417,0.626,0.209,0.213,0.632,2.41,,,,,,0.0117,0.0249,0.0231,0.0123,0.0120,0.0870,0.0162,0.0117,0.0117,0.0108,0.0219,0.0330,0.0111,0.0111,0.0336,0.223,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
2023-12-12 11:23:10,0.281,0.562,0.571,0.284,0.280,0.504,0.308,0.279,0.282,0.277,0.555,0.833,0.278,0.277,0.835,2.39,,,,,,0.0159,0.0318,0.0333,0.0168,0.0156,0.0891,0.0258,0.0153,0.0171,0.0144,0.0294,0.0447,0.0150,0.0144,0.0450,0.208,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
2023-12-12 11:23:20,0.217,0.446,0.445,0.233,0.217,0.682,0.405,0.211,0.224,0.211,0.422,0.635,0.212,0.211,0.638,1.97,,,,,,0.0114,0.0255,0.0264,0.0141,0.0117,0.0957,0.0387,0.0108,0.0132,0.0108,0.0219,0.0339,0.0117,0.0108,0.0333,0.178,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
2023-12-12 11:23:30,0.212,0.436,0.423,0.215,0.212,0.582,0.295,0.215,0.225,0.209,0.417,0.628,0.209,0.211,0.638,1.96,,,,,,0.0114,0.0249,0.0234,0.0117,0.0117,0.0789,0.0261,0.0120,0.0138,0.0108,0.0216,0.0333,0.0111,0.0111,0.0351,0.172,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
2023-12-12 11:23:40,0.283,0.576,0.577,0.292,0.284,0.722,0.357,0.283,0.294,0.277,0.555,0.841,0.277,0.277,0.839,2.73,,,,,,0.0162,0.0336,0.0321,0.0171,0.0159,0.0873,0.0294,0.0153,0.0177,0.0144,0.0294,0.0465,0.0144,0.0144,0.0453,0.210,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
2023-12-12 11:23:50,0.222,0.448,0.437,0.221,0.218,0.746,0.254,0.222,0.222,0.211,0.422,0.636,0.211,0.211,0.638,2.03,,,,,,0.0126,0.0255,0.0237,0.0138,0.0123,0.106,0.0177,0.0123,0.0126,0.0108,0.0216,0.0339,0.0108,0.0108,0.0342,0.157,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
2023-12-12 11:24:00,0.209,0.423,0.415,0.212,0.213,0.431,0.257,0.211,0.208,0.206,0.412,0.620,0.206,0.209,0.623,1.90,,,,,,0.0120,0.0231,0.0228,0.0123,0.0123,0.0498,0.0195,0.0117,0.0114,0.0108,0.0216,0.0336,0.0108,0.0111,0.0336,0.119,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
2023-12-12 11:24:10,0.283,0.689,0.620,0.332,0.290,1.92,0.855,0.299,0.286,0.263,0.526,0.808,0.287,0.263,0.809,4.48,,,,,,0.0165,0.0357,0.0315,0.0174,0.0153,0.0963,0.0375,0.0153,0.0156,0.0141,0.0282,0.0435,0.0147,0.0138,0.0423,0.211,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
2023-12-12 11:24:20,0.216,0.423,0.427,0.210,0.209,0.754,0.236,0.208,0.206,0.204,0.408,0.614,0.205,0.204,0.612,2.04,,,,,0.210,0.0135,0.0276,0.0267,0.0129,0.0126,0.0984,0.0195,0.0120,0.0114,0.0108,0.0216,0.0333,0.0117,0.0108,0.0327,0.149,,,,,0.0123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0
2023-12-12 11:24:30,0.204,0.418,0.411,0.204,0.207,0.460,0.227,0.202,0.207,0.202,0.404,0.607,0.203,0.206,0.606,1.94,,,,,0.206,0.0117,0.0252,0.0237,0.0126,0.0120,0.0750,0.0177,0.0108,0.0126,0.0108,0.0216,0.0327,0.0114,0.0114,0.0327,0.131,,,,,0.0120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0
2023-12-12 11:24:40,0.269,0.541,0.536,0.270,0.272,0.470,0.308,0.270,0.270,0.266,0.533,0.800,0.268,0.267,0.801,2.30,,,,,0.271,0.0153,0.0312,0.0303,0.0159,0.0159,0.0609,0.0216,0.0165,0.0162,0.0144,0.0297,0.0438,0.0153,0.0150,0.0441,0.162,,,,,0.0156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0
2023-12-12 11:24:50,0.211,0.433,0.419,0.213,0.212,0.636,0.233,0.209,0.215,0.204,0.408,0.613,0.205,0.204,0.623,1.99,,,,,0.209,0.0126,0.0249,0.0237,0.0129,0.0123,0.0975,0.0171,0.0123,0.0132,0.0108,0.0216,0.0330,0.0114,0.0108,0.0351,0.163,,,,,0.0123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0
2023-12-12 11:25:00,0.202,0.415,0.404,0.207,0.202,0.338,0.238,0.203,0.205,0.200,0.400,0.600,0.200,0.204,0.604,2.15,,,,,0.202,0.0117,0.0258,0.0228,0.0126,0.0117,0.0372,0.0267,0.0120,0.0123,0.0108,0.0216,0.0333,0.0108,0.0114,0.0336,0.186,,,,,0.0117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0
2023-12-12 11:25:10,0.277,0.546,0.537,0.275,0.272,0.538,0.342,0.275,0.270,0.266,0.534,0.801,0.268,0.267,0.803,3.80,,,,,0.272,0.0162,0.0324,0.0300,0.0159,0.0159,0.0612,0.0258,0.0165,0.0153,0.0144,0.0294,0.0438,0.0150,0.0147,0.0438,0.361,,,,,0.0156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0
2023-12-12 11:25:20,0.215,0.419,0.423,0.215,0.206,0.612,0.270,0.213,0.205,0.204,0.408,0.614,0.205,0.204,0.623,3.49,,,,,0.206,0.0126,0.0243,0.0252,0.0126,0.0120,0.0888,0.0255,0.0126,0.0114,0.0108,0.0219,0.0330,0.0114,0.0111,0.0342,0.364,,,,,0.0117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0
2023-12-12 11:25:30,0.201,0.402,0.405,0.206,0.204,0.507,0.254,0.204,0.200,0.200,0.401,0.600,0.200,0.205,0.602,2.55,,,,,0.204,0.0114,0.0228,0.0228,0.0123,0.0117,0.0537,0.0198,0.0114,0.0108,0.0108,0.0219,0.0330,0.0114,0.0117,0.0333,0.211,,,,,0.0117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0
2023-12-12 11:25:40,0.272,0.541,0.548,0.284,0.270,0.627,0.390,0.272,0.274,0.267,0.534,0.800,0.267,0.266,0.801,2.77,,,,,0.270,0.0153,0.0297,0.0306,0.0174,0.0153,0.0777,0.0342,0.0156,0.0162,0.0144,0.0294,0.0429,0.0147,0.0144,0.0429,0.218,,,,,0.0150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0
