sep=,
"Time","Job completion camunda8"
2023-12-13 17:24:00,0
2023-12-13 17:24:30,0
2023-12-13 17:25:00,0
2023-12-13 17:25:30,8.17
2023-12-13 17:26:00,19.3
2023-12-13 17:26:30,30.4
2023-12-13 17:27:00,40.8
2023-12-13 17:27:30,40.8
2023-12-13 17:28:00,40.8
2023-12-13 17:28:30,40.5
2023-12-13 17:29:00,40.5
2023-12-13 17:29:30,45.4
2023-12-13 17:30:00,57.5
2023-12-13 17:30:30,67.6
2023-12-13 17:31:00,78.6
2023-12-13 17:31:30,81.5
2023-12-13 17:32:00,81.5
2023-12-13 17:32:30,80.8
2023-12-13 17:33:00,80.8
2023-12-13 17:33:30,85.0
2023-12-13 17:34:00,96.9
2023-12-13 17:34:30,108
2023-12-13 17:35:00,119
2023-12-13 17:35:30,122
2023-12-13 17:36:00,122
2023-12-13 17:36:30,122
2023-12-13 17:37:00,121
2023-12-13 17:37:30,125
2023-12-13 17:38:00,136
2023-12-13 17:38:30,147
2023-12-13 17:39:00,158
2023-12-13 17:39:30,162
2023-12-13 17:40:00,162
2023-12-13 17:40:30,158
2023-12-13 17:41:00,159
2023-12-13 17:41:30,162
2023-12-13 17:42:00,172
2023-12-13 17:42:30,186
2023-12-13 17:43:00,197
2023-12-13 17:43:30,197
2023-12-13 17:44:00,193
2023-12-13 17:44:30,193
2023-12-13 17:45:00,193
2023-12-13 17:45:30,203
2023-12-13 17:46:00,204
2023-12-13 17:46:30,200
2023-12-13 17:47:00,200
2023-12-13 17:47:30,197
2023-12-13 17:48:00,197
2023-12-13 17:48:30,200
2023-12-13 17:49:00,200
2023-12-13 17:49:30,193
2023-12-13 17:50:00,202
2023-12-13 17:50:30,204
2023-12-13 17:51:00,202
2023-12-13 17:51:30,206
2023-12-13 17:52:00,200
2023-12-13 17:52:30,196
2023-12-13 17:53:00,196
2023-12-13 17:53:30,198
2023-12-13 17:54:00,211
2023-12-13 17:54:30,211
2023-12-13 17:55:00,206
2023-12-13 17:55:30,203
2023-12-13 17:56:00,196
2023-12-13 17:56:30,196
2023-12-13 17:57:00,202
2023-12-13 17:57:30,201
2023-12-13 17:58:00,202
2023-12-13 17:58:30,207
2023-12-13 17:59:00,208
2023-12-13 17:59:30,205
2023-12-13 18:00:00,202
2023-12-13 18:00:30,199
2023-12-13 18:01:00,194
2023-12-13 18:01:30,197
2023-12-13 18:02:00,205
2023-12-13 18:02:30,213
2023-12-13 18:03:00,226
2023-12-13 18:03:30,220
2023-12-13 18:04:00,223
2023-12-13 18:04:30,226
2023-12-13 18:05:00,221
2023-12-13 18:05:30,223
2023-12-13 18:06:00,215
2023-12-13 18:06:30,213
2023-12-13 18:07:00,212
2023-12-13 18:07:30,213
2023-12-13 18:08:00,207
2023-12-13 18:08:30,196
2023-12-13 18:09:00,196
2023-12-13 18:09:30,196
2023-12-13 18:10:00,211
2023-12-13 18:10:30,219
2023-12-13 18:11:00,194
2023-12-13 18:11:30,144
2023-12-13 18:12:00,104
2023-12-13 18:12:30,55.1
2023-12-13 18:13:00,55.0
2023-12-13 18:13:30,68.8
2023-12-13 18:14:00,99.0
2023-12-13 18:14:30,149
2023-12-13 18:15:00,195
2023-12-13 18:15:30,228
2023-12-13 18:16:00,223
2023-12-13 18:16:30,188
2023-12-13 18:17:00,150
2023-12-13 18:17:30,101
2023-12-13 18:18:00,77.9
2023-12-13 18:18:30,55.6
2023-12-13 18:19:00,45.3
2023-12-13 18:19:30,48.7
2023-12-13 18:20:00,55.9
2023-12-13 18:20:30,69.3
2023-12-13 18:21:00,89.5
2023-12-13 18:21:30,122
2023-12-13 18:22:00,151
2023-12-13 18:22:30,143
2023-12-13 18:23:00,115
2023-12-13 18:23:30,72.0
2023-12-13 18:24:00,61.4
2023-12-13 18:24:30,59.8
2023-12-13 18:25:00,73.9
2023-12-13 18:25:30,82.4
2023-12-13 18:26:00,115
2023-12-13 18:26:30,144
2023-12-13 18:27:00,158
2023-12-13 18:27:30,154
2023-12-13 18:28:00,121
2023-12-13 18:28:30,87.1
2023-12-13 18:29:00,53.0
2023-12-13 18:29:30,34.3
2023-12-13 18:30:00,23.8
2023-12-13 18:30:30,13.4
2023-12-13 18:31:00,0
2023-12-13 18:31:30,0
2023-12-13 18:32:00,0
2023-12-13 18:32:30,0
2023-12-13 18:33:00,0
2023-12-13 18:33:30,0
2023-12-13 18:34:00,0
2023-12-13 18:34:30,0
2023-12-13 18:35:00,0
2023-12-13 18:35:30,0
2023-12-13 18:36:00,0
2023-12-13 18:36:30,0
2023-12-13 18:37:00,0
2023-12-13 18:37:30,0
2023-12-13 18:38:00,0
2023-12-13 18:38:30,0
2023-12-13 18:39:00,0
2023-12-13 18:39:30,0
2023-12-13 18:40:00,0
2023-12-13 18:40:30,0
2023-12-13 18:41:00,0
2023-12-13 18:41:30,0
2023-12-13 18:42:00,0
2023-12-13 18:42:30,0
2023-12-13 18:43:00,0
2023-12-13 18:43:30,0
2023-12-13 18:44:00,0
2023-12-13 18:44:30,0
2023-12-13 18:45:00,0
2023-12-13 18:45:30,0
2023-12-13 18:46:00,0
2023-12-13 18:46:30,0
2023-12-13 18:47:00,0
2023-12-13 18:47:30,0
2023-12-13 18:48:00,0
2023-12-13 18:48:30,0
2023-12-13 18:49:00,0
2023-12-13 18:49:30,0
2023-12-13 18:50:00,0
2023-12-13 18:50:30,0
2023-12-13 18:51:00,0
2023-12-13 18:51:30,0
2023-12-13 18:52:00,0
2023-12-13 18:52:30,0
2023-12-13 18:53:00,0
2023-12-13 18:53:30,0
2023-12-13 18:54:00,0
2023-12-13 18:54:30,0
2023-12-13 18:55:00,0
2023-12-13 18:55:30,0
2023-12-13 18:56:00,0
2023-12-13 18:56:30,0
2023-12-13 18:57:00,0
2023-12-13 18:57:30,0
2023-12-13 18:58:00,0
2023-12-13 18:58:30,0
2023-12-13 18:59:00,0
2023-12-13 18:59:30,0
2023-12-13 19:00:00,0
2023-12-13 19:00:30,0
2023-12-13 19:01:00,0
2023-12-13 19:01:30,0
2023-12-13 19:02:00,0
2023-12-13 19:02:30,0
2023-12-13 19:03:00,0
2023-12-13 19:03:30,0
2023-12-13 19:04:00,0
2023-12-13 19:04:30,0
2023-12-13 19:05:00,0
2023-12-13 19:05:30,0
2023-12-13 19:06:00,0
2023-12-13 19:06:30,0
2023-12-13 19:07:00,0
2023-12-13 19:07:30,0
2023-12-13 19:08:00,0
2023-12-13 19:08:30,0
2023-12-13 19:09:00,0
2023-12-13 19:09:30,0
2023-12-13 19:10:00,0
2023-12-13 19:10:30,0
2023-12-13 19:11:00,0
2023-12-13 19:11:30,0
2023-12-13 19:12:00,0
2023-12-13 19:12:30,0
2023-12-13 19:13:00,0
2023-12-13 19:13:30,0
2023-12-13 19:14:00,0
2023-12-13 19:14:30,0
2023-12-13 19:15:00,0
2023-12-13 19:15:30,0
2023-12-13 19:16:00,0
2023-12-13 19:16:30,0
2023-12-13 19:17:00,0
2023-12-13 19:17:30,0
2023-12-13 19:18:00,0
2023-12-13 19:18:30,0
2023-12-13 19:19:00,0
2023-12-13 19:19:30,0
2023-12-13 19:20:00,0
2023-12-13 19:20:30,0
2023-12-13 19:21:00,0
2023-12-13 19:21:30,0
2023-12-13 19:22:00,0
2023-12-13 19:22:30,0
2023-12-13 19:23:00,0
2023-12-13 19:23:30,0
2023-12-13 19:24:00,0
2023-12-13 19:24:30,0
2023-12-13 19:25:00,0
2023-12-13 19:25:30,0
2023-12-13 19:26:00,0
2023-12-13 19:26:30,0
2023-12-13 19:27:00,0
2023-12-13 19:27:30,0
2023-12-13 19:28:00,0
2023-12-13 19:28:30,0
2023-12-13 19:29:00,0
2023-12-13 19:29:30,0
2023-12-13 19:30:00,0
2023-12-13 19:30:30,0
2023-12-13 19:31:00,0
2023-12-13 19:31:30,0
2023-12-13 19:32:00,0
2023-12-13 19:32:30,0
2023-12-13 19:33:00,0
2023-12-13 19:33:30,0
2023-12-13 19:34:00,0
2023-12-13 19:34:30,0
2023-12-13 19:35:00,0
2023-12-13 19:35:30,0
2023-12-13 19:36:00,0
2023-12-13 19:36:30,0
2023-12-13 19:37:00,0
2023-12-13 19:37:30,0
2023-12-13 19:38:00,0
2023-12-13 19:38:30,0
2023-12-13 19:39:00,0
2023-12-13 19:39:30,0
2023-12-13 19:40:00,0
2023-12-13 19:40:30,0
2023-12-13 19:41:00,0
2023-12-13 19:41:30,0
2023-12-13 19:42:00,0
2023-12-13 19:42:30,0
2023-12-13 19:43:00,0
2023-12-13 19:43:30,0
2023-12-13 19:44:00,0
2023-12-13 19:44:30,0
2023-12-13 19:45:00,0
2023-12-13 19:45:30,0
2023-12-13 19:46:00,0
2023-12-13 19:46:30,0
2023-12-13 19:47:00,0
2023-12-13 19:47:30,0
2023-12-13 19:48:00,0
2023-12-13 19:48:30,0
2023-12-13 19:49:00,0
2023-12-13 19:49:30,0
2023-12-13 19:50:00,0
2023-12-13 19:50:30,0
2023-12-13 19:51:00,0
2023-12-13 19:51:30,0
2023-12-13 19:52:00,0
2023-12-13 19:52:30,0
2023-12-13 19:53:00,0
2023-12-13 19:53:30,0
2023-12-13 19:54:00,0
2023-12-13 19:54:30,0
2023-12-13 19:55:00,0
2023-12-13 19:55:30,0
2023-12-13 19:56:00,0
2023-12-13 19:56:30,0
2023-12-13 19:57:00,0
2023-12-13 19:57:30,0
2023-12-13 19:58:00,0
2023-12-13 19:58:30,0
2023-12-13 19:59:00,0
2023-12-13 19:59:30,0
2023-12-13 20:00:00,0

