sep=,
"Time","load-controller-5445f6d748-hgqvd / worker / PKG","restworkerjava-86b6d57d68-z6cv2 / worker / PKG","restworkerjava-cb56d4547-dndnt / worker / PKG","load-controller-5445f6d748-hgqvd / worker / DRAM","restworkerjava-86b6d57d68-z6cv2 / worker / DRAM","restworkerjava-cb56d4547-dndnt / worker / DRAM","load-controller-5445f6d748-hgqvd / worker / OTHER","restworkerjava-86b6d57d68-z6cv2 / worker / OTHER","restworkerjava-cb56d4547-dndnt / worker / OTHER"
2023-11-30 10:39:30,0.189,0.189,,0.0190,0.0190,,0,0,
2023-11-30 10:40:00,0.188,0.188,,0.0190,0.0190,,0,0,
2023-11-30 10:40:30,0.188,0.189,,0.0189,0.0189,,0,0,
2023-11-30 10:41:00,0.188,0.188,,0.0189,0.0189,,0,0,
2023-11-30 10:41:30,0.188,0.188,,0.0190,0.0190,,0,0,
2023-11-30 10:42:00,0.187,0.187,,0.0190,0.0190,,0,0,
2023-11-30 10:42:30,0.188,0.188,,0.0190,0.0190,,0,0,
2023-11-30 10:43:00,0.188,0.189,,0.0190,0.0190,,0,0,
2023-11-30 10:43:30,0.188,0.188,,0.0190,0.0190,,0,0,
2023-11-30 10:44:00,0.188,0.189,,0.0190,0.0190,,0,0,
2023-11-30 10:44:30,0.188,0.189,,0.0190,0.0190,,0,0,
2023-11-30 10:45:00,0.187,0.187,,0.0190,0.0190,,0,0,
2023-11-30 10:45:30,0.188,0.188,,0.0190,0.0190,,0,0,
2023-11-30 10:46:00,0.188,0.189,,0.0190,0.0190,,0,0,
2023-11-30 10:46:30,0.188,0.188,,0.0190,0.0190,,0,0,
2023-11-30 10:47:00,0.188,0.188,,0.0190,0.0190,,0,0,
2023-11-30 10:47:30,0.188,0.188,,0.0190,0.0190,,0,0,
2023-11-30 10:48:00,0.188,0.188,,0.0190,0.0190,,0,0,
2023-11-30 10:48:30,0.188,0.189,,0.0190,0.0190,,0,0,
2023-11-30 10:49:00,0.189,0.190,,0.0190,0.0190,,0,0,
2023-11-30 10:49:30,0.190,0.190,,0.0189,0.0189,,0,0,
2023-11-30 10:50:00,0.188,0.188,,0.0190,0.0190,,0,0,
2023-11-30 10:50:30,0.188,0.188,,0.0189,0.0189,,0.000100,0.000100,
2023-11-30 10:51:00,0.187,0.187,,0.0190,0.0190,,0,0,
2023-11-30 10:51:30,0.185,0.185,,0.0189,0.0189,,0.000100,0.0001000,
2023-11-30 10:52:00,0.183,0.183,,0.0190,0.0190,,0,0,
