sep=,
"Time","bpmndeployment-8l9w6 / camunda8 / PKG","camunda-platform-connectors-7d745cc4cd-lk6h4 / camunda8 / PKG","camunda-platform-elasticsearch-master-0 / camunda8 / PKG","camunda-platform-elasticsearch-master-1 / camunda8 / PKG","camunda-platform-operate-745dd6ffbd-hd2s7 / camunda8 / PKG","camunda-platform-tasklist-595f9975f6-62bbr / camunda8 / PKG","camunda-platform-zeebe-0 / camunda8 / PKG","camunda-platform-zeebe-gateway-5b66c5dffb-5swg8 / camunda8 / PKG","console-worker-console-worker-chart-camunda-8-go-console-wfzxss / camunda8 / PKG","processstart-xb5jm / camunda8 / PKG","coredns-77ccd57875-qkp4q / kube-system / PKG","helm-install-traefik-crd-hzktt / kube-system / PKG","helm-install-traefik-ncp5n / kube-system / PKG","local-path-provisioner-957fdf8bc-jnlfw / kube-system / PKG","metrics-server-648b5df564-msqlc / kube-system / PKG","svclb-traefik-5671c552-795qx / kube-system / PKG","traefik-768bdcdcdd-4f8ms / kube-system / PKG","test-responder-5768c7fbf7-9ppfr / measuring-endpoints / PKG","alertmanager-kube-prometheus-stackr-alertmanager-0 / monitoring / PKG","kepler-8czsm / monitoring / PKG","kube-prometheus-stackr-grafana-6b8fb957c8-62pgz / monitoring / PKG","kube-prometheus-stackr-kube-state-metrics-6d5579569-7w9tb / monitoring / PKG","kube-prometheus-stackr-operator-8f879775f-f2q87 / monitoring / PKG","kube-prometheus-stackr-prometheus-node-exporter-qw4m2 / monitoring / PKG","prometheus-kube-prometheus-stackr-prometheus-0 / monitoring / PKG","system_processes / system / PKG","load-controller-5445f6d748-hgqvd / worker / PKG","restworkerjava-86b6d57d68-z6cv2 / worker / PKG","restworkerjava-cb56d4547-dndnt / worker / PKG","bpmndeployment-8l9w6 / camunda8 / DRAM","camunda-platform-connectors-7d745cc4cd-lk6h4 / camunda8 / DRAM","camunda-platform-elasticsearch-master-0 / camunda8 / DRAM","camunda-platform-elasticsearch-master-1 / camunda8 / DRAM","camunda-platform-operate-745dd6ffbd-hd2s7 / camunda8 / DRAM","camunda-platform-tasklist-595f9975f6-62bbr / camunda8 / DRAM","camunda-platform-zeebe-0 / camunda8 / DRAM","camunda-platform-zeebe-gateway-5b66c5dffb-5swg8 / camunda8 / DRAM","console-worker-console-worker-chart-camunda-8-go-console-wfzxss / camunda8 / DRAM","processstart-xb5jm / camunda8 / DRAM","coredns-77ccd57875-qkp4q / kube-system / DRAM","helm-install-traefik-crd-hzktt / kube-system / DRAM","helm-install-traefik-ncp5n / kube-system / DRAM","local-path-provisioner-957fdf8bc-jnlfw / kube-system / DRAM","metrics-server-648b5df564-msqlc / kube-system / DRAM","svclb-traefik-5671c552-795qx / kube-system / DRAM","traefik-768bdcdcdd-4f8ms / kube-system / DRAM","test-responder-5768c7fbf7-9ppfr / measuring-endpoints / DRAM","alertmanager-kube-prometheus-stackr-alertmanager-0 / monitoring / DRAM","kepler-8czsm / monitoring / DRAM","kube-prometheus-stackr-grafana-6b8fb957c8-62pgz / monitoring / DRAM","kube-prometheus-stackr-kube-state-metrics-6d5579569-7w9tb / monitoring / DRAM","kube-prometheus-stackr-operator-8f879775f-f2q87 / monitoring / DRAM","kube-prometheus-stackr-prometheus-node-exporter-qw4m2 / monitoring / DRAM","prometheus-kube-prometheus-stackr-prometheus-0 / monitoring / DRAM","system_processes / system / DRAM","load-controller-5445f6d748-hgqvd / worker / DRAM","restworkerjava-86b6d57d68-z6cv2 / worker / DRAM","restworkerjava-cb56d4547-dndnt / worker / DRAM","bpmndeployment-8l9w6 / camunda8 / OTHER","camunda-platform-connectors-7d745cc4cd-lk6h4 / camunda8 / OTHER","camunda-platform-elasticsearch-master-0 / camunda8 / OTHER","camunda-platform-elasticsearch-master-1 / camunda8 / OTHER","camunda-platform-operate-745dd6ffbd-hd2s7 / camunda8 / OTHER","camunda-platform-tasklist-595f9975f6-62bbr / camunda8 / OTHER","camunda-platform-zeebe-0 / camunda8 / OTHER","camunda-platform-zeebe-gateway-5b66c5dffb-5swg8 / camunda8 / OTHER","console-worker-console-worker-chart-camunda-8-go-console-wfzxss / camunda8 / OTHER","processstart-xb5jm / camunda8 / OTHER","coredns-77ccd57875-qkp4q / kube-system / OTHER","helm-install-traefik-crd-hzktt / kube-system / OTHER","helm-install-traefik-ncp5n / kube-system / OTHER","local-path-provisioner-957fdf8bc-jnlfw / kube-system / OTHER","metrics-server-648b5df564-msqlc / kube-system / OTHER","svclb-traefik-5671c552-795qx / kube-system / OTHER","traefik-768bdcdcdd-4f8ms / kube-system / OTHER","test-responder-5768c7fbf7-9ppfr / measuring-endpoints / OTHER","alertmanager-kube-prometheus-stackr-alertmanager-0 / monitoring / OTHER","kepler-8czsm / monitoring / OTHER","kube-prometheus-stackr-grafana-6b8fb957c8-62pgz / monitoring / OTHER","kube-prometheus-stackr-kube-state-metrics-6d5579569-7w9tb / monitoring / OTHER","kube-prometheus-stackr-operator-8f879775f-f2q87 / monitoring / OTHER","kube-prometheus-stackr-prometheus-node-exporter-qw4m2 / monitoring / OTHER","prometheus-kube-prometheus-stackr-prometheus-0 / monitoring / OTHER","system_processes / system / OTHER","load-controller-5445f6d748-hgqvd / worker / OTHER","restworkerjava-86b6d57d68-z6cv2 / worker / OTHER","restworkerjava-cb56d4547-dndnt / worker / OTHER"
2023-11-30 10:39:30,0.185,0.193,0.414,0.408,0.203,0.195,0.622,0.275,0.187,0.185,0.197,0.185,0.185,0.189,0.206,0.370,0.187,0.188,0.372,0.252,0.561,0.186,0.186,0.195,0.591,1.02,0.189,0.189,,0.0180,0.0191,0.0391,0.0386,0.0196,0.0193,0.0207,0.0198,0.0190,0.0180,0.0190,0.0180,0.0180,0.0190,0.0191,0.0360,0.0188,0.0190,0.0367,0.0191,0.0562,0.0189,0.0185,0.0184,0.0556,0.0305,0.0190,0.0190,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-11-30 10:40:00,0.185,0.193,0.409,0.411,0.200,0.195,0.596,0.271,0.186,0.185,0.201,0.185,0.185,0.187,0.202,0.370,0.186,0.188,0.373,0.242,0.567,0.191,0.188,0.192,0.603,1.04,0.188,0.188,,0.0180,0.0192,0.0388,0.0388,0.0196,0.0192,0.0206,0.0199,0.0190,0.0180,0.0190,0.0180,0.0180,0.0190,0.0190,0.0360,0.0187,0.0190,0.0369,0.0191,0.0565,0.0190,0.0186,0.0185,0.0589,0.0302,0.0190,0.0190,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-11-30 10:40:30,0.185,0.194,0.411,0.408,0.202,0.197,0.602,0.271,0.187,0.185,0.197,0.185,0.185,0.187,0.214,0.370,0.186,0.188,0.371,0.243,0.560,0.188,0.188,0.192,0.591,1.01,0.188,0.189,,0.0180,0.0191,0.0386,0.0383,0.0195,0.0191,0.0203,0.0195,0.0189,0.0180,0.0189,0.0180,0.0180,0.0189,0.0190,0.0360,0.0186,0.0189,0.0367,0.0189,0.0559,0.0189,0.0184,0.0184,0.0559,0.0314,0.0189,0.0189,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-11-30 10:41:00,0.184,0.195,0.411,0.406,0.200,0.198,0.597,0.273,0.186,0.184,0.197,0.184,0.184,0.187,0.200,0.369,0.186,0.187,0.370,0.252,0.577,0.186,0.186,0.195,0.587,1.03,0.188,0.188,,0.0180,0.0192,0.0389,0.0385,0.0195,0.0192,0.0204,0.0199,0.0189,0.0180,0.0190,0.0180,0.0180,0.0189,0.0189,0.0360,0.0186,0.0189,0.0368,0.0192,0.0566,0.0189,0.0184,0.0184,0.0560,0.0322,0.0189,0.0189,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-11-30 10:41:30,0.185,0.192,0.403,0.408,0.200,0.196,0.551,0.261,0.187,0.185,0.197,0.185,0.185,0.189,0.206,0.370,0.188,0.188,0.372,0.241,0.561,0.186,0.188,0.193,0.590,0.904,0.188,0.188,,0.0180,0.0192,0.0383,0.0389,0.0194,0.0192,0.0203,0.0198,0.0190,0.0180,0.0190,0.0180,0.0180,0.0190,0.0190,0.0360,0.0187,0.0190,0.0368,0.0190,0.0562,0.0190,0.0185,0.0185,0.0560,0.0295,0.0190,0.0190,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-11-30 10:42:00,0.184,0.191,0.401,0.403,0.198,0.191,0.527,0.257,0.186,0.184,0.195,0.184,0.184,0.186,0.203,0.369,0.186,0.187,0.370,0.235,0.561,0.187,0.186,0.189,0.578,0.881,0.187,0.187,,0.0180,0.0192,0.0383,0.0387,0.0195,0.0193,0.0206,0.0197,0.0190,0.0180,0.0190,0.0180,0.0180,0.0190,0.0190,0.0360,0.0188,0.0190,0.0369,0.0191,0.0562,0.0190,0.0185,0.0184,0.0585,0.0294,0.0190,0.0190,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-11-30 10:42:30,0.185,0.192,0.397,0.402,0.199,0.193,0.534,0.258,0.186,0.185,0.196,0.185,0.185,0.186,0.201,0.370,0.186,0.188,0.371,0.232,0.560,0.187,0.187,0.191,0.584,0.889,0.188,0.188,,0.0180,0.0193,0.0382,0.0387,0.0195,0.0191,0.0205,0.0199,0.0190,0.0180,0.0190,0.0180,0.0180,0.0190,0.0190,0.0360,0.0188,0.0190,0.0367,0.0190,0.0562,0.0190,0.0185,0.0184,0.0568,0.0305,0.0190,0.0190,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-11-30 10:43:00,0.185,0.193,0.407,0.404,0.202,0.195,0.552,0.263,0.186,0.185,0.196,0.185,0.185,0.186,0.210,0.370,0.186,0.188,0.371,0.239,0.566,0.186,0.186,0.194,0.587,0.890,0.188,0.189,,0.0180,0.0192,0.0385,0.0385,0.0195,0.0192,0.0204,0.0196,0.0190,0.0180,0.0190,0.0180,0.0180,0.0190,0.0190,0.0360,0.0188,0.0190,0.0369,0.0190,0.0562,0.0190,0.0185,0.0184,0.0561,0.0296,0.0190,0.0190,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-11-30 10:43:30,0.185,0.193,0.404,0.405,0.200,0.192,0.570,0.264,0.187,0.185,0.195,0.185,0.185,0.188,0.209,0.370,0.186,0.188,0.372,0.237,0.566,0.186,0.187,0.191,0.589,0.935,0.188,0.188,,0.0180,0.0192,0.0386,0.0389,0.0196,0.0191,0.0207,0.0199,0.0190,0.0180,0.0190,0.0180,0.0180,0.0190,0.0190,0.0360,0.0188,0.0190,0.0368,0.0190,0.0565,0.0190,0.0185,0.0185,0.0558,0.0311,0.0190,0.0190,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-11-30 10:44:00,0.185,0.194,0.412,0.407,0.203,0.192,0.602,0.274,0.187,0.185,0.200,0.185,0.185,0.187,0.207,0.370,0.186,0.188,0.371,0.241,0.562,0.187,0.186,0.195,0.589,0.966,0.188,0.189,,0.0180,0.0192,0.0386,0.0388,0.0196,0.0192,0.0207,0.0200,0.0190,0.0180,0.0190,0.0180,0.0180,0.0190,0.0191,0.0360,0.0187,0.0190,0.0368,0.0191,0.0562,0.0190,0.0184,0.0184,0.0559,0.0302,0.0190,0.0190,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-11-30 10:44:30,0.185,0.192,0.406,0.406,0.200,0.192,0.576,0.265,0.186,0.185,0.196,0.185,0.185,0.187,0.210,0.370,0.186,0.188,0.371,0.237,0.565,0.187,0.187,0.197,0.588,0.948,0.188,0.189,,0.0180,0.0191,0.0388,0.0393,0.0196,0.0191,0.0207,0.0199,0.0190,0.0180,0.0190,0.0180,0.0180,0.0190,0.0190,0.0360,0.0187,0.0190,0.0368,0.0190,0.0565,0.0190,0.0184,0.0185,0.0563,0.0316,0.0190,0.0190,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-11-30 10:45:00,0.185,0.191,0.401,0.402,0.200,0.193,0.518,0.255,0.186,0.185,0.194,0.185,0.185,0.186,0.201,0.369,0.186,0.187,0.370,0.231,0.559,0.186,0.186,0.190,0.583,0.836,0.187,0.187,,0.0180,0.0191,0.0384,0.0385,0.0194,0.0191,0.0202,0.0197,0.0190,0.0180,0.0190,0.0180,0.0180,0.0190,0.0190,0.0360,0.0188,0.0190,0.0369,0.0190,0.0562,0.0189,0.0185,0.0184,0.0556,0.0293,0.0190,0.0190,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-11-30 10:45:30,0.185,0.194,0.406,0.404,0.203,0.195,0.619,0.276,0.187,0.185,0.197,0.185,0.185,0.189,0.219,0.370,0.187,0.188,0.372,0.247,0.566,0.186,0.187,0.194,0.588,1.05,0.188,0.188,,0.0180,0.0191,0.0387,0.0384,0.0197,0.0192,0.0205,0.0197,0.0190,0.0180,0.0190,0.0180,0.0180,0.0190,0.0190,0.0360,0.0187,0.0190,0.0367,0.0190,0.0563,0.0190,0.0186,0.0184,0.0561,0.0338,0.0190,0.0190,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-11-30 10:46:00,0.185,0.193,0.401,0.404,0.202,0.193,0.574,0.267,0.186,0.185,0.198,0.185,0.185,0.187,0.205,0.370,0.186,0.189,0.373,0.240,0.562,0.187,0.186,0.190,0.595,0.959,0.188,0.189,,0.0180,0.0192,0.0383,0.0387,0.0196,0.0192,0.0208,0.0198,0.0190,0.0180,0.0190,0.0180,0.0180,0.0190,0.0190,0.0360,0.0187,0.0190,0.0369,0.0192,0.0562,0.0189,0.0185,0.0184,0.0581,0.0306,0.0190,0.0190,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-11-30 10:46:30,0.185,0.191,0.399,0.410,0.201,0.195,0.571,0.268,0.187,0.185,0.195,0.185,0.185,0.187,0.206,0.370,0.186,0.188,0.371,0.240,0.560,0.187,0.190,0.192,0.586,0.898,0.188,0.188,,0.0180,0.0190,0.0383,0.0388,0.0195,0.0193,0.0206,0.0200,0.0190,0.0180,0.0190,0.0180,0.0180,0.0190,0.0190,0.0360,0.0187,0.0190,0.0368,0.0190,0.0566,0.0189,0.0185,0.0184,0.0556,0.0288,0.0190,0.0190,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-11-30 10:47:00,0.185,0.192,0.401,0.404,0.201,0.192,0.549,0.262,0.186,0.185,0.195,0.185,0.185,0.187,0.208,0.370,0.186,0.188,0.372,0.234,0.566,0.186,0.187,0.190,0.585,0.871,0.188,0.188,,0.0180,0.0192,0.0381,0.0382,0.0194,0.0191,0.0202,0.0197,0.0190,0.0180,0.0190,0.0180,0.0180,0.0190,0.0190,0.0360,0.0187,0.0190,0.0369,0.0190,0.0563,0.0188,0.0185,0.0184,0.0557,0.0284,0.0190,0.0190,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-11-30 10:47:30,0.185,0.193,0.405,0.405,0.203,0.192,0.587,0.268,0.187,0.185,0.197,0.185,0.185,0.188,0.206,0.370,0.187,0.188,0.372,0.239,0.561,0.186,0.187,0.191,0.581,0.900,0.188,0.188,,0.0180,0.0190,0.0386,0.0387,0.0196,0.0192,0.0203,0.0200,0.0190,0.0180,0.0190,0.0180,0.0180,0.0190,0.0190,0.0360,0.0188,0.0190,0.0368,0.0191,0.0564,0.0188,0.0186,0.0185,0.0555,0.0300,0.0190,0.0190,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-11-30 10:48:00,0.185,0.194,0.403,0.404,0.200,0.194,0.600,0.270,0.186,0.185,0.197,0.185,0.185,0.187,0.209,0.370,0.186,0.188,0.374,0.245,0.563,0.187,0.188,0.192,0.590,0.920,0.188,0.188,,0.0180,0.0192,0.0381,0.0383,0.0199,0.0192,0.0205,0.0198,0.0190,0.0180,0.0191,0.0180,0.0180,0.0190,0.0190,0.0360,0.0187,0.0190,0.0370,0.0191,0.0562,0.0189,0.0185,0.0184,0.0580,0.0277,0.0190,0.0190,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023-11-30 10:48:30,0.185,0.194,0.410,0.419,0.207,0.197,0.667,0.296,0.187,0.185,0.199,0.185,0.185,0.187,0.214,0.370,0.186,0.188,0.371,0.250,0.565,0.187,0.189,0.192,0.586,1.07,0.188,0.189,,0.0180,0.0191,0.0387,0.0394,0.0198,0.0193,0.0206,0.0227,0.0190,0.0180,0.0190,0.0180,0.0180,0.0190,0.0190,0.0360,0.0188,0.0190,0.0367,0.0191,0.0563,0.0189,0.0185,0.0184,0.0564,0.0308,0.0190,0.0190,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
