sep=,
"Time","max capacity","alertmanager-kube-prometheus-stackr-alertmanager-0","camunda-platform-connectors-7d745cc4cd-lk6h4","camunda-platform-elasticsearch-master-0","camunda-platform-elasticsearch-master-1","camunda-platform-operate-745dd6ffbd-hd2s7","camunda-platform-tasklist-595f9975f6-62bbr","camunda-platform-zeebe-0","camunda-platform-zeebe-gateway-5b66c5dffb-5swg8","console-worker-console-worker-chart-camunda-8-go-console-wfzxss","coredns-77ccd57875-qkp4q","kepler-8czsm","kube-prometheus-stackr-grafana-6b8fb957c8-62pgz","kube-prometheus-stackr-kube-state-metrics-6d5579569-7w9tb","kube-prometheus-stackr-operator-8f879775f-f2q87","kube-prometheus-stackr-prometheus-node-exporter-qw4m2","load-controller-5445f6d748-hgqvd","load-controller-54c5b8b98-pkxhj","local-path-provisioner-957fdf8bc-jnlfw","metrics-server-648b5df564-msqlc","prometheus-kube-prometheus-stackr-prometheus-0","restworkerjava-56655bdb84-tndnx","restworkerjava-5bff59f95d-5ghvj","restworkerjava-67c4cdf457-bc649","restworkerjava-687b67c59f-g7szb","restworkerjava-7949956cf9-xgkss","restworkerjava-7b6d76448-d7k55","restworkerjava-7bf68d4499-2p867","restworkerjava-f54f67586-6k8q5","svclb-traefik-5671c552-795qx","test-responder-5768c7fbf7-9ppfr","traefik-768bdcdcdd-4f8ms"
2023-11-28 14:14:00,12,0.0000543,0.00131,0.0347,0.0103,0.00318,0.00175,0.0934,0.0177,0.000165,0.000908,0.00928,0.00447,0.000130,0.0000459,0.00158,,0.000607,0.000275,0.000928,0.00736,0.0115,,,,,,,,0,0.00119,0.000109
2023-11-28 14:16:00,12,0.000170,0.000994,0.0304,0.00956,0.00672,0.00141,0.0819,0.0152,0.000163,0.000909,0.00994,0.00469,0.000149,0.000120,0.00134,,0.000571,0.000252,0.000979,0.0187,0.00260,,,,,,,,0,0.000688,0.000105
2023-11-28 14:18:00,12,0.0000831,0.00113,0.00614,0.00584,0.00204,0.00104,0.0782,0.0156,0.000166,0.000869,0.0106,0.000459,0.000153,0.000116,0.00149,,0.000586,0.000248,0.00106,0.0168,0.000624,,,,,,,,0,0.000489,0.000107
2023-11-28 14:20:00,12,0.0000601,0.00176,0.00728,0.00691,0.00213,0.00128,0.0821,0.0145,0.000166,0.000920,0.0106,0.00176,0.000134,0.000164,0.00145,,0.000664,0.000278,0.00100,0.0168,0.000672,,,,,,,,0,0.000541,0.000108
2023-11-28 14:22:00,12,0.000137,0.00111,0.00624,0.00565,0.00201,0.00105,0.0776,0.0146,0.000171,0.000845,0.00872,0.00214,0.000151,0.0000391,0.0000350,,0.000627,0.000242,0.000913,0.0148,0.000596,,,,,,,,0,0.000542,0.000106
2023-11-28 14:24:00,12,0.0000977,0.00169,0.00534,0.00658,0.00211,0.00101,0.0780,0.0146,0.000174,0.000848,0.00986,0.00417,0.000108,0.000152,0.00163,,0.000628,0.000230,0.000892,0.0176,0.000590,,,,,,,,0,0.000522,0.000115
2023-11-28 14:26:00,12,0.0000795,0.00113,0.00572,0.00582,0.00199,0.000998,0.0791,0.0148,0.000171,0.000899,0.00956,0.00233,0.000160,0.000127,0.00117,,0.000539,0.000254,0.000985,0.0124,0.000549,,,,,,,,0,0.000507,0.000130
2023-11-28 14:28:00,12,0.000210,0.00227,0.00585,0.00694,0.00217,0.00104,0.0792,0.0147,0.000163,0.000978,0.00664,0.000467,0.000138,0.000276,0.00125,,0.000508,0.000274,0.000953,0.0162,0.000568,,,,,,,,0,0.000528,0.0000960
2023-11-28 14:30:00,12,0.0000931,0.00115,0.00538,0.00612,0.00209,0.00110,0.0794,0.0146,0.000168,0.000880,0.00941,0.00175,0.000151,0.000201,0.00192,,0.000569,0.000252,0.00104,0.0142,0.000711,,,,,,,,0,0.000521,0.000103
2023-11-28 14:32:00,12,0.0000826,0.00114,0.00534,0.00578,0.00220,0.00110,0.0786,0.0148,0.000171,0.000836,0.00881,0.00124,0.0000493,0.0000206,0.00107,,0.000551,0.000246,0.00102,0.0106,0.000639,,,,,,,,0,0.000529,0.000100
2023-11-28 14:34:00,12,0.000171,0.00114,0.00626,0.00519,0.00224,0.00101,0.0784,0.0147,0.000164,0.000915,0.0113,0.00349,0.0000504,0.0000983,0.00110,,0.000532,0.000272,0.00106,0.0193,0.000599,,,,,,,,0,0.000524,0.000106
2023-11-28 14:36:00,12,0.0000846,0.00636,0.00520,0.00558,0.00212,0.00107,0.0793,0.0147,0.000175,0.000917,0.00894,0.00131,0.000145,0.000107,0.00225,,0.000571,0.000259,0.000962,0.0131,0.000568,,,,,,,,0,0.000538,0.0000982
2023-11-28 14:38:00,12,0.0000507,0.00107,0.00612,0.00517,0.00206,0.00104,0.0782,0.0147,0.000184,0.000814,0.00920,0.00417,0.0000459,0.000162,0.00121,,0.000589,0.000246,0.00102,0.0158,0.000560,,,,,,,,0,0.000514,0.0000963
2023-11-28 14:40:00,12,0.000189,0.00109,0.00910,0.00755,0.00253,0.00110,0.0784,0.0146,0.000175,0.000843,0.00796,0.00201,0.000141,0.000152,0.00261,,0.000528,0.000265,0.000940,0.0165,0.000614,,,,,,,,0,0.000532,0.0000947
2023-11-28 14:42:00,12,0.000101,0.00130,0.0104,0.00824,0.00268,0.00117,0.0792,0.0149,0.000189,0.00107,0.00961,0.00204,0.000215,0.0000817,0.0000463,,0.000628,0.000230,0.00104,0.0149,0.000589,,,,,,,,0,0.000582,0.000107
