sep=,
"Time","load-controller-5445f6d748-hgqvd / worker / PKG","restworkerjava-556c56b566-dx98j / worker / PKG","restworkerjava-5cbbbdbc55-qxwl4 / worker / PKG","restworkerjava-67c4cdf457-bc649 / worker / PKG","restworkerjava-67fb7c7c59-v7wmm / worker / PKG","restworkerjava-6bb6fdcc85-k4kdh / worker / PKG","restworkerjava-77c95dd488-5z6bl / worker / PKG","restworkerjava-7f99bf486d-5rv2m / worker / PKG","restworkerjava-86b6d57d68-95jmw / worker / PKG","restworkerjava-fdcf7776b-dt2lz / worker / PKG","load-controller-5445f6d748-hgqvd / worker / DRAM","restworkerjava-556c56b566-dx98j / worker / DRAM","restworkerjava-5cbbbdbc55-qxwl4 / worker / DRAM","restworkerjava-67c4cdf457-bc649 / worker / DRAM","restworkerjava-67fb7c7c59-v7wmm / worker / DRAM","restworkerjava-6bb6fdcc85-k4kdh / worker / DRAM","restworkerjava-77c95dd488-5z6bl / worker / DRAM","restworkerjava-7f99bf486d-5rv2m / worker / DRAM","restworkerjava-86b6d57d68-95jmw / worker / DRAM","restworkerjava-fdcf7776b-dt2lz / worker / DRAM","load-controller-5445f6d748-hgqvd / worker / OTHER","restworkerjava-556c56b566-dx98j / worker / OTHER","restworkerjava-5cbbbdbc55-qxwl4 / worker / OTHER","restworkerjava-67c4cdf457-bc649 / worker / OTHER","restworkerjava-67fb7c7c59-v7wmm / worker / OTHER","restworkerjava-6bb6fdcc85-k4kdh / worker / OTHER","restworkerjava-77c95dd488-5z6bl / worker / OTHER","restworkerjava-7f99bf486d-5rv2m / worker / OTHER","restworkerjava-86b6d57d68-95jmw / worker / OTHER","restworkerjava-fdcf7776b-dt2lz / worker / OTHER"
2023-11-29 09:59:00,0.703,,,0.703,,,,,,,0.0221,,,0.0224,,,,,,,0.000700,,,0.000700,,,,,,
2023-11-29 09:59:30,0.201,,,0.204,,,,,,,0.0198,,,0.0198,,,,,,,0.000200,,,0.000200,,,,,,
2023-11-29 10:00:00,0.201,,,0.200,,,,,,,0.0200,,,0.0200,,,,,,,0,,,0,,,,,,
2023-11-29 10:00:30,0.199,,,0.200,,,,,,,0.0200,,,0.0200,,,,,,,0,,,0,,,,,,
2023-11-29 10:01:00,0.199,,,0.200,,,,,,,0.0200,,,0.0200,,,,,,,0,,,0,,,,,,
2023-11-29 10:01:30,0.196,,,0.197,,,,,,,0.0199,,,0.0199,,,,,,,0.000100,,,0.000100,,,,,,
2023-11-29 10:02:00,0.197,,,0.196,,,,,,,0.0200,,,0.0200,,,,,,,0,,,0,,,,,,
2023-11-29 10:02:30,0.196,,,0.197,,,,,,,0.0200,,,0.0200,,,,,,,0,,,0,,,,,,
2023-11-29 10:03:00,0.196,,,0.196,,,,,,,0.0200,,,0.0200,,,,,,,0,,,0,,,,,,
2023-11-29 10:03:30,0.198,,,0.196,,,,,,,0.0199,,,0.0199,,,,,,,0.000100,,,0.000100,,,,,,
2023-11-29 10:04:00,0.190,,,0.190,,,,,,,0.0190,,,0.0190,,,,,,,0.000100,,,0.000100,,,,,,
2023-11-29 10:04:30,0.190,,,0.190,,,,,,,0.0190,,,0.0190,,,,,,,0,,,0,,,,,,
2023-11-29 10:05:00,0.192,,,0.193,,,,,,,0.0190,,,0.0190,,,,,,,0,,,0,,,,,,
2023-11-29 10:05:30,0.195,,,0.196,,,,,,,0.0194,,,0.0196,,,,,,,0,,,0,,,,,,
2023-11-29 10:06:00,0.191,,,0.191,,,,,,,0.0189,,,0.0189,,,,,,,0,,,0,,,,,,
2023-11-29 10:06:30,0.190,,,0.191,,,,,,,0.0182,,,0.0182,,,,,,,0,,,0,,,,,,
2023-11-29 10:07:00,0.190,,,0.191,,,,,,,0.0170,,,0.0170,,,,,,,0,,,0,,,,,,
2023-11-29 10:07:30,0.190,,,0.190,,,,,,,0.0170,,,0.0170,,,,,,,0,,,0,,,,,,
2023-11-29 10:08:00,0.190,,,0.190,,,,,,,0.0170,,,0.0170,,,,,,,0,,,0,,,,,,
2023-11-29 10:08:30,0.190,,,0.191,,,,,,,0.0170,,,0.0170,,,,,,,0,,,0,,,,,,
2023-11-29 10:09:00,0.191,,,,,,,,,,0.0170,,,,,,,,,,0,,,,,,,,,
2023-11-29 10:09:30,0.190,,,,,,,,,0.190,0.0169,,,,,,,,,0.0169,0,,,,,,,,,0
2023-11-29 10:10:00,0.190,,,,,,,,,0.242,0.0169,,,,,,,,,0.0192,0,,,,,,,,,0
2023-11-29 10:10:30,0.190,,,,,,,,,0.190,0.0169,,,,,,,,,0.0169,0,,,,,,,,,0
2023-11-29 10:11:00,0.190,,,,,,,,,0.192,0.0170,,,,,,,,,0.0170,0,,,,,,,,,0
2023-11-29 10:11:30,0.191,,,,,,,,,0.193,0.0170,,,,,,,,,0.0170,0,,,,,,,,,0
2023-11-29 10:12:00,0.191,,,,,,,,,0.193,0.0169,,,,,,,,,0.0169,0.000100,,,,,,,,,0.000100
2023-11-29 10:12:30,0.190,,,,,,,,,0.192,0.0170,,,,,,,,,0.0170,0,,,,,,,,,0
2023-11-29 10:13:00,0.190,,,,,,,,,0.191,0.0169,,,,,,,,,0.0169,0,,,,,,,,,0
2023-11-29 10:13:30,0.190,,,,,,,,,0.192,0.0170,,,,,,,,,0.0171,0,,,,,,,,,0
2023-11-29 10:14:00,0.190,,,,,,,,,0.192,0.0170,,,,,,,,,0.0171,0,,,,,,,,,0
2023-11-29 10:14:30,0.190,,,,,,,,,0.191,0.0170,,,,,,,,,0.0170,0,,,,,,,,,0
2023-11-29 10:15:00,0.189,,,,,,,,,0.189,0.0169,,,,,,,,,0.0169,0,,,,,,,,,0
2023-11-29 10:15:30,0.190,,,,,,,,,0.190,0.0169,,,,,,,,,0.0169,0,,,,,,,,,0
2023-11-29 10:16:00,0.185,,,,,,,,,0.185,0.0169,,,,,,,,,0.0169,0,,,,,,,,,0
2023-11-29 10:16:30,0.185,,,,,,,,,0.184,0.0170,,,,,,,,,0.0170,0,,,,,,,,,0
2023-11-29 10:17:00,0.184,,,,,,,,,0.185,0.0170,,,,,,,,,0.0171,0,,,,,,,,,0
2023-11-29 10:17:30,0.185,,,,,,,,,0.185,0.0170,,,,,,,,,0.0170,0,,,,,,,,,0
2023-11-29 10:18:00,0.184,,,,,,,,,0.185,0.0170,,,,,,,,,0.0170,0,,,,,,,,,0
2023-11-29 10:18:30,0.184,,,,,,,,,0.185,0.0170,,,,,,,,,0.0170,0,,,,,,,,,0
2023-11-29 10:19:00,0.183,,,,,,,,,0.183,0.0170,,,,,,,,,0.0170,0,,,,,,,,,0
2023-11-29 10:19:30,0.184,,,,,,,,,0.185,0.0170,,,,,,,,,0.0171,0,,,,,,,,,0
2023-11-29 10:20:00,0.184,,,,,,,,,0.184,0.0170,,,,,,,,,0.0170,0,,,,,,,,,0
2023-11-29 10:20:30,0.184,,,,,,,,,0.185,0.0170,,,,,,,,,0.0171,0,,,,,,,,,0
2023-11-29 10:21:00,0.184,,,,,,,,,0.184,0.0170,,,,,,,,,0.0170,0,,,,,,,,,0
2023-11-29 10:21:30,0.184,,,,,,,,,0.185,0.0170,,,,,,,,,0.0170,0,,,,,,,,,0
2023-11-29 10:22:00,0.185,,,,,,,,,0.186,0.0170,,,,,,,,,0.0170,0,,,,,,,,,0
2023-11-29 10:22:30,0.184,,,,,,,,,0.184,0.0170,,,,,,,,,0.0170,0,,,,,,,,,0
2023-11-29 10:23:00,0.183,,,,,,,,,0.185,0.0170,,,,,,,,,0.0171,0,,,,,,,,,0
2023-11-29 10:23:30,0.184,,,,,,,,,0.184,0.0170,,,,,,,,,0.0170,0,,,,,,,,,0
2023-11-29 10:24:00,0.184,,,,,,,,,0.185,0.0170,,,,,,,,,0.0171,0,,,,,,,,,0
2023-11-29 10:24:30,0.184,,,,,,,,,0.185,0.0170,,,,,,,,,0.0170,0,,,,,,,,,0
2023-11-29 10:25:00,0.184,,,,,,,,,0.184,0.0170,,,,,,,,,0.0170,0,,,,,,,,,0
2023-11-29 10:25:30,0.184,,,,,,,,,0.184,0.0170,,,,,,,,,0.0170,0,,,,,,,,,0
2023-11-29 10:26:00,0.184,,,,,,,,,0.184,0.0170,,,,,,,,,0.0170,0,,,,,,,,,0
2023-11-29 10:26:30,0.184,,,,,,,,,0.185,0.0170,,,,,,,,,0.0171,0,,,,,,,,,0
2023-11-29 10:27:00,0.183,,,,,,,,,0.183,0.0170,,,,,,,,,0.0170,0,,,,,,,,,0
2023-11-29 10:27:30,0.184,,,,,,,,,0.185,0.0170,,,,,,,,,0.0171,0,,,,,,,,,0
2023-11-29 10:28:00,0.184,,,,,,,,,0.185,0.0170,,,,,,,,,0.0170,0,,,,,,,,,0
2023-11-29 10:28:30,0.186,,,,,,,,,0.187,0.0171,,,,,,,,,0.0171,0,,,,,,,,,0
2023-11-29 10:29:00,0.185,,,,,,,,,0.185,0.0170,,,,,,,,,0.0170,0,,,,,,,,,0
2023-11-29 10:29:30,0.185,,,,,,,,,0.185,0.0170,,,,,,,,,0.0170,0,,,,,,,,,0
2023-11-29 10:30:00,0.185,,,,,,,,,0.187,0.0170,,,,,,,,,0.0171,0,,,,,,,,,0
2023-11-29 10:30:30,0.185,,,,,,,,,0.184,0.0170,,,,,,,,,0.0170,0,,,,,,,,,0
2023-11-29 10:31:00,0.186,,,,,,,,,0.187,0.0170,,,,,,,,,0.0173,0,,,,,,,,,0
2023-11-29 10:31:30,0.187,,,,,,,,,0.190,0.0173,,,,,,,,,0.0175,0,,,,,,,,,0
2023-11-29 10:32:00,0.185,,,,,,,,,,0.0170,,,,,,,,,,0,,,,,,,,,
2023-11-29 10:32:30,0.185,,,,,,0.188,,,,0.0170,,,,,,0.0173,,,,0,,,,,,0,,,
2023-11-29 10:33:00,0.188,,,,,,0.193,,,,0.0181,,,,,,0.0196,,,,0,,,,,,0,,,
2023-11-29 10:33:30,0.184,,,,,,0.188,,,,0.0170,,,,,,0.0171,,,,0,,,,,,0,,,
2023-11-29 10:34:00,0.184,,,,,,0.186,,,,0.0170,,,,,,0.0170,,,,0,,,,,,0,,,
2023-11-29 10:34:30,0.184,,,,,,0.185,,,,0.0170,,,,,,0.0170,,,,0,,,,,,0,,,
2023-11-29 10:35:00,0.183,,,,,,0.186,,,,0.0170,,,,,,0.0170,,,,0,,,,,,0,,,
2023-11-29 10:35:30,0.187,,,,,,0.189,,,,0.0178,,,,,,0.0180,,,,0,,,,,,0,,,
2023-11-29 10:36:00,0.184,,,,,,0.186,,,,0.0170,,,,,,0.0170,,,,0,,,,,,0,,,
2023-11-29 10:36:30,0.184,,,,,,0.189,,,,0.0170,,,,,,0.0170,,,,0,,,,,,0,,,
2023-11-29 10:37:00,0.184,,,,,,0.185,,,,0.0170,,,,,,0.0170,,,,0,,,,,,0,,,
2023-11-29 10:37:30,0.186,,,,,,0.186,,,,0.0170,,,,,,0.0170,,,,0,,,,,,0,,,
2023-11-29 10:38:00,0.184,,,,,,0.185,,,,0.0170,,,,,,0.0171,,,,0,,,,,,0,,,
2023-11-29 10:38:30,0.185,,,,,,0.187,,,,0.0170,,,,,,0.0171,,,,0,,,,,,0,,,
2023-11-29 10:39:00,0.185,,,,,,0.186,,,,0.0170,,,,,,0.0172,,,,0,,,,,,0,,,
2023-11-29 10:39:30,0.185,,,,,,0.186,,,,0.0170,,,,,,0.0172,,,,0,,,,,,0,,,
