sep=,
"Time","bpmndeployment-8l9w6 / camunda8 / PKG","camunda-platform-connectors-7d745cc4cd-lk6h4 / camunda8 / PKG","camunda-platform-elasticsearch-master-0 / camunda8 / PKG","camunda-platform-elasticsearch-master-1 / camunda8 / PKG","camunda-platform-operate-745dd6ffbd-hd2s7 / camunda8 / PKG","camunda-platform-tasklist-595f9975f6-62bbr / camunda8 / PKG","camunda-platform-zeebe-0 / camunda8 / PKG","camunda-platform-zeebe-gateway-5b66c5dffb-5swg8 / camunda8 / PKG","console-worker-console-worker-chart-camunda-8-go-console-wfzxss / camunda8 / PKG","processstart-xb5jm / camunda8 / PKG","coredns-77ccd57875-qkp4q / kube-system / PKG","helm-install-traefik-crd-hzktt / kube-system / PKG","helm-install-traefik-ncp5n / kube-system / PKG","local-path-provisioner-957fdf8bc-jnlfw / kube-system / PKG","metrics-server-648b5df564-msqlc / kube-system / PKG","svclb-traefik-5671c552-795qx / kube-system / PKG","traefik-768bdcdcdd-4f8ms / kube-system / PKG","test-responder-5768c7fbf7-9ppfr / measuring-endpoints / PKG","alertmanager-kube-prometheus-stackr-alertmanager-0 / monitoring / PKG","kepler-8czsm / monitoring / PKG","kube-prometheus-stackr-grafana-6b8fb957c8-62pgz / monitoring / PKG","kube-prometheus-stackr-kube-state-metrics-6d5579569-7w9tb / monitoring / PKG","kube-prometheus-stackr-operator-8f879775f-f2q87 / monitoring / PKG","kube-prometheus-stackr-prometheus-node-exporter-qw4m2 / monitoring / PKG","prometheus-kube-prometheus-stackr-prometheus-0 / monitoring / PKG","system_processes / system / PKG","load-controller-5445f6d748-hgqvd / worker / PKG","restworkerjava-556c56b566-dx98j / worker / PKG","restworkerjava-5cbbbdbc55-qxwl4 / worker / PKG","restworkerjava-67fb7c7c59-v7wmm / worker / PKG","restworkerjava-6bb6fdcc85-k4kdh / worker / PKG","restworkerjava-77c95dd488-5z6bl / worker / PKG","restworkerjava-7f99bf486d-5rv2m / worker / PKG","restworkerjava-86b6d57d68-95jmw / worker / PKG","restworkerjava-fdcf7776b-dt2lz / worker / PKG","bpmndeployment-8l9w6 / camunda8 / DRAM","camunda-platform-connectors-7d745cc4cd-lk6h4 / camunda8 / DRAM","camunda-platform-elasticsearch-master-0 / camunda8 / DRAM","camunda-platform-elasticsearch-master-1 / camunda8 / DRAM","camunda-platform-operate-745dd6ffbd-hd2s7 / camunda8 / DRAM","camunda-platform-tasklist-595f9975f6-62bbr / camunda8 / DRAM","camunda-platform-zeebe-0 / camunda8 / DRAM","camunda-platform-zeebe-gateway-5b66c5dffb-5swg8 / camunda8 / DRAM","console-worker-console-worker-chart-camunda-8-go-console-wfzxss / camunda8 / DRAM","processstart-xb5jm / camunda8 / DRAM","coredns-77ccd57875-qkp4q / kube-system / DRAM","helm-install-traefik-crd-hzktt / kube-system / DRAM","helm-install-traefik-ncp5n / kube-system / DRAM","local-path-provisioner-957fdf8bc-jnlfw / kube-system / DRAM","metrics-server-648b5df564-msqlc / kube-system / DRAM","svclb-traefik-5671c552-795qx / kube-system / DRAM","traefik-768bdcdcdd-4f8ms / kube-system / DRAM","test-responder-5768c7fbf7-9ppfr / measuring-endpoints / DRAM","alertmanager-kube-prometheus-stackr-alertmanager-0 / monitoring / DRAM","kepler-8czsm / monitoring / DRAM","kube-prometheus-stackr-grafana-6b8fb957c8-62pgz / monitoring / DRAM","kube-prometheus-stackr-kube-state-metrics-6d5579569-7w9tb / monitoring / DRAM","kube-prometheus-stackr-operator-8f879775f-f2q87 / monitoring / DRAM","kube-prometheus-stackr-prometheus-node-exporter-qw4m2 / monitoring / DRAM","prometheus-kube-prometheus-stackr-prometheus-0 / monitoring / DRAM","system_processes / system / DRAM","load-controller-5445f6d748-hgqvd / worker / DRAM","restworkerjava-556c56b566-dx98j / worker / DRAM","restworkerjava-5cbbbdbc55-qxwl4 / worker / DRAM","restworkerjava-67fb7c7c59-v7wmm / worker / DRAM","restworkerjava-6bb6fdcc85-k4kdh / worker / DRAM","restworkerjava-77c95dd488-5z6bl / worker / DRAM","restworkerjava-7f99bf486d-5rv2m / worker / DRAM","restworkerjava-86b6d57d68-95jmw / worker / DRAM","restworkerjava-fdcf7776b-dt2lz / worker / DRAM","bpmndeployment-8l9w6 / camunda8 / OTHER","camunda-platform-connectors-7d745cc4cd-lk6h4 / camunda8 / OTHER","camunda-platform-elasticsearch-master-0 / camunda8 / OTHER","camunda-platform-elasticsearch-master-1 / camunda8 / OTHER","camunda-platform-operate-745dd6ffbd-hd2s7 / camunda8 / OTHER","camunda-platform-tasklist-595f9975f6-62bbr / camunda8 / OTHER","camunda-platform-zeebe-0 / camunda8 / OTHER","camunda-platform-zeebe-gateway-5b66c5dffb-5swg8 / camunda8 / OTHER","console-worker-console-worker-chart-camunda-8-go-console-wfzxss / camunda8 / OTHER","processstart-xb5jm / camunda8 / OTHER","coredns-77ccd57875-qkp4q / kube-system / OTHER","helm-install-traefik-crd-hzktt / kube-system / OTHER","helm-install-traefik-ncp5n / kube-system / OTHER","local-path-provisioner-957fdf8bc-jnlfw / kube-system / OTHER","metrics-server-648b5df564-msqlc / kube-system / OTHER","svclb-traefik-5671c552-795qx / kube-system / OTHER","traefik-768bdcdcdd-4f8ms / kube-system / OTHER","test-responder-5768c7fbf7-9ppfr / measuring-endpoints / OTHER","alertmanager-kube-prometheus-stackr-alertmanager-0 / monitoring / OTHER","kepler-8czsm / monitoring / OTHER","kube-prometheus-stackr-grafana-6b8fb957c8-62pgz / monitoring / OTHER","kube-prometheus-stackr-kube-state-metrics-6d5579569-7w9tb / monitoring / OTHER","kube-prometheus-stackr-operator-8f879775f-f2q87 / monitoring / OTHER","kube-prometheus-stackr-prometheus-node-exporter-qw4m2 / monitoring / OTHER","prometheus-kube-prometheus-stackr-prometheus-0 / monitoring / OTHER","system_processes / system / OTHER","load-controller-5445f6d748-hgqvd / worker / OTHER","restworkerjava-556c56b566-dx98j / worker / OTHER","restworkerjava-5cbbbdbc55-qxwl4 / worker / OTHER","restworkerjava-67fb7c7c59-v7wmm / worker / OTHER","restworkerjava-6bb6fdcc85-k4kdh / worker / OTHER","restworkerjava-77c95dd488-5z6bl / worker / OTHER","restworkerjava-7f99bf486d-5rv2m / worker / OTHER","restworkerjava-86b6d57d68-95jmw / worker / OTHER","restworkerjava-fdcf7776b-dt2lz / worker / OTHER"
2023-11-29 10:09:30,0.187,0.200,0.421,0.422,0.210,0.211,0.542,0.269,0.188,0.187,0.194,0.187,0.187,0.189,0.217,0.374,0.188,0.190,0.379,0.272,0.574,0.188,0.189,0.192,0.617,0.951,0.190,,,,,,,,0.190,0.0160,0.0169,0.0353,0.0357,0.0181,0.0173,0.0190,0.0182,0.0169,0.0160,0.0169,0.0160,0.0160,0.0169,0.0169,0.0320,0.0168,0.0169,0.0328,0.0171,0.0499,0.0169,0.0164,0.0166,0.0503,0.0269,0.0169,,,,,,,,0.0169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0
2023-11-29 10:10:00,0.187,0.197,0.423,0.440,0.208,0.199,0.588,0.288,0.188,0.187,0.195,0.187,0.187,0.189,0.226,0.374,0.191,0.190,0.377,0.285,0.592,0.191,0.190,0.195,0.620,1.16,0.190,,,,,,,,0.242,0.0160,0.0170,0.0351,0.0366,0.0182,0.0173,0.0187,0.0187,0.0169,0.0160,0.0170,0.0160,0.0160,0.0169,0.0170,0.0320,0.0168,0.0169,0.0328,0.0171,0.0500,0.0168,0.0166,0.0167,0.0498,0.0289,0.0169,,,,,,,,0.0192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0
2023-11-29 10:10:30,0.187,0.197,0.419,0.426,0.210,0.200,0.518,0.264,0.188,0.187,0.192,0.187,0.187,0.188,0.219,0.374,0.188,0.190,0.375,0.261,0.573,0.189,0.189,0.195,0.619,0.959,0.190,,,,,,,,0.190,0.0160,0.0169,0.0352,0.0358,0.0180,0.0172,0.0189,0.0180,0.0169,0.0160,0.0169,0.0160,0.0160,0.0169,0.0169,0.0320,0.0168,0.0169,0.0327,0.0171,0.0499,0.0169,0.0163,0.0166,0.0523,0.0273,0.0169,,,,,,,,0.0169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0
2023-11-29 10:11:00,0.187,0.199,0.423,0.424,0.206,0.204,0.546,0.276,0.189,0.187,0.194,0.187,0.187,0.191,0.211,0.374,0.188,0.190,0.376,0.263,0.583,0.188,0.190,0.201,0.613,0.936,0.190,,,,,,,,0.192,0.0160,0.0172,0.0354,0.0352,0.0189,0.0173,0.0183,0.0181,0.0170,0.0160,0.0170,0.0160,0.0160,0.0170,0.0171,0.0320,0.0169,0.0170,0.0329,0.0172,0.0503,0.0169,0.0165,0.0166,0.0495,0.0258,0.0170,,,,,,,,0.0170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0
2023-11-29 10:11:30,0.187,0.205,0.436,0.450,0.223,0.211,0.646,0.299,0.189,0.187,0.195,0.187,0.187,0.189,0.216,0.374,0.188,0.190,0.376,0.282,0.574,0.188,0.189,0.198,0.633,1.30,0.191,,,,,,,,0.193,0.0160,0.0176,0.0356,0.0370,0.0201,0.0178,0.0189,0.0187,0.0170,0.0160,0.0170,0.0160,0.0160,0.0170,0.0170,0.0320,0.0169,0.0170,0.0328,0.0173,0.0505,0.0169,0.0166,0.0166,0.0501,0.0349,0.0170,,,,,,,,0.0170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0
2023-11-29 10:12:00,0.187,0.214,0.444,0.435,0.221,0.203,0.619,0.285,0.189,0.187,0.194,0.187,0.187,0.189,0.228,0.374,0.193,0.190,0.376,0.276,0.571,0.189,0.188,0.193,0.642,1.17,0.191,,,,,,,,0.193,0.0160,0.0176,0.0364,0.0375,0.0186,0.0175,0.0187,0.0184,0.0169,0.0160,0.0169,0.0160,0.0160,0.0169,0.0170,0.0320,0.0168,0.0169,0.0328,0.0170,0.0500,0.0167,0.0164,0.0166,0.0498,0.0286,0.0169,,,,,,,,0.0169,0,0.000100,0.000100,0.0001000,0.000100,0.000100,0.000100,0.000100,0.000100,0,0.000100,0,0,0.000100,0.000100,0,0.000100,0.000100,0,0.000100,0.000300,0.000100,0,0,0.000100,0.000100,0.000100,,,,,,,,0.000100
2023-11-29 10:12:30,0.187,0.202,0.458,0.424,0.210,0.198,0.573,0.275,0.188,0.187,0.194,0.187,0.187,0.188,0.211,0.374,0.189,0.190,0.377,0.268,0.587,0.189,0.190,0.204,0.638,1.11,0.190,,,,,,,,0.192,0.0160,0.0173,0.0380,0.0357,0.0183,0.0174,0.0185,0.0183,0.0170,0.0160,0.0170,0.0160,0.0160,0.0170,0.0170,0.0320,0.0169,0.0170,0.0328,0.0173,0.0503,0.0169,0.0164,0.0166,0.0522,0.0285,0.0170,,,,,,,,0.0170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0
2023-11-29 10:13:00,0.187,0.201,0.448,0.422,0.218,0.199,0.585,0.277,0.189,0.187,0.193,0.187,0.187,0.191,0.227,0.374,0.189,0.190,0.377,0.271,0.575,0.189,0.191,0.199,0.618,1.18,0.190,,,,,,,,0.191,0.0160,0.0173,0.0371,0.0353,0.0184,0.0171,0.0187,0.0180,0.0169,0.0160,0.0169,0.0160,0.0160,0.0169,0.0169,0.0320,0.0169,0.0169,0.0328,0.0172,0.0499,0.0167,0.0165,0.0166,0.0500,0.0306,0.0169,,,,,,,,0.0169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0
2023-11-29 10:13:30,0.187,0.199,0.421,0.415,0.221,0.200,0.573,0.273,0.189,0.187,0.193,0.187,0.187,0.189,0.209,0.374,0.189,0.190,0.378,0.271,0.577,0.189,0.192,0.195,0.618,1.05,0.190,,,,,,,,0.192,0.0160,0.0171,0.0360,0.0350,0.0185,0.0173,0.0185,0.0179,0.0170,0.0160,0.0170,0.0160,0.0160,0.0170,0.0171,0.0320,0.0170,0.0170,0.0327,0.0172,0.0503,0.0168,0.0165,0.0166,0.0504,0.0290,0.0170,,,,,,,,0.0171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0
2023-11-29 10:14:00,0.187,0.205,0.421,0.419,0.206,0.201,0.567,0.278,0.188,0.187,0.194,0.187,0.187,0.189,0.212,0.374,0.188,0.190,0.377,0.256,0.574,0.192,0.188,0.192,0.621,1.01,0.190,,,,,,,,0.192,0.0160,0.0173,0.0351,0.0351,0.0184,0.0174,0.0182,0.0180,0.0170,0.0160,0.0170,0.0160,0.0160,0.0170,0.0171,0.0320,0.0170,0.0170,0.0330,0.0172,0.0503,0.0168,0.0163,0.0166,0.0497,0.0266,0.0170,,,,,,,,0.0171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0
