sep=,
"Time","max capacity","alertmanager-kube-prometheus-stackr-alertmanager-0","camunda-platform-connectors-7d745cc4cd-lk6h4","camunda-platform-elasticsearch-master-0","camunda-platform-elasticsearch-master-1","camunda-platform-operate-745dd6ffbd-hd2s7","camunda-platform-tasklist-595f9975f6-62bbr","camunda-platform-zeebe-0","camunda-platform-zeebe-gateway-5b66c5dffb-5swg8","console-worker-console-worker-chart-camunda-8-go-console-wfzxss","coredns-77ccd57875-qkp4q","kepler-8czsm","kube-prometheus-stackr-grafana-6b8fb957c8-62pgz","kube-prometheus-stackr-kube-state-metrics-6d5579569-7w9tb","kube-prometheus-stackr-operator-8f879775f-f2q87","kube-prometheus-stackr-prometheus-node-exporter-qw4m2","load-controller-5445f6d748-hgqvd","local-path-provisioner-957fdf8bc-jnlfw","metrics-server-648b5df564-msqlc","prometheus-kube-prometheus-stackr-prometheus-0","restworkerjava-556c56b566-dx98j","restworkerjava-5cbbbdbc55-qxwl4","restworkerjava-67c4cdf457-bc649","restworkerjava-67fb7c7c59-v7wmm","restworkerjava-6bb6fdcc85-k4kdh","restworkerjava-77c95dd488-5z6bl","restworkerjava-7f99bf486d-5rv2m","restworkerjava-86b6d57d68-95jmw","restworkerjava-fdcf7776b-dt2lz","svclb-traefik-5671c552-795qx","test-responder-5768c7fbf7-9ppfr","traefik-768bdcdcdd-4f8ms"
2023-11-29 10:00:00,12,0.000406,0.00536,0.00952,0.00867,0.243,0.0881,0.0901,0.0315,0.000224,0.00123,0.00834,0.00403,0.000424,0.000360,0.00124,0.000797,0.000243,0.00237,0.0164,,,0.000997,,,,,,,0,0.000769,0.000160
2023-11-29 10:02:00,12,0.000319,0.00365,0.0256,0.0337,0.0144,0.00525,0.0838,0.0216,0.000176,0.000837,0.00712,0.00334,0.000183,0.000405,0.00151,0.000739,0.000255,0.00267,0.0145,,,0.000895,,,,,,,0,0.000782,0.0000814
2023-11-29 10:04:00,12,0.000608,0.00381,0.0142,0.0235,0.00753,0.00353,0.0871,0.0195,0.000162,0.000842,0.00958,0.00213,0.000248,0.000129,0.00156,0.000837,0.000225,0.00275,0.0110,,,0.000859,,,,,,,0,0.000790,0.000140
2023-11-29 10:06:00,12,0.000420,0.00553,0.0167,0.0224,0.00699,0.00346,0.101,0.0238,0.000247,0.00102,0.0153,0.00163,0.000261,0.000191,0.00124,0.000644,0.000282,0.00300,0.0198,,,0.000782,,,,,,,0,0.000759,0.000126
2023-11-29 10:08:00,12,0.000317,0.00751,0.0120,0.0187,0.0107,0.00425,0.0804,0.0201,0.000146,0.000868,0.00787,0.000882,0.000209,0.000181,0.00140,0.000536,0.000231,0.00265,0.0107,,,0.000644,,,,,,,0,0.000593,0.0000873
2023-11-29 10:10:00,12,0.000303,0.00276,0.0132,0.0179,0.0110,0.00575,0.0836,0.0174,0.000163,0.000903,0.00945,0.00166,0.000181,0.0000849,0.0000292,0.000556,0.000217,0.00248,0.00981,,,,,,,,,0.000698,0,0.000580,0.0000993
2023-11-29 10:12:00,12,0.000356,0.00242,0.0117,0.0222,0.0155,0.00880,0.0798,0.0205,0.000173,0.000892,0.00860,0.00285,0.000173,0.000141,0.00136,0.000642,0.000218,0.00239,0.0120,,,,,,,,,0.000838,0,0.000518,0.0000759
2023-11-29 10:14:00,12,0.000265,0.00421,0.0182,0.00801,0.0116,0.00233,0.0818,0.0170,0.000155,0.000859,0.00835,0.00261,0.000244,0.000338,0.00120,0.000573,0.000241,0.00273,0.0104,,,,,,,,,0.000850,0,0.000585,0.000112
2023-11-29 10:16:00,12,0.000327,0.00194,0.00892,0.00877,0.00676,0.00154,0.0802,0.0197,0.000165,0.000865,0.00847,0.00374,0.000222,0.000108,0.0000371,0.000550,0.000199,0.00262,0.0136,,,,,,,,,0.000650,0,0.000552,0.0000915
2023-11-29 10:18:00,12,0.000319,0.00173,0.0147,0.0216,0.00361,0.00322,0.0788,0.0183,0.000167,0.000899,0.00757,0.00141,0.000170,0.000122,0.00157,0.000553,0.000240,0.00293,0.0122,,,,,,,,,0.000572,0,0.000552,0.0000836
2023-11-29 10:20:00,12,0.000156,0.00184,0.0108,0.00974,0.00368,0.00158,0.0790,0.0169,0.000172,0.000858,0.00693,0.00160,0.000187,0.000345,0.00149,0.000557,0.000258,0.00264,0.0122,,,,,,,,,0.000694,0,0.000540,0.0000892
2023-11-29 10:22:00,12,0.000166,0.00197,0.00831,0.00879,0.00442,0.00249,0.0793,0.0166,0.000166,0.000910,0.00907,0.00228,0.000205,0.0000943,0.00129,0.000601,0.000221,0.00252,0.0162,,,,,,,,,0.000682,0,0.000554,0.000111
2023-11-29 10:24:00,12,0.000129,0.00207,0.00955,0.0110,0.00332,0.00140,0.0836,0.0149,0.000168,0.000892,0.0101,0.00176,0.000231,0.000170,0.00122,0.000620,0.000239,0.00245,0.00778,,,,,,,,,0.000576,0,0.000583,0.0000669
2023-11-29 10:26:00,12,0.000168,0.00159,0.0100,0.00818,0.00348,0.00303,0.0787,0.0160,0.000154,0.000806,0.00741,0.00374,0.000160,0.000185,0.00133,0.000556,0.000259,0.00265,0.0112,,,,,,,,,0.000571,0,0.000566,0.0000949
2023-11-29 10:28:00,12,0.000152,0.00353,0.00903,0.00802,0.00880,0.00207,0.0793,0.0172,0.000164,0.000846,0.00884,0.00295,0.000170,0.000315,0.00116,0.000574,0.000237,0.00239,0.0160,,,,,,,,,0.000786,0,0.000565,0.0000928
2023-11-29 10:30:00,12,0.000162,0.00169,0.00945,0.0122,0.0139,0.00209,0.0797,0.0168,0.000163,0.000893,0.00993,0.00345,0.0000763,0.000108,0.00111,0.000577,0.000242,0.00250,0.0119,,,,,,,,,0.000693,0,0.000554,0.0000967
2023-11-29 10:32:00,12,0.000205,0.00192,0.00935,0.0138,0.00395,0.00229,0.0838,0.0174,0.000213,0.00103,0.0112,0.00164,0.000207,0.000321,0.00248,0.000645,0.000250,0.00287,0.00792,,,,,,,,,,0,0.000641,0.000107
2023-11-29 10:34:00,12,0.000177,0.00154,0.00723,0.0116,0.00277,0.00142,0.0782,0.0153,0.000148,0.000897,0.00846,0.000408,0.000136,0.000244,0.00219,0.000622,0.000212,0.00261,0.0127,,,,,,0.00111,,,,0,0.000581,0.000101
2023-11-29 10:36:00,12,0.000161,0.00218,0.00960,0.0131,0.00334,0.00165,0.0919,0.0179,0.000183,0.00100,0.0103,0.00150,0.000135,0.000105,0.00109,0.000738,0.000285,0.00283,0.0127,,,,,,0.000794,,,,0,0.000604,0.0000980
2023-11-29 10:38:00,12,0.000177,0.00255,0.00728,0.00983,0.00300,0.00160,0.0777,0.0159,0.000163,0.000878,0.0109,0.00337,0.000218,0.000234,0.00134,0.000572,0.000241,0.00263,0.0115,,,,,,0.000754,,,,0,0.000551,0.0000708
2023-11-29 10:40:00,12,0.000191,0.00155,0.00888,0.00732,0.00396,0.00182,0.0823,0.0183,0.000163,0.000870,0.00823,0.00437,0.000206,0.000109,0.000986,0.000624,0.000236,0.00253,0.0153,,,,,,0.000773,,,,0,0.000615,0.0000993
2023-11-29 10:42:00,12,0.000139,0.00247,0.0112,0.00992,0.00281,0.00427,0.0800,0.0162,0.000153,0.000972,0.00764,0.00503,0.000182,0.000114,0.00144,0.000565,0.000234,0.00259,0.00691,,,,,,0.000670,,,,0,0.000608,0.000133
2023-11-29 10:44:00,12,0.000175,0.00162,0.00984,0.0113,0.00287,0.00191,0.0803,0.0182,0.000161,0.000856,0.00797,0.00178,0.000145,0.000363,0.00243,0.000649,0.000221,0.00246,0.0118,,,,,,0.000681,,,,0,0.000621,0.0000818
2023-11-29 10:46:00,12,0.000178,0.00156,0.00731,0.00997,0.00306,0.00141,0.0789,0.0222,0.000168,0.000966,0.00842,0.000512,0.000255,0.000117,0.00156,0.000570,0.000213,0.00281,0.0144,,,,,,0.000672,,,,0,0.000560,0.0000936
2023-11-29 10:48:00,12,0.000162,0.00169,0.00633,0.00841,0.00286,0.00181,0.0801,0.0168,0.000164,0.000864,0.00889,0.00156,0.0000676,0.000105,0.00114,0.000538,0.000237,0.00275,0.0118,,,,,,0.000695,,,,0,0.000587,0.0000985
2023-11-29 10:50:00,12,0.000160,0.00161,0.00806,0.00722,0.00331,0.00191,0.0837,0.0160,0.000176,0.000929,0.0113,0.00177,0.000213,0.000205,0.00111,0.000556,0.000203,0.00305,0.0119,,,,,,0.000799,,,,0,0.000520,0.000105
2023-11-29 10:52:00,12,0.000197,0.00158,0.00652,0.00914,0.00268,0.00126,0.0792,0.0150,0.000177,0.000851,0.00850,0.00394,0.000229,0.000117,0.00153,0.000662,0.000216,0.00271,0.0147,,,,,,0.000748,,,,0,0.000594,0.0000811
2023-11-29 10:54:00,12,0.000174,0.00310,0.00602,0.00740,0.00272,0.00182,0.0779,0.0149,0.000162,0.000900,0.0104,0.00361,0.000190,0.000163,0.00187,0.000552,0.000211,0.00258,0.0139,,,,,,0.000553,,,,0,0.000556,0.0000905
2023-11-29 10:56:00,12,0.000146,0.00221,0.00591,0.00949,0.00248,0.00164,0.0800,0.0152,0.000164,0.000849,0.00674,0.00349,0.000186,0.000173,0.00145,0.000595,0.000257,0.00278,0.00772,,,,,,0.000654,,,,0,0.000588,0.000100
2023-11-29 10:58:00,12,0.000161,0.00734,0.00556,0.00726,0.00223,0.00151,0.0811,0.0156,0.000168,0.000899,0.00798,0.001000,0.000101,0.000206,0.00112,0.000560,0.000260,0.00263,0.0131,,,,,,0.000704,,,,0,0.000553,0.0000786
2023-11-29 11:00:00,12,0.000139,0.00348,0.00578,0.0127,0.00226,0.00125,0.0783,0.0152,0.000190,0.000911,0.0110,0.00293,0.000367,0.0000932,0.00133,0.000554,0.000250,0.00282,0.00733,,,,,,,,,,0,0.000551,0.000118
2023-11-29 11:02:00,12,0.000178,0.00313,0.00795,0.00676,0.00259,0.00135,0.0770,0.0155,0.000151,0.000846,0.0101,0.00149,0.000160,0.000192,0.00160,0.000593,0.000217,0.00259,0.0128,,,,,0.000939,,,,,0,0.000569,0.000102
2023-11-29 11:04:00,12,0.000198,0.00153,0.00881,0.00695,0.00296,0.00305,0.0777,0.0152,0.000157,0.000883,0.00865,0.00478,0.000261,0.000158,0.00212,0.000734,0.000247,0.00250,0.0147,,,,,0.000835,,,,,0,0.000744,0.000105
2023-11-29 11:06:00,12,0.000142,0.00130,0.00615,0.00623,0.00231,0.00156,0.0786,0.0151,0.000180,0.000832,0.00981,0.00395,0.000178,0.000113,0.00139,0.000550,0.000267,0.00250,0.0108,,,,,0.000633,,,,,0,0.000731,0.0000940
2023-11-29 11:08:00,12,0.000149,0.00182,0.0114,0.00757,0.00214,0.00142,0.0782,0.0152,0.000183,0.000851,0.00904,0.00441,0.000186,0.000158,0.00125,0.000862,0.000228,0.00251,0.0143,,,,,0.000660,,,,,0,0.000545,0.0000973
2023-11-29 11:10:00,12,0.000171,0.00139,0.00794,0.00716,0.00247,0.00154,0.0786,0.0150,0.000167,0.000874,0.00882,0.000500,0.000213,0.000124,0.00131,0.000569,0.000224,0.00243,0.0142,,,,,0.000653,,,,,0,0.000542,0.000107
2023-11-29 11:12:00,12,0.000148,0.00142,0.00977,0.00727,0.00235,0.00187,0.0772,0.0238,0.000176,0.000862,0.00875,0.00166,0.000177,0.000145,0.00142,0.00159,0.000207,0.00245,0.00660,,,,,0.000639,,,,,0,0.000504,0.0000977
2023-11-29 11:14:00,12,0.000215,0.00278,0.0185,0.00553,0.00312,0.00117,0.0792,0.0171,0.000205,0.000865,0.00824,0.00171,0.000175,0.000212,0.0000382,0.000548,0.000246,0.00247,0.0135,,,,,0.000660,,,,,0,0.000515,0.0000763
2023-11-29 11:16:00,12,0.000180,0.00147,0.0178,0.00653,0.00655,0.00136,0.0805,0.0150,0.000169,0.000854,0.00714,0.00366,0.000275,0.000119,0.00123,0.000530,0.000258,0.00251,0.0153,,,,,0.000654,,,,,0,0.000521,0.000328
2023-11-29 11:18:00,12,0.000157,0.00162,0.00653,0.00748,0.00327,0.00124,0.0782,0.0167,0.000168,0.000969,0.00799,0.00348,0.000217,0.000117,0.00133,0.000516,0.000245,0.00248,0.0152,,,,,0.000643,,,,,0,0.000516,0.000363
2023-11-29 11:20:00,12,0.000180,0.00135,0.00534,0.00690,0.00213,0.00205,0.0811,0.0149,0.000174,0.000862,0.00961,0.00294,0.000221,0.000173,0.00159,0.000516,0.000251,0.00267,0.0126,,,,,0.000605,,,,,0,0.000529,0.000328
2023-11-29 11:22:00,12,0.000177,0.00141,0.00581,0.00635,0.00227,0.00131,0.0796,0.0151,0.000140,0.000862,0.00872,0.00226,0.000100,0.000123,0.00176,0.000529,0.000233,0.00234,0.0144,,,,,0.000624,,,,,0,0.000529,0.000316
2023-11-29 11:24:00,12,0.000139,0.00151,0.00751,0.0103,0.00229,0.00174,0.0796,0.0153,0.000211,0.000899,0.00948,0.00173,0.0000801,0.000144,0.00102,0.000572,0.000243,0.00247,0.0122,,,,,0.000684,,,,,0,0.000515,0.000578
2023-11-29 11:26:00,12,0.000170,0.00452,0.00757,0.00850,0.00340,0.00108,0.0788,0.0158,0.000168,0.00101,0.00978,0.00212,0.000198,0.000185,0.00133,0.000538,0.000234,0.00272,0.0118,,,,,0.000627,,,,,0,0.000550,0.000338
